execution,mode,handshake_duration_ms,success
1,TLS Mutual,504.8,1
2,TLS Mutual,376.14,1
3,TLS Mutual,374.19,1
4,TLS Mutual,375.03,1
5,TLS Mutual,379.7,1
6,TLS Mutual,378.26,1
7,TLS Mutual,374.22,1
8,TLS Mutual,372.43,1
9,TLS Mutual,349.74,1
10,TLS Mutual,357.64,1
11,TLS Mutual,379.34,1
12,TLS Mutual,328.95,1
13,TLS Mutual,352.85,1
14,TLS Mutual,351.8,1
15,TLS Mutual,379.88,1
16,TLS Mutual,350.93,1
17,TLS Mutual,359.62,1
18,TLS Mutual,352.35,1
19,TLS Mutual,350.35,1
20,TLS Mutual,377.37,1
21,TLS Mutual,376.92,1
22,TLS Mutual,345.55,1
23,TLS Mutual,374.58,1
24,TLS Mutual,375.63,1
25,TLS Mutual,358.93,1
26,TLS Mutual,377.44,1
27,TLS Mutual,350.45,1
28,TLS Mutual,377.94,1
29,TLS Mutual,351.22,1
30,TLS Mutual,378.12,1
31,TLS Mutual,362.44,1
32,TLS Mutual,393.61,1
33,TLS Mutual,377.71,1
34,TLS Mutual,376.18,1
35,TLS Mutual,374.14,1
36,TLS Mutual,374.72,1
37,TLS Mutual,353.0,1
38,TLS Mutual,379.34,1
39,TLS Mutual,375.43,1
40,TLS Mutual,347.33,1
41,TLS Mutual,376.92,1
42,TLS Mutual,353.34,1
43,TLS Mutual,351.09,1
44,TLS Mutual,355.12,1
45,TLS Mutual,377.48,1
46,TLS Mutual,361.32,1
47,TLS Mutual,352.6,1
48,TLS Mutual,375.24,1
49,TLS Mutual,373.83,1
50,TLS Mutual,380.14,1
51,TLS Mutual,380.64,1
52,TLS Mutual,349.71,1
53,TLS Mutual,312.64,1
54,TLS Mutual,379.06,1
55,TLS Mutual,379.76,1
56,TLS Mutual,355.65,1
57,TLS Mutual,362.42,1
58,TLS Mutual,378.92,1
59,TLS Mutual,354.17,1
60,TLS Mutual,375.92,1
61,TLS Mutual,353.44,1
62,TLS Mutual,377.69,1
63,TLS Mutual,351.99,1
64,TLS Mutual,347.9,1
65,TLS Mutual,375.54,1
66,TLS Mutual,327.88,1
67,TLS Mutual,377.94,1
68,TLS Mutual,350.82,1
69,TLS Mutual,378.76,1
70,TLS Mutual,374.93,1
71,TLS Mutual,355.7,1
72,TLS Mutual,353.31,1
73,TLS Mutual,365.5,1
74,TLS Mutual,377.6,1
75,TLS Mutual,352.48,1
76,TLS Mutual,371.47,1
77,TLS Mutual,372.65,1
78,TLS Mutual,348.3,1
79,TLS Mutual,374.25,1
80,TLS Mutual,375.56,1
81,TLS Mutual,353.16,1
82,TLS Mutual,350.1,1
83,TLS Mutual,375.93,1
84,TLS Mutual,377.97,1
85,TLS Mutual,842.38,1
86,TLS Mutual,350.58,1
87,TLS Mutual,351.74,1
88,TLS Mutual,374.35,1
89,TLS Mutual,353.97,1
90,TLS Mutual,375.81,1
91,TLS Mutual,373.93,1
92,TLS Mutual,376.22,1
93,TLS Mutual,374.26,1
94,TLS Mutual,378.63,1
95,TLS Mutual,516.81,1
96,TLS Mutual,377.09,1
97,TLS Mutual,373.45,1
98,TLS Mutual,378.86,1
99,TLS Mutual,378.58,1
100,TLS Mutual,379.17,1
101,TLS Mutual,376.2,1
102,TLS Mutual,373.81,1
103,TLS Mutual,348.57,1
104,TLS Mutual,376.85,1
105,TLS Mutual,378.11,1
106,TLS Mutual,375.11,1
107,TLS Mutual,354.31,1
108,TLS Mutual,347.49,1
109,TLS Mutual,377.75,1
110,TLS Mutual,377.37,1
111,TLS Mutual,378.51,1
112,TLS Mutual,348.72,1
113,TLS Mutual,377.09,1
114,TLS Mutual,375.99,1
115,TLS Mutual,375.91,1
116,TLS Mutual,373.23,1
117,TLS Mutual,373.91,1
118,TLS Mutual,377.19,1
119,TLS Mutual,373.76,1
120,TLS Mutual,372.6,1
121,TLS Mutual,379.13,1
122,TLS Mutual,348.64,1
123,TLS Mutual,353.64,1
124,TLS Mutual,376.48,1
125,TLS Mutual,356.59,1
126,TLS Mutual,349.02,1
127,TLS Mutual,376.2,1
128,TLS Mutual,377.15,1
129,TLS Mutual,374.84,1
130,TLS Mutual,378.72,1
131,TLS Mutual,374.68,1
132,TLS Mutual,376.3,1
133,TLS Mutual,378.65,1
134,TLS Mutual,327.69,1
135,TLS Mutual,360.09,1
136,TLS Mutual,353.09,1
137,TLS Mutual,378.77,1
138,TLS Mutual,328.06,1
139,TLS Mutual,378.98,1
140,TLS Mutual,375.72,1
141,TLS Mutual,374.86,1
142,TLS Mutual,377.41,1
143,TLS Mutual,377.57,1
144,TLS Mutual,375.91,1
145,TLS Mutual,546.04,1
146,TLS Mutual,373.3,1
147,TLS Mutual,374.13,1
148,TLS Mutual,379.64,1
149,TLS Mutual,370.5,1
150,TLS Mutual,375.63,1
151,TLS Mutual,375.1,1
152,TLS Mutual,377.68,1
153,TLS Mutual,353.8,1
154,TLS Mutual,375.67,1
155,TLS Mutual,355.98,1
156,TLS Mutual,376.05,1
157,TLS Mutual,349.55,1
158,TLS Mutual,376.94,1
159,TLS Mutual,374.76,1
160,TLS Mutual,378.18,1
161,TLS Mutual,374.51,1
162,TLS Mutual,373.79,1
163,TLS Mutual,372.34,1
164,TLS Mutual,360.69,1
165,TLS Mutual,377.22,1
166,TLS Mutual,376.9,1
167,TLS Mutual,345.01,1
168,TLS Mutual,377.08,1
169,TLS Mutual,353.05,1
170,TLS Mutual,349.11,1
171,TLS Mutual,377.19,1
172,TLS Mutual,377.21,1
173,TLS Mutual,378.84,1
174,TLS Mutual,374.62,1
175,TLS Mutual,359.59,1
176,TLS Mutual,377.78,1
177,TLS Mutual,348.19,1
178,TLS Mutual,373.9,1
179,TLS Mutual,378.34,1
180,TLS Mutual,349.27,1
181,TLS Mutual,378.34,1
182,TLS Mutual,375.82,1
183,TLS Mutual,353.75,1
184,TLS Mutual,375.2,1
185,TLS Mutual,379.58,1
186,TLS Mutual,353.07,1
187,TLS Mutual,361.05,1
188,TLS Mutual,328.12,1
189,TLS Mutual,375.84,1
190,TLS Mutual,375.27,1
191,TLS Mutual,352.8,1
192,TLS Mutual,353.22,1
193,TLS Mutual,348.18,1
194,TLS Mutual,378.08,1
195,TLS Mutual,343.85,1
196,TLS Mutual,377.07,1
197,TLS Mutual,369.59,1
198,TLS Mutual,377.42,1
199,TLS Mutual,378.67,1
200,TLS Mutual,357.1,1
201,TLS Mutual,353.81,1
202,TLS Mutual,517.77,1
203,TLS Mutual,374.94,1
204,TLS Mutual,353.15,1
205,TLS Mutual,374.29,1
206,TLS Mutual,349.75,1
207,TLS Mutual,378.61,1
208,TLS Mutual,354.18,1
209,TLS Mutual,313.61,1
210,TLS Mutual,347.64,1
211,TLS Mutual,374.35,1
212,TLS Mutual,376.21,1
213,TLS Mutual,349.76,1
214,TLS Mutual,375.09,1
215,TLS Mutual,350.07,1
216,TLS Mutual,328.83,1
217,TLS Mutual,377.87,1
218,TLS Mutual,354.56,1
219,TLS Mutual,379.53,1
220,TLS Mutual,362.85,1
221,TLS Mutual,867.9,1
222,TLS Mutual,376.06,1
223,TLS Mutual,377.22,1
224,TLS Mutual,376.05,1
225,TLS Mutual,365.31,1
226,TLS Mutual,354.05,1
227,TLS Mutual,379.73,1
