execution,mode,handshake_duration_ms,success
1,TLS Mutual,421.74,1
2,TLS Mutual,290.5,1
3,TLS Mutual,290.62,1
4,TLS Mutual,289.91,1
5,TLS Mutual,292.68,1
6,TLS Mutual,289.56,1
7,TLS Mutual,290.9,1
8,TLS Mutual,290.11,1
9,TLS Mutual,290.13,1
10,TLS Mutual,291.53,1
11,TLS Mutual,289.92,1
12,TLS Mutual,290.4,1
13,TLS Mutual,291.03,1
14,TLS Mutual,289.5,1
15,TLS Mutual,290.99,1
16,TLS Mutual,290.82,1
17,TLS Mutual,290.5,1
18,TLS Mutual,290.75,1
19,TLS Mutual,289.89,1
20,TLS Mutual,289.77,1
21,TLS Mutual,291.79,1
22,TLS Mutual,289.58,1
23,TLS Mutual,289.72,1
24,TLS Mutual,289.75,1
25,TLS Mutual,289.3,1
26,TLS Mutual,289.57,1
27,TLS Mutual,290.64,1
28,TLS Mutual,289.61,1
29,TLS Mutual,290.28,1
30,TLS Mutual,290.55,1
31,TLS Mutual,290.8,1
32,TLS Mutual,291.11,1
33,TLS Mutual,290.59,1
34,TLS Mutual,289.98,1
35,TLS Mutual,291.11,1
36,TLS Mutual,291.31,1
37,TLS Mutual,290.58,1
38,TLS Mutual,290.71,1
39,TLS Mutual,289.81,1
40,TLS Mutual,290.86,1
41,TLS Mutual,291.25,1
42,TLS Mutual,290.21,1
43,TLS Mutual,290.17,1
44,TLS Mutual,289.65,1
45,TLS Mutual,289.87,1
46,TLS Mutual,289.83,1
47,TLS Mutual,290.14,1
48,TLS Mutual,289.48,1
49,TLS Mutual,289.46,1
50,TLS Mutual,290.84,1
51,TLS Mutual,289.9,1
52,TLS Mutual,289.48,1
53,TLS Mutual,290.0,1
54,TLS Mutual,289.72,1
55,TLS Mutual,290.82,1
56,TLS Mutual,289.97,1
57,TLS Mutual,289.59,1
58,TLS Mutual,290.83,1
59,TLS Mutual,290.62,1
60,TLS Mutual,289.58,1
61,TLS Mutual,290.3,1
62,TLS Mutual,290.01,1
63,TLS Mutual,290.29,1
64,TLS Mutual,289.51,1
65,TLS Mutual,289.43,1
66,TLS Mutual,289.91,1
67,TLS Mutual,290.2,1
68,TLS Mutual,289.38,1
69,TLS Mutual,289.45,1
70,TLS Mutual,290.23,1
71,TLS Mutual,290.23,1
72,TLS Mutual,290.34,1
73,TLS Mutual,289.38,1
74,TLS Mutual,289.41,1
75,TLS Mutual,289.95,1
76,TLS Mutual,289.44,1
77,TLS Mutual,289.54,1
78,TLS Mutual,290.14,1
79,TLS Mutual,289.99,1
80,TLS Mutual,290.47,1
81,TLS Mutual,290.93,1
82,TLS Mutual,289.86,1
83,TLS Mutual,290.03,1
84,TLS Mutual,291.66,1
85,TLS Mutual,290.64,1
86,TLS Mutual,290.79,1
87,TLS Mutual,292.58,1
88,TLS Mutual,289.88,1
89,TLS Mutual,290.43,1
