execution,mode,handshake_duration_ms,success
1,TLS Mutual,417.41,1
2,TLS Mutual,305.12,1
3,TLS Mutual,308.17,1
4,TLS Mutual,290.41,1
5,TLS Mutual,304.94,1
6,TLS Mutual,304.92,1
7,TLS Mutual,304.78,1
8,TLS Mutual,304.67,1
9,TLS Mutual,304.96,1
10,TLS Mutual,308.73,1
11,TLS Mutual,294.12,1
12,TLS Mutual,303.16,1
13,TLS Mutual,305.44,1
14,TLS Mutual,304.81,1
15,TLS Mutual,305.62,1
16,TLS Mutual,291.15,1
17,TLS Mutual,304.53,1
18,TLS Mutual,307.96,1
19,TLS Mutual,302.24,1
20,TLS Mutual,288.76,1
21,TLS Mutual,301.62,1
22,TLS Mutual,304.3,1
23,TLS Mutual,302.19,1
24,TLS Mutual,304.61,1
25,TLS Mutual,300.73,1
26,TLS Mutual,285.89,1
27,TLS Mutual,287.59,1
28,TLS Mutual,304.27,1
29,TLS Mutual,301.71,1
30,TLS Mutual,307.74,1
31,TLS Mutual,304.47,1
32,TLS Mutual,300.54,1
33,TLS Mutual,304.77,1
34,TLS Mutual,304.04,1
35,TLS Mutual,302.85,1
36,TLS Mutual,304.73,1
37,TLS Mutual,284.61,1
38,TLS Mutual,304.8,1
39,TLS Mutual,284.95,1
40,TLS Mutual,287.41,1
41,TLS Mutual,284.9,1
42,TLS Mutual,304.79,1
43,TLS Mutual,309.5,1
44,TLS Mutual,287.46,1
45,TLS Mutual,306.75,1
46,TLS Mutual,289.94,1
47,TLS Mutual,289.04,1
48,TLS Mutual,302.61,1
49,TLS Mutual,304.96,1
50,TLS Mutual,301.89,1
51,TLS Mutual,290.19,1
52,TLS Mutual,302.63,1
53,TLS Mutual,304.29,1
54,TLS Mutual,302.49,1
55,TLS Mutual,306.38,1
56,TLS Mutual,304.53,1
57,TLS Mutual,304.21,1
58,TLS Mutual,302.49,1
59,TLS Mutual,304.62,1
60,TLS Mutual,289.37,1
61,TLS Mutual,304.91,1
62,TLS Mutual,288.88,1
63,TLS Mutual,287.1,1
64,TLS Mutual,286.06,1
65,TLS Mutual,303.57,1
66,TLS Mutual,306.23,1
67,TLS Mutual,302.52,1
68,TLS Mutual,304.93,1
69,TLS Mutual,300.77,1
70,TLS Mutual,303.85,1
71,TLS Mutual,304.76,1
72,TLS Mutual,290.54,1
73,TLS Mutual,287.5,1
74,TLS Mutual,304.38,1
75,TLS Mutual,301.92,1
76,TLS Mutual,304.98,1
77,TLS Mutual,301.73,1
78,TLS Mutual,304.77,1
79,TLS Mutual,288.17,1
80,TLS Mutual,306.03,1
81,TLS Mutual,302.37,1
82,TLS Mutual,303.76,1
83,TLS Mutual,308.78,1
84,TLS Mutual,304.96,1
85,TLS Mutual,304.55,1
86,TLS Mutual,303.92,1
87,TLS Mutual,302.68,1
88,TLS Mutual,306.98,1
89,TLS Mutual,304.07,1
90,TLS Mutual,288.5,1
91,TLS Mutual,285.74,1
92,TLS Mutual,303.93,1
93,TLS Mutual,302.26,1
94,TLS Mutual,288.58,1
95,TLS Mutual,305.04,1
96,TLS Mutual,304.59,1
97,TLS Mutual,300.88,1
98,TLS Mutual,709.0,1
99,TLS Mutual,301.39,1
100,TLS Mutual,304.48,1
101,TLS Mutual,301.57,1
102,TLS Mutual,306.7,1
103,TLS Mutual,287.11,1
104,TLS Mutual,305.8,1
105,TLS Mutual,283.6,1
106,TLS Mutual,304.09,1
107,TLS Mutual,290.76,1
108,TLS Mutual,301.01,1
109,TLS Mutual,309.03,1
110,TLS Mutual,308.69,1
111,TLS Mutual,303.86,1
112,TLS Mutual,306.86,1
113,TLS Mutual,304.9,1
114,TLS Mutual,302.49,1
115,TLS Mutual,304.62,1
116,TLS Mutual,301.67,1
117,TLS Mutual,303.97,1
118,TLS Mutual,302.88,1
119,TLS Mutual,305.07,1
120,TLS Mutual,304.32,1
121,TLS Mutual,307.87,1
122,TLS Mutual,303.88,1
123,TLS Mutual,292.75,1
124,TLS Mutual,306.05,1
125,TLS Mutual,309.0,1
126,TLS Mutual,302.46,1
127,TLS Mutual,305.25,1
128,TLS Mutual,304.99,1
129,TLS Mutual,308.1,1
130,TLS Mutual,308.96,1
131,TLS Mutual,304.38,1
132,TLS Mutual,305.15,1
133,TLS Mutual,309.17,1
134,TLS Mutual,285.79,1
135,TLS Mutual,304.98,1
136,TLS Mutual,292.08,1
137,TLS Mutual,304.97,1
138,TLS Mutual,303.55,1
139,TLS Mutual,306.84,1
140,TLS Mutual,283.26,1
141,TLS Mutual,283.17,1
142,TLS Mutual,305.01,1
143,TLS Mutual,304.72,1
144,TLS Mutual,302.35,1
145,TLS Mutual,304.76,1
146,TLS Mutual,306.75,1
147,TLS Mutual,304.27,1
148,TLS Mutual,306.3,1
149,TLS Mutual,303.35,1
150,TLS Mutual,304.71,1
151,TLS Mutual,290.23,1
152,TLS Mutual,304.65,1
153,TLS Mutual,305.21,1
154,TLS Mutual,302.86,1
155,TLS Mutual,305.98,1
