execution,mode,handshake_duration_ms,success
1,TLS Mutual,204.35,1
2,TLS Mutual,181.86,1
3,TLS Mutual,175.54,1
4,TLS Mutual,188.02,1
5,TLS Mutual,184.87,1
6,TLS Mutual,175.74,1
7,TLS Mutual,191.66,1
8,TLS Mutual,186.29,1
9,TLS Mutual,189.08,1
10,TLS Mutual,189.21,1
11,TLS Mutual,1199.09,1
12,TLS Mutual,188.14,1
13,TLS Mutual,189.49,1
14,TLS Mutual,160.24,1
15,TLS Mutual,184.99,1
16,TLS Mutual,190.64,1
17,TLS Mutual,188.57,1
18,TLS Mutual,183.71,1
19,TLS Mutual,179.06,1
20,TLS Mutual,187.1,1
21,TLS Mutual,162.12,1
22,TLS Mutual,192.1,1
23,TLS Mutual,187.32,1
24,TLS Mutual,190.76,1
25,TLS Mutual,190.17,1
26,TLS Mutual,189.44,1
27,TLS Mutual,190.87,1
28,TLS Mutual,1188.04,1
29,TLS Mutual,186.89,1
30,TLS Mutual,185.88,1
31,TLS Mutual,186.67,1
32,TLS Mutual,185.82,1
33,TLS Mutual,185.65,1
34,TLS Mutual,185.44,1
35,TLS Mutual,188.45,1
36,TLS Mutual,183.95,1
37,TLS Mutual,185.12,1
38,TLS Mutual,188.91,1
39,TLS Mutual,187.36,1
40,TLS Mutual,188.24,1
41,TLS Mutual,190.92,1
42,TLS Mutual,190.02,1
43,TLS Mutual,187.31,1
44,TLS Mutual,192.0,1
45,TLS Mutual,188.01,1
46,TLS Mutual,187.41,1
47,TLS Mutual,189.97,1
48,TLS Mutual,189.44,1
49,TLS Mutual,189.93,1
50,TLS Mutual,189.76,1
51,TLS Mutual,184.32,1
52,TLS Mutual,178.68,1
53,TLS Mutual,190.58,1
54,TLS Mutual,180.76,1
55,TLS Mutual,184.94,1
56,TLS Mutual,191.16,1
57,TLS Mutual,180.84,1
58,TLS Mutual,186.62,1
59,TLS Mutual,179.47,1
60,TLS Mutual,183.32,1
61,TLS Mutual,189.12,1
62,TLS Mutual,189.22,1
63,TLS Mutual,189.84,1
64,TLS Mutual,186.09,1
65,TLS Mutual,189.13,1
66,TLS Mutual,174.91,1
67,TLS Mutual,189.62,1
68,TLS Mutual,182.96,1
69,TLS Mutual,184.3,1
70,TLS Mutual,183.33,1
71,TLS Mutual,187.13,1
72,TLS Mutual,186.12,1
73,TLS Mutual,190.19,1
74,TLS Mutual,188.47,1
75,TLS Mutual,188.23,1
76,TLS Mutual,189.83,1
77,TLS Mutual,182.03,1
78,TLS Mutual,181.36,1
79,TLS Mutual,178.24,1
80,TLS Mutual,177.78,1
81,TLS Mutual,190.38,1
82,TLS Mutual,189.13,1
83,TLS Mutual,175.41,1
84,TLS Mutual,186.52,1
85,TLS Mutual,188.26,1
86,TLS Mutual,188.49,1
87,TLS Mutual,186.04,1
88,TLS Mutual,186.73,1
89,TLS Mutual,175.5,1
90,TLS Mutual,178.06,1
91,TLS Mutual,185.94,1
92,TLS Mutual,188.61,1
93,TLS Mutual,188.39,1
94,TLS Mutual,186.13,1
95,TLS Mutual,185.14,1
96,TLS Mutual,188.62,1
97,TLS Mutual,189.28,1
98,TLS Mutual,183.96,1
99,TLS Mutual,190.11,1
100,TLS Mutual,186.85,1
101,TLS Mutual,180.36,1
102,TLS Mutual,190.11,1
103,TLS Mutual,187.01,1
104,TLS Mutual,188.38,1
105,TLS Mutual,191.83,1
106,TLS Mutual,188.86,1
107,TLS Mutual,190.73,1
108,TLS Mutual,191.15,1
109,TLS Mutual,189.76,1
110,TLS Mutual,187.71,1
111,TLS Mutual,188.88,1
112,TLS Mutual,186.57,1
113,TLS Mutual,191.58,1
114,TLS Mutual,186.3,1
115,TLS Mutual,185.85,1
116,TLS Mutual,179.09,1
117,TLS Mutual,187.81,1
118,TLS Mutual,188.84,1
119,TLS Mutual,190.0,1
120,TLS Mutual,188.82,1
121,TLS Mutual,189.21,1
122,TLS Mutual,189.93,1
123,TLS Mutual,182.54,1
124,TLS Mutual,184.19,1
125,TLS Mutual,185.31,1
126,TLS Mutual,190.55,1
127,TLS Mutual,186.31,1
128,TLS Mutual,188.58,1
129,TLS Mutual,188.74,1
130,TLS Mutual,186.16,1
131,TLS Mutual,190.57,1
132,TLS Mutual,186.87,1
133,TLS Mutual,1318.97,1
134,TLS Mutual,179.02,1
135,TLS Mutual,189.74,1
136,TLS Mutual,191.39,1
137,TLS Mutual,190.24,1
138,TLS Mutual,190.27,1
139,TLS Mutual,167.55,1
140,TLS Mutual,159.3,1
141,TLS Mutual,191.26,1
142,TLS Mutual,188.81,1
143,TLS Mutual,192.16,1
