execution,mode,handshake_duration_ms,success
1,TLS Mutual,198.65,1
2,TLS Mutual,137.1,1
3,TLS Mutual,137.26,1
4,TLS Mutual,138.44,1
5,TLS Mutual,137.72,1
6,TLS Mutual,137.4,1
7,TLS Mutual,137.67,1
8,TLS Mutual,137.87,1
9,TLS Mutual,138.0,1
10,TLS Mutual,137.78,1
11,TLS Mutual,138.25,1
12,TLS Mutual,137.49,1
13,TLS Mutual,137.26,1
14,TLS Mutual,138.29,1
15,TLS Mutual,137.85,1
16,TLS Mutual,137.16,1
17,TLS Mutual,137.89,1
18,TLS Mutual,138.09,1
19,TLS Mutual,138.75,1
20,TLS Mutual,137.43,1
21,TLS Mutual,139.68,1
22,TLS Mutual,137.31,1
23,TLS Mutual,138.23,1
24,TLS Mutual,137.31,1
25,TLS Mutual,137.97,1
26,TLS Mutual,137.45,1
27,TLS Mutual,137.41,1
28,TLS Mutual,137.29,1
29,TLS Mutual,137.7,1
30,TLS Mutual,137.93,1
31,TLS Mutual,137.73,1
32,TLS Mutual,138.84,1
33,TLS Mutual,138.24,1
34,TLS Mutual,137.52,1
35,TLS Mutual,139.08,1
36,TLS Mutual,137.85,1
37,TLS Mutual,137.9,1
38,TLS Mutual,138.17,1
39,TLS Mutual,139.81,1
40,TLS Mutual,137.71,1
41,TLS Mutual,137.87,1
42,TLS Mutual,138.84,1
43,TLS Mutual,138.27,1
44,TLS Mutual,138.23,1
45,TLS Mutual,137.16,1
46,TLS Mutual,137.61,1
47,TLS Mutual,137.66,1
48,TLS Mutual,138.19,1
49,TLS Mutual,137.41,1
50,TLS Mutual,137.32,1
51,TLS Mutual,126.47,1
52,TLS Mutual,137.42,1
53,TLS Mutual,138.78,1
54,TLS Mutual,137.69,1
55,TLS Mutual,137.69,1
56,TLS Mutual,139.49,1
57,TLS Mutual,137.97,1
58,TLS Mutual,137.69,1
59,TLS Mutual,138.45,1
60,TLS Mutual,127.51,1
61,TLS Mutual,125.2,1
62,TLS Mutual,125.16,1
63,TLS Mutual,138.19,1
64,TLS Mutual,138.8,1
65,TLS Mutual,137.68,1
66,TLS Mutual,138.64,1
67,TLS Mutual,141.38,1
68,TLS Mutual,126.58,1
69,TLS Mutual,136.35,1
70,TLS Mutual,137.44,1
71,TLS Mutual,137.58,1
72,TLS Mutual,138.9,1
73,TLS Mutual,138.1,1
74,TLS Mutual,138.7,1
75,TLS Mutual,137.52,1
76,TLS Mutual,136.97,1
77,TLS Mutual,139.3,1
78,TLS Mutual,138.31,1
79,TLS Mutual,138.03,1
80,TLS Mutual,137.71,1
81,TLS Mutual,137.32,1
82,TLS Mutual,137.93,1
83,TLS Mutual,137.83,1
84,TLS Mutual,137.68,1
85,TLS Mutual,137.36,1
86,TLS Mutual,138.73,1
87,TLS Mutual,137.76,1
88,TLS Mutual,137.77,1
89,TLS Mutual,137.58,1
90,TLS Mutual,138.53,1
91,TLS Mutual,140.03,1
92,TLS Mutual,137.65,1
93,TLS Mutual,129.96,1
94,TLS Mutual,133.82,1
95,TLS Mutual,139.85,1
96,TLS Mutual,139.56,1
97,TLS Mutual,138.89,1
98,TLS Mutual,138.34,1
99,TLS Mutual,137.52,1
100,TLS Mutual,138.86,1
101,TLS Mutual,137.97,1
102,TLS Mutual,138.31,1
103,TLS Mutual,137.48,1
104,TLS Mutual,137.82,1
105,TLS Mutual,138.4,1
106,TLS Mutual,138.07,1
107,TLS Mutual,137.78,1
108,TLS Mutual,138.18,1
109,TLS Mutual,137.77,1
110,TLS Mutual,137.79,1
111,TLS Mutual,139.17,1
112,TLS Mutual,137.37,1
113,TLS Mutual,137.08,1
114,TLS Mutual,137.58,1
115,TLS Mutual,138.55,1
116,TLS Mutual,138.0,1
117,TLS Mutual,139.07,1
118,TLS Mutual,137.4,1
119,TLS Mutual,138.16,1
120,TLS Mutual,137.69,1
121,TLS Mutual,138.16,1
122,TLS Mutual,137.65,1
123,TLS Mutual,138.58,1
124,TLS Mutual,138.3,1
125,TLS Mutual,138.52,1
126,TLS Mutual,137.34,1
127,TLS Mutual,138.73,1
128,TLS Mutual,138.1,1
129,TLS Mutual,137.78,1
130,TLS Mutual,137.46,1
131,TLS Mutual,138.15,1
132,TLS Mutual,137.8,1
133,TLS Mutual,138.51,1
134,TLS Mutual,138.21,1
135,TLS Mutual,137.74,1
136,TLS Mutual,137.73,1
137,TLS Mutual,137.59,1
138,TLS Mutual,138.16,1
139,TLS Mutual,138.02,1
140,TLS Mutual,138.68,1
141,TLS Mutual,138.5,1
142,TLS Mutual,138.22,1
143,TLS Mutual,137.82,1
144,TLS Mutual,137.95,1
145,TLS Mutual,138.38,1
146,TLS Mutual,137.86,1
147,TLS Mutual,139.19,1
148,TLS Mutual,137.65,1
149,TLS Mutual,138.99,1
150,TLS Mutual,137.83,1
151,TLS Mutual,139.04,1
152,TLS Mutual,138.97,1
153,TLS Mutual,138.05,1
154,TLS Mutual,138.48,1
155,TLS Mutual,137.37,1
156,TLS Mutual,138.22,1
157,TLS Mutual,139.05,1
158,TLS Mutual,137.6,1
159,TLS Mutual,138.2,1
160,TLS Mutual,138.42,1
161,TLS Mutual,137.6,1
162,TLS Mutual,137.38,1
163,TLS Mutual,143.41,1
164,TLS Mutual,138.54,1
165,TLS Mutual,137.98,1
