execution,mode,handshake_duration_ms,success
1,TLS Mutual,230.96,1
2,TLS Mutual,169.28,1
3,TLS Mutual,185.27,1
4,TLS Mutual,192.1,1
5,TLS Mutual,161.18,1
6,TLS Mutual,162.82,1
7,TLS Mutual,186.28,1
8,TLS Mutual,182.64,1
9,TLS Mutual,177.49,1
10,TLS Mutual,207.24,1
11,TLS Mutual,179.28,1
12,TLS Mutual,174.62,1
13,TLS Mutual,178.81,1
14,TLS Mutual,181.38,1
15,TLS Mutual,169.44,1
16,TLS Mutual,184.16,1
17,TLS Mutual,176.57,1
18,TLS Mutual,183.38,1
19,TLS Mutual,176.15,1
20,TLS Mutual,175.09,1
21,TLS Mutual,187.67,1
22,TLS Mutual,191.59,1
23,TLS Mutual,182.88,1
24,TLS Mutual,178.14,1
25,TLS Mutual,192.76,1
26,TLS Mutual,178.1,1
27,TLS Mutual,205.6,1
28,TLS Mutual,172.97,1
29,TLS Mutual,188.83,1
30,TLS Mutual,184.75,1
31,TLS Mutual,206.71,1
32,TLS Mutual,169.88,1
33,TLS Mutual,184.17,1
34,TLS Mutual,174.7,1
35,TLS Mutual,259.25,1
36,TLS Mutual,197.56,1
37,TLS Mutual,169.51,1
38,TLS Mutual,186.44,1
39,TLS Mutual,230.69,1
40,TLS Mutual,174.77,1
41,TLS Mutual,168.5,1
42,TLS Mutual,173.72,1
43,TLS Mutual,170.37,1
44,TLS Mutual,172.17,1
45,TLS Mutual,172.44,1
46,TLS Mutual,186.38,1
47,TLS Mutual,168.77,1
48,TLS Mutual,179.75,1
49,TLS Mutual,184.01,1
50,TLS Mutual,191.13,1
51,TLS Mutual,178.79,1
52,TLS Mutual,183.9,1
53,TLS Mutual,247.61,1
54,TLS Mutual,180.2,1
55,TLS Mutual,169.07,1
56,TLS Mutual,209.98,1
57,TLS Mutual,172.59,1
58,TLS Mutual,178.56,1
59,TLS Mutual,170.68,1
60,TLS Mutual,192.25,1
61,TLS Mutual,169.38,1
62,TLS Mutual,180.98,1
63,TLS Mutual,181.91,1
64,TLS Mutual,265.88,1
65,TLS Mutual,186.18,1
66,TLS Mutual,185.01,1
67,TLS Mutual,196.89,1
68,TLS Mutual,182.74,1
69,TLS Mutual,189.34,1
70,TLS Mutual,197.07,1
71,TLS Mutual,191.75,1
72,TLS Mutual,175.54,1
73,TLS Mutual,167.54,1
74,TLS Mutual,168.94,1
75,TLS Mutual,195.83,1
76,TLS Mutual,175.96,1
77,TLS Mutual,196.89,1
78,TLS Mutual,166.82,1
79,TLS Mutual,169.84,1
80,TLS Mutual,182.17,1
81,TLS Mutual,176.13,1
82,TLS Mutual,173.96,1
83,TLS Mutual,226.75,1
84,TLS Mutual,184.3,1
85,TLS Mutual,202.74,1
86,TLS Mutual,198.49,1
87,TLS Mutual,198.39,1
88,TLS Mutual,203.78,1
89,TLS Mutual,180.32,1
90,TLS Mutual,188.85,1
91,TLS Mutual,211.7,1
92,TLS Mutual,204.75,1
93,TLS Mutual,1223.13,1
94,TLS Mutual,177.32,1
95,TLS Mutual,193.27,1
96,TLS Mutual,185.49,1
97,TLS Mutual,190.48,1
98,TLS Mutual,203.45,1
99,TLS Mutual,179.13,1
100,TLS Mutual,177.3,1
101,TLS Mutual,163.67,1
102,TLS Mutual,199.32,1
103,TLS Mutual,173.31,1
104,TLS Mutual,176.35,1
105,TLS Mutual,186.77,1
106,TLS Mutual,203.17,1
107,TLS Mutual,203.16,1
108,TLS Mutual,193.85,1
109,TLS Mutual,168.77,1
110,TLS Mutual,199.1,1
111,TLS Mutual,204.62,1
112,TLS Mutual,198.44,1
113,TLS Mutual,188.12,1
114,TLS Mutual,189.05,1
115,TLS Mutual,193.12,1
116,TLS Mutual,177.19,1
117,TLS Mutual,170.41,1
118,TLS Mutual,185.86,1
119,TLS Mutual,200.32,1
120,TLS Mutual,199.43,1
121,TLS Mutual,203.91,1
122,TLS Mutual,173.09,1
123,TLS Mutual,170.97,1
124,TLS Mutual,191.45,1
125,TLS Mutual,193.28,1
126,TLS Mutual,168.03,1
127,TLS Mutual,177.33,1
128,TLS Mutual,203.59,1
129,TLS Mutual,182.52,1
130,TLS Mutual,187.16,1
131,TLS Mutual,199.51,1
132,TLS Mutual,181.69,1
133,TLS Mutual,172.53,1
134,TLS Mutual,184.92,1
135,TLS Mutual,173.5,1
136,TLS Mutual,179.54,1
137,TLS Mutual,195.97,1
138,TLS Mutual,191.56,1
139,TLS Mutual,168.89,1
140,TLS Mutual,174.48,1
141,TLS Mutual,195.98,1
142,TLS Mutual,210.81,1
143,TLS Mutual,210.18,1
144,TLS Mutual,169.0,1
145,TLS Mutual,194.35,1
146,TLS Mutual,170.39,1
147,TLS Mutual,185.56,1
148,TLS Mutual,195.65,1
149,TLS Mutual,170.83,1
150,TLS Mutual,185.4,1
151,TLS Mutual,193.29,1
152,TLS Mutual,187.03,1
153,TLS Mutual,176.68,1
154,TLS Mutual,209.21,1
155,TLS Mutual,182.41,1
156,TLS Mutual,168.37,1
157,TLS Mutual,197.43,1
158,TLS Mutual,199.49,1
159,TLS Mutual,210.05,1
160,TLS Mutual,202.06,1
161,TLS Mutual,200.68,1
162,TLS Mutual,206.18,1
163,TLS Mutual,187.79,1
164,TLS Mutual,211.32,1
165,TLS Mutual,167.51,1
166,TLS Mutual,170.63,1
167,TLS Mutual,211.52,1
168,TLS Mutual,1225.09,1
169,TLS Mutual,185.95,1
170,TLS Mutual,210.89,1
171,TLS Mutual,205.24,1
172,TLS Mutual,210.91,1
173,TLS Mutual,209.03,1
174,TLS Mutual,201.66,1
175,TLS Mutual,211.71,1
176,TLS Mutual,213.59,1
177,TLS Mutual,205.09,1
178,TLS Mutual,206.77,1
179,TLS Mutual,209.95,1
180,TLS Mutual,206.08,1
181,TLS Mutual,168.41,1
182,TLS Mutual,209.63,1
183,TLS Mutual,204.8,1
184,TLS Mutual,183.81,1
185,TLS Mutual,205.21,1
186,TLS Mutual,205.93,1
187,TLS Mutual,209.47,1
188,TLS Mutual,206.2,1
189,TLS Mutual,190.67,1
190,TLS Mutual,209.76,1
191,TLS Mutual,207.03,1
192,TLS Mutual,207.48,1
193,TLS Mutual,211.24,1
194,TLS Mutual,213.31,1
195,TLS Mutual,208.38,1
196,TLS Mutual,212.22,1
197,TLS Mutual,207.2,1
198,TLS Mutual,203.4,1
199,TLS Mutual,206.19,1
200,TLS Mutual,201.55,1
201,TLS Mutual,177.22,1
202,TLS Mutual,206.07,1
203,TLS Mutual,199.18,1
204,TLS Mutual,199.32,1
205,TLS Mutual,205.76,1
206,TLS Mutual,207.14,1
207,TLS Mutual,207.7,1
208,TLS Mutual,204.73,1
209,TLS Mutual,209.28,1
210,TLS Mutual,212.44,1
211,TLS Mutual,211.34,1
212,TLS Mutual,210.09,1
213,TLS Mutual,207.3,1
214,TLS Mutual,209.77,1
215,TLS Mutual,203.6,1
216,TLS Mutual,214.81,1
217,TLS Mutual,189.43,1
218,TLS Mutual,168.8,1
219,TLS Mutual,165.25,1
220,TLS Mutual,167.58,1
221,TLS Mutual,170.19,1
222,TLS Mutual,204.1,1
223,TLS Mutual,171.09,1
224,TLS Mutual,168.82,1
225,TLS Mutual,185.65,1
226,TLS Mutual,209.1,1
227,TLS Mutual,204.35,1
228,TLS Mutual,197.85,1
229,TLS Mutual,218.12,1
230,TLS Mutual,202.3,1
231,TLS Mutual,171.99,1
232,TLS Mutual,184.82,1
233,TLS Mutual,189.15,1
234,TLS Mutual,195.24,1
235,TLS Mutual,190.63,1
236,TLS Mutual,204.02,1
237,TLS Mutual,211.63,1
238,TLS Mutual,193.19,1
239,TLS Mutual,165.95,1
240,TLS Mutual,181.99,1
