execution,mode,handshake_duration_ms,success
1,TLS Mutual,1251.89,1
2,TLS Mutual,164.77,1
3,TLS Mutual,169.92,1
4,TLS Mutual,164.81,1
5,TLS Mutual,172.94,1
6,TLS Mutual,164.22,1
7,TLS Mutual,162.23,1
8,TLS Mutual,180.84,1
9,TLS Mutual,170.7,1
10,TLS Mutual,166.96,1
11,TLS Mutual,166.88,1
12,TLS Mutual,161.32,1
13,TLS Mutual,158.37,1
14,TLS Mutual,172.63,1
15,TLS Mutual,168.75,1
16,TLS Mutual,166.55,1
17,TLS Mutual,179.46,1
18,TLS Mutual,161.09,1
19,TLS Mutual,162.52,1
20,TLS Mutual,181.17,1
21,TLS Mutual,177.84,1
22,TLS Mutual,172.21,1
23,TLS Mutual,161.98,1
24,TLS Mutual,181.19,1
25,TLS Mutual,184.49,1
26,TLS Mutual,179.25,1
27,TLS Mutual,163.41,1
28,TLS Mutual,182.47,1
29,TLS Mutual,161.77,1
30,TLS Mutual,162.24,1
31,TLS Mutual,165.75,1
32,TLS Mutual,172.76,1
33,TLS Mutual,180.35,1
34,TLS Mutual,189.23,1
35,TLS Mutual,173.31,1
36,TLS Mutual,162.1,1
37,TLS Mutual,165.07,1
38,TLS Mutual,175.22,1
39,TLS Mutual,184.25,1
40,TLS Mutual,190.28,1
41,TLS Mutual,185.51,1
42,TLS Mutual,183.19,1
43,TLS Mutual,184.83,1
44,TLS Mutual,159.31,1
45,TLS Mutual,185.66,1
46,TLS Mutual,180.71,1
47,TLS Mutual,164.71,1
48,TLS Mutual,172.24,1
49,TLS Mutual,188.87,1
50,TLS Mutual,164.99,1
51,TLS Mutual,182.03,1
52,TLS Mutual,187.48,1
53,TLS Mutual,167.88,1
54,TLS Mutual,188.71,1
55,TLS Mutual,182.26,1
56,TLS Mutual,186.56,1
57,TLS Mutual,172.49,1
58,TLS Mutual,180.7,1
59,TLS Mutual,158.24,1
60,TLS Mutual,179.99,1
61,TLS Mutual,164.27,1
62,TLS Mutual,164.3,1
63,TLS Mutual,165.11,1
64,TLS Mutual,164.88,1
65,TLS Mutual,159.19,1
66,TLS Mutual,163.61,1
67,TLS Mutual,162.62,1
68,TLS Mutual,160.83,1
69,TLS Mutual,162.43,1
70,TLS Mutual,163.11,1
71,TLS Mutual,184.49,1
72,TLS Mutual,165.56,1
73,TLS Mutual,175.43,1
74,TLS Mutual,190.99,1
75,TLS Mutual,161.03,1
76,TLS Mutual,186.68,1
77,TLS Mutual,179.66,1
78,TLS Mutual,175.85,1
79,TLS Mutual,169.85,1
80,TLS Mutual,163.72,1
81,TLS Mutual,163.32,1
82,TLS Mutual,160.91,1
83,TLS Mutual,157.81,1
84,TLS Mutual,177.26,1
85,TLS Mutual,181.56,1
86,TLS Mutual,162.78,1
87,TLS Mutual,162.75,1
88,TLS Mutual,162.93,1
89,TLS Mutual,162.32,1
90,TLS Mutual,162.98,1
91,TLS Mutual,157.97,1
92,TLS Mutual,161.72,1
93,TLS Mutual,159.76,1
94,TLS Mutual,162.9,1
95,TLS Mutual,178.51,1
96,TLS Mutual,160.67,1
97,TLS Mutual,161.16,1
98,TLS Mutual,160.47,1
99,TLS Mutual,162.45,1
100,TLS Mutual,161.36,1
101,TLS Mutual,163.55,1
102,TLS Mutual,160.41,1
103,TLS Mutual,158.48,1
104,TLS Mutual,158.82,1
105,TLS Mutual,164.13,1
106,TLS Mutual,181.75,1
107,TLS Mutual,183.68,1
108,TLS Mutual,187.12,1
109,TLS Mutual,188.26,1
110,TLS Mutual,173.0,1
111,TLS Mutual,164.31,1
112,TLS Mutual,224.68,1
113,TLS Mutual,166.95,1
114,TLS Mutual,185.92,1
115,TLS Mutual,187.92,1
116,TLS Mutual,177.42,1
117,TLS Mutual,161.98,1
118,TLS Mutual,166.75,1
119,TLS Mutual,169.0,1
120,TLS Mutual,162.43,1
121,TLS Mutual,185.03,1
122,TLS Mutual,183.8,1
123,TLS Mutual,163.79,1
124,TLS Mutual,184.37,1
125,TLS Mutual,182.21,1
126,TLS Mutual,181.45,1
127,TLS Mutual,163.73,1
128,TLS Mutual,186.89,1
129,TLS Mutual,183.94,1
130,TLS Mutual,193.6,1
131,TLS Mutual,182.54,1
132,TLS Mutual,188.34,1
133,TLS Mutual,162.34,1
134,TLS Mutual,192.14,1
135,TLS Mutual,163.25,1
136,TLS Mutual,186.71,1
137,TLS Mutual,186.57,1
138,TLS Mutual,181.16,1
139,TLS Mutual,184.86,1
140,TLS Mutual,186.56,1
141,TLS Mutual,187.35,1
142,TLS Mutual,184.89,1
143,TLS Mutual,186.87,1
144,TLS Mutual,181.23,1
145,TLS Mutual,187.18,1
146,TLS Mutual,188.05,1
147,TLS Mutual,188.15,1
148,TLS Mutual,185.12,1
149,TLS Mutual,187.87,1
150,TLS Mutual,173.45,1
151,TLS Mutual,167.25,1
152,TLS Mutual,165.41,1
153,TLS Mutual,163.37,1
154,TLS Mutual,160.6,1
155,TLS Mutual,187.59,1
156,TLS Mutual,175.43,1
157,TLS Mutual,176.18,1
158,TLS Mutual,164.49,1
159,TLS Mutual,189.47,1
160,TLS Mutual,162.88,1
161,TLS Mutual,189.05,1
162,TLS Mutual,185.95,1
163,TLS Mutual,187.22,1
164,TLS Mutual,162.68,1
165,TLS Mutual,160.57,1
166,TLS Mutual,182.59,1
167,TLS Mutual,181.91,1
168,TLS Mutual,185.56,1
169,TLS Mutual,180.93,1
170,TLS Mutual,187.34,1
171,TLS Mutual,187.55,1
172,TLS Mutual,184.25,1
173,TLS Mutual,183.37,1
174,TLS Mutual,185.23,1
175,TLS Mutual,182.35,1
176,TLS Mutual,185.24,1
177,TLS Mutual,159.22,1
178,TLS Mutual,188.8,1
179,TLS Mutual,186.23,1
