execution,mode,handshake_duration_ms,success
1,TLS Mutual,233.2,1
2,TLS Mutual,184.47,1
3,TLS Mutual,167.91,1
4,TLS Mutual,172.67,1
5,TLS Mutual,174.72,1
6,TLS Mutual,169.63,1
7,TLS Mutual,181.82,1
8,TLS Mutual,171.68,1
9,TLS Mutual,175.92,1
10,TLS Mutual,171.44,1
11,TLS Mutual,173.49,1
12,TLS Mutual,173.63,1
13,TLS Mutual,172.45,1
14,TLS Mutual,172.25,1
15,TLS Mutual,173.09,1
16,TLS Mutual,195.27,1
17,TLS Mutual,174.95,1
18,TLS Mutual,182.67,1
19,TLS Mutual,182.65,1
20,TLS Mutual,178.41,1
21,TLS Mutual,175.11,1
22,TLS Mutual,180.94,1
23,TLS Mutual,172.81,1
24,TLS Mutual,173.13,1
25,TLS Mutual,178.9,1
26,TLS Mutual,178.99,1
27,TLS Mutual,199.42,1
28,TLS Mutual,183.5,1
29,TLS Mutual,176.58,1
30,TLS Mutual,176.21,1
31,TLS Mutual,174.41,1
32,TLS Mutual,194.02,1
33,TLS Mutual,196.58,1
34,TLS Mutual,192.82,1
35,TLS Mutual,197.98,1
36,TLS Mutual,197.31,1
37,TLS Mutual,196.63,1
38,TLS Mutual,197.25,1
39,TLS Mutual,205.12,1
40,TLS Mutual,172.56,1
41,TLS Mutual,170.7,1
42,TLS Mutual,192.03,1
43,TLS Mutual,178.6,1
44,TLS Mutual,177.77,1
45,TLS Mutual,192.65,1
46,TLS Mutual,197.11,1
47,TLS Mutual,196.79,1
48,TLS Mutual,181.17,1
49,TLS Mutual,199.26,1
50,TLS Mutual,192.55,1
51,TLS Mutual,190.24,1
52,TLS Mutual,172.26,1
53,TLS Mutual,193.83,1
54,TLS Mutual,181.91,1
55,TLS Mutual,175.56,1
56,TLS Mutual,191.96,1
57,TLS Mutual,197.26,1
58,TLS Mutual,202.5,1
59,TLS Mutual,202.76,1
60,TLS Mutual,193.77,1
61,TLS Mutual,199.06,1
62,TLS Mutual,192.96,1
63,TLS Mutual,195.84,1
64,TLS Mutual,192.09,1
65,TLS Mutual,203.05,1
66,TLS Mutual,198.47,1
67,TLS Mutual,179.65,1
68,TLS Mutual,175.69,1
69,TLS Mutual,198.96,1
70,TLS Mutual,191.73,1
71,TLS Mutual,199.13,1
72,TLS Mutual,195.09,1
73,TLS Mutual,172.6,1
74,TLS Mutual,176.0,1
75,TLS Mutual,170.97,1
76,TLS Mutual,178.38,1
77,TLS Mutual,176.57,1
78,TLS Mutual,191.06,1
79,TLS Mutual,185.19,1
80,TLS Mutual,201.15,1
81,TLS Mutual,197.6,1
82,TLS Mutual,199.86,1
83,TLS Mutual,196.95,1
84,TLS Mutual,198.86,1
85,TLS Mutual,195.51,1
86,TLS Mutual,197.43,1
87,TLS Mutual,197.37,1
88,TLS Mutual,193.75,1
89,TLS Mutual,192.81,1
90,TLS Mutual,180.51,1
91,TLS Mutual,193.45,1
92,TLS Mutual,198.59,1
93,TLS Mutual,194.77,1
94,TLS Mutual,173.82,1
95,TLS Mutual,171.35,1
96,TLS Mutual,200.46,1
97,TLS Mutual,197.91,1
98,TLS Mutual,179.64,1
99,TLS Mutual,177.82,1
100,TLS Mutual,198.24,1
101,TLS Mutual,171.27,1
102,TLS Mutual,195.74,1
103,TLS Mutual,257.62,1
104,TLS Mutual,198.16,1
105,TLS Mutual,178.33,1
106,TLS Mutual,185.73,1
107,TLS Mutual,193.64,1
108,TLS Mutual,196.94,1
109,TLS Mutual,187.99,1
110,TLS Mutual,200.11,1
111,TLS Mutual,202.23,1
112,TLS Mutual,198.48,1
113,TLS Mutual,166.34,1
114,TLS Mutual,201.83,1
115,TLS Mutual,204.12,1
116,TLS Mutual,174.32,1
117,TLS Mutual,200.15,1
118,TLS Mutual,203.34,1
119,TLS Mutual,194.28,1
120,TLS Mutual,185.72,1
121,TLS Mutual,192.53,1
122,TLS Mutual,189.58,1
123,TLS Mutual,168.59,1
124,TLS Mutual,172.14,1
125,TLS Mutual,194.98,1
126,TLS Mutual,192.8,1
127,TLS Mutual,173.57,1
128,TLS Mutual,191.73,1
129,TLS Mutual,196.67,1
130,TLS Mutual,201.83,1
131,TLS Mutual,188.33,1
132,TLS Mutual,182.05,1
133,TLS Mutual,171.6,1
134,TLS Mutual,194.3,1
135,TLS Mutual,198.18,1
136,TLS Mutual,200.11,1
137,TLS Mutual,180.68,1
138,TLS Mutual,175.64,1
139,TLS Mutual,173.88,1
140,TLS Mutual,174.96,1
141,TLS Mutual,171.56,1
142,TLS Mutual,199.15,1
143,TLS Mutual,195.95,1
144,TLS Mutual,195.7,1
145,TLS Mutual,167.8,1
146,TLS Mutual,196.53,1
147,TLS Mutual,187.1,1
148,TLS Mutual,422.48,1
149,TLS Mutual,178.96,1
150,TLS Mutual,183.44,1
151,TLS Mutual,200.06,1
152,TLS Mutual,199.39,1
153,TLS Mutual,198.8,1
154,TLS Mutual,195.78,1
155,TLS Mutual,198.91,1
156,TLS Mutual,191.41,1
157,TLS Mutual,200.2,1
158,TLS Mutual,196.83,1
159,TLS Mutual,202.87,1
160,TLS Mutual,173.57,1
161,TLS Mutual,190.8,1
162,TLS Mutual,198.85,1
163,TLS Mutual,173.02,1
164,TLS Mutual,182.06,1
165,TLS Mutual,199.71,1
166,TLS Mutual,199.0,1
167,TLS Mutual,202.11,1
168,TLS Mutual,200.41,1
169,TLS Mutual,206.42,1
170,TLS Mutual,180.91,1
171,TLS Mutual,201.46,1
172,TLS Mutual,177.98,1
173,TLS Mutual,194.04,1
174,TLS Mutual,200.03,1
175,TLS Mutual,182.35,1
176,TLS Mutual,196.52,1
177,TLS Mutual,200.12,1
178,TLS Mutual,199.46,1
179,TLS Mutual,197.8,1
180,TLS Mutual,171.5,1
181,TLS Mutual,184.44,1
182,TLS Mutual,169.91,1
183,TLS Mutual,200.4,1
184,TLS Mutual,168.59,1
185,TLS Mutual,172.34,1
186,TLS Mutual,174.07,1
187,TLS Mutual,180.47,1
188,TLS Mutual,197.72,1
189,TLS Mutual,182.2,1
190,TLS Mutual,181.68,1
191,TLS Mutual,179.01,1
192,TLS Mutual,171.28,1
193,TLS Mutual,186.75,1
194,TLS Mutual,199.19,1
195,TLS Mutual,202.78,1
196,TLS Mutual,171.08,1
197,TLS Mutual,190.5,1
198,TLS Mutual,194.34,1
199,TLS Mutual,196.78,1
200,TLS Mutual,168.75,1
201,TLS Mutual,175.62,1
202,TLS Mutual,167.75,1
203,TLS Mutual,175.4,1
204,TLS Mutual,178.14,1
205,TLS Mutual,173.95,1
206,TLS Mutual,176.85,1
207,TLS Mutual,173.01,1
208,TLS Mutual,178.29,1
209,TLS Mutual,185.65,1
210,TLS Mutual,180.53,1
211,TLS Mutual,195.93,1
212,TLS Mutual,195.67,1
213,TLS Mutual,194.53,1
214,TLS Mutual,198.29,1
215,TLS Mutual,177.92,1
216,TLS Mutual,192.79,1
217,TLS Mutual,175.21,1
218,TLS Mutual,171.85,1
219,TLS Mutual,198.97,1
220,TLS Mutual,188.04,1
221,TLS Mutual,170.52,1
222,TLS Mutual,185.0,1
223,TLS Mutual,167.03,1
224,TLS Mutual,184.47,1
225,TLS Mutual,202.02,1
226,TLS Mutual,190.29,1
227,TLS Mutual,173.31,1
228,TLS Mutual,190.26,1
229,TLS Mutual,185.69,1
230,TLS Mutual,181.45,1
231,TLS Mutual,174.28,1
232,TLS Mutual,175.16,1
233,TLS Mutual,170.8,1
234,TLS Mutual,167.56,1
235,TLS Mutual,164.73,1
236,TLS Mutual,171.91,1
237,TLS Mutual,197.24,1
238,TLS Mutual,199.36,1
239,TLS Mutual,169.83,1
240,TLS Mutual,170.81,1
241,TLS Mutual,167.97,1
242,TLS Mutual,260.69,1
243,TLS Mutual,167.62,1
244,TLS Mutual,170.41,1
245,TLS Mutual,187.25,1
246,TLS Mutual,191.6,1
247,TLS Mutual,200.08,1
248,TLS Mutual,170.66,1
249,TLS Mutual,196.46,1
250,TLS Mutual,174.69,1
251,TLS Mutual,188.58,1
252,TLS Mutual,196.01,1
253,TLS Mutual,196.46,1
254,TLS Mutual,191.91,1
255,TLS Mutual,175.28,1
256,TLS Mutual,181.85,1
257,TLS Mutual,178.7,1
258,TLS Mutual,172.54,1
259,TLS Mutual,187.83,1
260,TLS Mutual,191.14,1
261,TLS Mutual,182.43,1
262,TLS Mutual,195.18,1
263,TLS Mutual,196.32,1
264,TLS Mutual,197.03,1
265,TLS Mutual,170.36,1
266,TLS Mutual,182.83,1
267,TLS Mutual,193.79,1
268,TLS Mutual,178.86,1
269,TLS Mutual,272.7,1
270,TLS Mutual,191.61,1
271,TLS Mutual,186.5,1
272,TLS Mutual,199.83,1
273,TLS Mutual,197.26,1
274,TLS Mutual,196.32,1
275,TLS Mutual,163.85,1
276,TLS Mutual,191.88,1
277,TLS Mutual,199.84,1
278,TLS Mutual,178.15,1
279,TLS Mutual,167.13,1
280,TLS Mutual,198.83,1
281,TLS Mutual,191.93,1
282,TLS Mutual,196.51,1
283,TLS Mutual,200.14,1
284,TLS Mutual,185.37,1
285,TLS Mutual,169.64,1
286,TLS Mutual,195.89,1
287,TLS Mutual,194.85,1
288,TLS Mutual,191.75,1
289,TLS Mutual,165.5,1
290,TLS Mutual,195.39,1
291,TLS Mutual,184.3,1
292,TLS Mutual,196.69,1
293,TLS Mutual,192.14,1
294,TLS Mutual,196.92,1
295,TLS Mutual,192.47,1
296,TLS Mutual,192.5,1
297,TLS Mutual,194.08,1
298,TLS Mutual,192.91,1
299,TLS Mutual,1378.29,1
300,TLS Mutual,184.0,1
301,TLS Mutual,185.9,1
302,TLS Mutual,190.7,1
303,TLS Mutual,178.13,1
304,TLS Mutual,224.51,1
305,TLS Mutual,183.51,1
306,TLS Mutual,183.71,1
307,TLS Mutual,194.0,1
308,TLS Mutual,170.94,1
309,TLS Mutual,175.02,1
310,TLS Mutual,190.83,1
311,TLS Mutual,193.14,1
312,TLS Mutual,175.13,1
313,TLS Mutual,185.21,1
314,TLS Mutual,177.62,1
315,TLS Mutual,189.18,1
316,TLS Mutual,178.68,1
317,TLS Mutual,233.85,1
318,TLS Mutual,197.67,1
319,TLS Mutual,172.06,1
320,TLS Mutual,193.97,1
321,TLS Mutual,184.44,1
322,TLS Mutual,172.5,1
323,TLS Mutual,197.53,1
324,TLS Mutual,197.63,1
325,TLS Mutual,174.51,1
326,TLS Mutual,171.07,1
327,TLS Mutual,202.34,1
328,TLS Mutual,192.62,1
329,TLS Mutual,179.16,1
330,TLS Mutual,192.73,1
331,TLS Mutual,174.04,1
332,TLS Mutual,185.53,1
333,TLS Mutual,197.19,1
334,TLS Mutual,196.67,1
335,TLS Mutual,198.32,1
336,TLS Mutual,200.11,1
337,TLS Mutual,198.16,1
338,TLS Mutual,172.2,1
339,TLS Mutual,175.56,1
340,TLS Mutual,181.88,1
341,TLS Mutual,184.9,1
342,TLS Mutual,181.74,1
343,TLS Mutual,195.45,1
344,TLS Mutual,195.6,1
345,TLS Mutual,181.41,1
346,TLS Mutual,196.81,1
347,TLS Mutual,191.02,1
348,TLS Mutual,200.23,1
349,TLS Mutual,180.94,1
350,TLS Mutual,178.38,1
351,TLS Mutual,196.41,1
352,TLS Mutual,172.5,1
353,TLS Mutual,195.01,1
354,TLS Mutual,196.4,1
355,TLS Mutual,200.92,1
356,TLS Mutual,198.31,1
357,TLS Mutual,175.32,1
358,TLS Mutual,201.98,1
359,TLS Mutual,189.55,1
360,TLS Mutual,173.91,1
361,TLS Mutual,185.71,1
362,TLS Mutual,177.37,1
363,TLS Mutual,170.98,1
364,TLS Mutual,198.91,1
365,TLS Mutual,200.21,1
366,TLS Mutual,182.59,1
367,TLS Mutual,187.55,1
368,TLS Mutual,180.56,1
369,TLS Mutual,198.99,1
370,TLS Mutual,185.69,1
371,TLS Mutual,188.7,1
372,TLS Mutual,183.17,1
373,TLS Mutual,168.5,1
374,TLS Mutual,196.68,1
375,TLS Mutual,172.24,1
376,TLS Mutual,194.01,1
377,TLS Mutual,171.28,1
378,TLS Mutual,171.78,1
379,TLS Mutual,170.39,1
380,TLS Mutual,167.61,1
381,TLS Mutual,195.02,1
382,TLS Mutual,197.66,1
383,TLS Mutual,171.81,1
384,TLS Mutual,195.99,1
385,TLS Mutual,172.94,1
386,TLS Mutual,170.47,1
387,TLS Mutual,192.37,1
388,TLS Mutual,196.27,1
389,TLS Mutual,180.6,1
390,TLS Mutual,199.15,1
391,TLS Mutual,186.24,1
392,TLS Mutual,170.94,1
393,TLS Mutual,168.24,1
394,TLS Mutual,199.12,1
395,TLS Mutual,172.61,1
396,TLS Mutual,170.5,1
397,TLS Mutual,197.56,1
398,TLS Mutual,173.97,1
399,TLS Mutual,176.91,1
400,TLS Mutual,177.12,1
401,TLS Mutual,171.59,1
402,TLS Mutual,174.96,1
403,TLS Mutual,175.47,1
404,TLS Mutual,204.26,1
405,TLS Mutual,175.8,1
406,TLS Mutual,197.31,1
407,TLS Mutual,193.43,1
408,TLS Mutual,190.75,1
409,TLS Mutual,171.43,1
410,TLS Mutual,196.57,1
411,TLS Mutual,170.91,1
412,TLS Mutual,197.02,1
413,TLS Mutual,183.81,1
414,TLS Mutual,172.24,1
415,TLS Mutual,194.22,1
416,TLS Mutual,201.23,1
417,TLS Mutual,187.96,1
418,TLS Mutual,211.05,1
419,TLS Mutual,199.21,1
420,TLS Mutual,188.04,1
421,TLS Mutual,188.99,1
422,TLS Mutual,174.46,1
423,TLS Mutual,194.22,1
424,TLS Mutual,198.09,1
425,TLS Mutual,194.2,1
426,TLS Mutual,189.79,1
427,TLS Mutual,196.98,1
428,TLS Mutual,200.83,1
429,TLS Mutual,208.81,1
430,TLS Mutual,175.06,1
431,TLS Mutual,186.33,1
432,TLS Mutual,195.34,1
433,TLS Mutual,195.28,1
434,TLS Mutual,197.03,1
435,TLS Mutual,178.58,1
436,TLS Mutual,194.23,1
437,TLS Mutual,194.02,1
438,TLS Mutual,171.4,1
439,TLS Mutual,177.65,1
440,TLS Mutual,167.83,1
441,TLS Mutual,191.17,1
442,TLS Mutual,183.25,1
443,TLS Mutual,165.15,1
444,TLS Mutual,183.81,1
445,TLS Mutual,169.36,1
446,TLS Mutual,172.66,1
447,TLS Mutual,179.25,1
448,TLS Mutual,193.05,1
449,TLS Mutual,175.84,1
450,TLS Mutual,184.77,1
451,TLS Mutual,178.96,1
452,TLS Mutual,193.4,1
453,TLS Mutual,194.59,1
454,TLS Mutual,186.75,1
455,TLS Mutual,194.68,1
456,TLS Mutual,188.65,1
457,TLS Mutual,189.55,1
458,TLS Mutual,180.71,1
459,TLS Mutual,170.51,1
460,TLS Mutual,178.68,1
461,TLS Mutual,172.56,1
462,TLS Mutual,199.2,1
463,TLS Mutual,191.61,1
464,TLS Mutual,199.12,1
465,TLS Mutual,185.29,1
466,TLS Mutual,163.67,1
467,TLS Mutual,177.75,1
468,TLS Mutual,199.44,1
469,TLS Mutual,190.78,1
470,TLS Mutual,184.67,1
471,TLS Mutual,196.38,1
472,TLS Mutual,176.88,1
473,TLS Mutual,179.51,1
474,TLS Mutual,172.06,1
475,TLS Mutual,197.37,1
476,TLS Mutual,189.61,1
477,TLS Mutual,197.51,1
478,TLS Mutual,203.18,1
479,TLS Mutual,190.12,1
480,TLS Mutual,184.15,1
481,TLS Mutual,198.05,1
482,TLS Mutual,1373.77,1
483,TLS Mutual,186.03,1
484,TLS Mutual,174.98,1
485,TLS Mutual,180.72,1
486,TLS Mutual,173.6,1
487,TLS Mutual,196.62,1
488,TLS Mutual,179.0,1
489,TLS Mutual,181.42,1
490,TLS Mutual,194.93,1
491,TLS Mutual,194.73,1
492,TLS Mutual,195.23,1
493,TLS Mutual,197.97,1
494,TLS Mutual,186.32,1
495,TLS Mutual,184.03,1
496,TLS Mutual,189.85,1
497,TLS Mutual,190.94,1
498,TLS Mutual,185.57,1
499,TLS Mutual,185.53,1
500,TLS Mutual,182.7,1
