execution,mode,handshake_duration_ms,success
1,TLS Mutual,253.72,1
2,TLS Mutual,185.63,1
3,TLS Mutual,191.42,1
4,TLS Mutual,163.61,1
5,TLS Mutual,175.28,1
6,TLS Mutual,161.43,1
7,TLS Mutual,186.0,1
8,TLS Mutual,189.45,1
9,TLS Mutual,184.29,1
10,TLS Mutual,184.09,1
11,TLS Mutual,190.98,1
12,TLS Mutual,189.32,1
13,TLS Mutual,187.91,1
14,TLS Mutual,182.08,1
15,TLS Mutual,171.26,1
16,TLS Mutual,180.1,1
17,TLS Mutual,187.6,1
18,TLS Mutual,190.4,1
19,TLS Mutual,163.69,1
20,TLS Mutual,191.9,1
21,TLS Mutual,182.93,1
22,TLS Mutual,182.45,1
23,TLS Mutual,184.71,1
24,TLS Mutual,159.41,1
25,TLS Mutual,167.05,1
26,TLS Mutual,185.45,1
27,TLS Mutual,181.8,1
28,TLS Mutual,183.78,1
29,TLS Mutual,188.96,1
30,TLS Mutual,183.31,1
31,TLS Mutual,186.95,1
32,TLS Mutual,189.63,1
33,TLS Mutual,187.83,1
34,TLS Mutual,187.99,1
35,TLS Mutual,192.17,1
36,TLS Mutual,185.9,1
37,TLS Mutual,191.79,1
38,TLS Mutual,187.57,1
39,TLS Mutual,189.24,1
40,TLS Mutual,191.71,1
41,TLS Mutual,166.13,1
42,TLS Mutual,185.22,1
43,TLS Mutual,181.45,1
44,TLS Mutual,185.07,1
45,TLS Mutual,185.1,1
46,TLS Mutual,185.44,1
47,TLS Mutual,190.38,1
48,TLS Mutual,185.44,1
49,TLS Mutual,186.5,1
50,TLS Mutual,188.41,1
51,TLS Mutual,174.1,1
52,TLS Mutual,179.62,1
53,TLS Mutual,182.87,1
54,TLS Mutual,187.35,1
55,TLS Mutual,188.47,1
56,TLS Mutual,188.83,1
57,TLS Mutual,161.28,1
58,TLS Mutual,180.75,1
59,TLS Mutual,180.08,1
60,TLS Mutual,187.68,1
61,TLS Mutual,180.97,1
62,TLS Mutual,186.26,1
63,TLS Mutual,187.13,1
64,TLS Mutual,189.47,1
65,TLS Mutual,187.78,1
66,TLS Mutual,185.03,1
67,TLS Mutual,190.32,1
68,TLS Mutual,187.36,1
69,TLS Mutual,181.09,1
70,TLS Mutual,185.35,1
71,TLS Mutual,174.09,1
72,TLS Mutual,243.57,1
73,TLS Mutual,190.22,1
74,TLS Mutual,187.41,1
75,TLS Mutual,186.92,1
76,TLS Mutual,187.95,1
77,TLS Mutual,156.78,1
78,TLS Mutual,181.08,1
79,TLS Mutual,188.72,1
80,TLS Mutual,169.46,1
81,TLS Mutual,191.13,1
82,TLS Mutual,187.09,1
83,TLS Mutual,162.48,1
84,TLS Mutual,184.25,1
85,TLS Mutual,167.13,1
86,TLS Mutual,192.02,1
87,TLS Mutual,186.49,1
88,TLS Mutual,188.45,1
89,TLS Mutual,189.21,1
90,TLS Mutual,193.51,1
91,TLS Mutual,174.48,1
92,TLS Mutual,191.73,1
93,TLS Mutual,193.42,1
94,TLS Mutual,169.32,1
95,TLS Mutual,183.98,1
96,TLS Mutual,190.51,1
97,TLS Mutual,178.53,1
98,TLS Mutual,185.55,1
99,TLS Mutual,190.75,1
100,TLS Mutual,185.62,1
101,TLS Mutual,188.12,1
102,TLS Mutual,182.08,1
103,TLS Mutual,185.0,1
104,TLS Mutual,185.47,1
105,TLS Mutual,186.72,1
106,TLS Mutual,188.96,1
107,TLS Mutual,186.19,1
108,TLS Mutual,183.48,1
109,TLS Mutual,186.56,1
110,TLS Mutual,183.54,1
111,TLS Mutual,184.99,1
112,TLS Mutual,175.65,1
113,TLS Mutual,183.05,1
114,TLS Mutual,188.71,1
115,TLS Mutual,189.57,1
116,TLS Mutual,188.85,1
117,TLS Mutual,183.08,1
118,TLS Mutual,187.84,1
119,TLS Mutual,181.07,1
120,TLS Mutual,183.4,1
121,TLS Mutual,185.86,1
122,TLS Mutual,191.91,1
123,TLS Mutual,185.93,1
124,TLS Mutual,184.71,1
125,TLS Mutual,176.31,1
126,TLS Mutual,190.58,1
127,TLS Mutual,186.7,1
128,TLS Mutual,184.31,1
129,TLS Mutual,185.91,1
130,TLS Mutual,187.5,1
131,TLS Mutual,187.53,1
132,TLS Mutual,187.6,1
133,TLS Mutual,188.5,1
134,TLS Mutual,185.43,1
135,TLS Mutual,191.2,1
136,TLS Mutual,185.23,1
137,TLS Mutual,177.01,1
138,TLS Mutual,173.95,1
139,TLS Mutual,191.51,1
140,TLS Mutual,163.37,1
141,TLS Mutual,190.03,1
142,TLS Mutual,181.7,1
143,TLS Mutual,187.45,1
144,TLS Mutual,180.71,1
145,TLS Mutual,183.86,1
146,TLS Mutual,168.69,1
147,TLS Mutual,189.71,1
148,TLS Mutual,186.89,1
149,TLS Mutual,184.91,1
150,TLS Mutual,182.6,1
151,TLS Mutual,190.15,1
152,TLS Mutual,188.09,1
153,TLS Mutual,189.06,1
154,TLS Mutual,187.44,1
155,TLS Mutual,187.94,1
156,TLS Mutual,184.49,1
157,TLS Mutual,186.0,1
158,TLS Mutual,183.06,1
159,TLS Mutual,174.83,1
160,TLS Mutual,183.69,1
161,TLS Mutual,182.99,1
162,TLS Mutual,165.36,1
163,TLS Mutual,180.9,1
164,TLS Mutual,186.25,1
165,TLS Mutual,180.55,1
166,TLS Mutual,173.41,1
167,TLS Mutual,177.03,1
168,TLS Mutual,185.59,1
169,TLS Mutual,185.1,1
170,TLS Mutual,187.08,1
171,TLS Mutual,187.9,1
172,TLS Mutual,186.94,1
173,TLS Mutual,187.13,1
174,TLS Mutual,181.0,1
175,TLS Mutual,186.22,1
176,TLS Mutual,187.26,1
177,TLS Mutual,185.66,1
178,TLS Mutual,186.85,1
179,TLS Mutual,184.58,1
180,TLS Mutual,186.96,1
181,TLS Mutual,189.15,1
182,TLS Mutual,176.01,1
183,TLS Mutual,184.37,1
184,TLS Mutual,176.08,1
185,TLS Mutual,181.21,1
186,TLS Mutual,185.18,1
