execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,433.34,1,4,4
2,TLS Mutual,331.9,1,4,4
3,TLS Mutual,307.52,1,4,4
4,TLS Mutual,329.43,1,4,4
5,TLS Mutual,331.06,1,4,4
6,TLS Mutual,818.22,1,4,4
7,TLS Mutual,330.65,1,4,4
8,TLS Mutual,305.44,1,4,4
9,TLS Mutual,320.93,1,4,4
10,TLS Mutual,334.11,1,4,4
11,TLS Mutual,318.61,1,4,4
12,TLS Mutual,315.79,1,4,4
13,TLS Mutual,333.06,1,4,4
14,TLS Mutual,322.21,1,4,4
15,TLS Mutual,330.62,1,4,4
16,TLS Mutual,320.78,1,4,4
17,TLS Mutual,329.42,1,4,4
18,TLS Mutual,449.92,1,4,4
19,TLS Mutual,333.32,1,4,4
20,TLS Mutual,321.46,1,4,4
21,TLS Mutual,308.24,1,4,4
22,TLS Mutual,334.76,1,4,4
23,TLS Mutual,331.24,1,4,4
24,TLS Mutual,455.23,1,4,4
25,TLS Mutual,320.34,1,4,4
26,TLS Mutual,331.15,1,4,4
27,TLS Mutual,473.48,1,4,4
28,TLS Mutual,331.63,1,4,4
29,TLS Mutual,332.18,1,4,4
30,TLS Mutual,440.33,1,4,4
31,TLS Mutual,482.49,1,4,4
32,TLS Mutual,327.75,1,4,4
33,TLS Mutual,331.75,1,4,4
34,TLS Mutual,325.45,1,4,4
35,TLS Mutual,289.59,1,4,4
36,TLS Mutual,329.16,1,4,4
37,TLS Mutual,302.68,1,4,4
38,TLS Mutual,331.33,1,4,4
39,TLS Mutual,319.29,1,4,4
40,TLS Mutual,332.62,1,4,4
41,TLS Mutual,427.67,1,4,4
42,TLS Mutual,281.89,1,4,4
43,TLS Mutual,306.48,1,4,4
44,TLS Mutual,311.59,1,4,4
45,TLS Mutual,308.19,1,4,4
46,TLS Mutual,332.19,1,4,4
47,TLS Mutual,333.85,1,4,4
48,TLS Mutual,328.55,1,4,4
49,TLS Mutual,318.83,1,4,4
50,TLS Mutual,330.84,1,4,4
51,TLS Mutual,327.72,1,4,4
52,TLS Mutual,332.58,1,4,4
53,TLS Mutual,307.33,1,4,4
54,TLS Mutual,306.4,1,4,4
55,TLS Mutual,329.32,1,4,4
56,TLS Mutual,331.67,1,4,4
57,TLS Mutual,329.11,1,4,4
58,TLS Mutual,331.83,1,4,4
59,TLS Mutual,327.98,1,4,4
60,TLS Mutual,312.72,1,4,4
61,TLS Mutual,330.84,1,4,4
62,TLS Mutual,330.88,1,4,4
63,TLS Mutual,331.7,1,4,4
64,TLS Mutual,469.67,1,4,4
65,TLS Mutual,331.1,1,4,4
66,TLS Mutual,330.97,1,4,4
67,TLS Mutual,319.97,1,4,4
68,TLS Mutual,330.38,1,4,4
69,TLS Mutual,333.08,1,4,4
70,TLS Mutual,330.57,1,4,4
71,TLS Mutual,319.75,1,4,4
72,TLS Mutual,329.85,1,4,4
73,TLS Mutual,307.59,1,4,4
74,TLS Mutual,336.58,1,4,4
75,TLS Mutual,316.61,1,4,4
76,TLS Mutual,331.13,1,4,4
77,TLS Mutual,1387.42,1,4,4
78,TLS Mutual,333.79,1,4,4
79,TLS Mutual,419.67,1,4,4
80,TLS Mutual,332.96,1,4,4
81,TLS Mutual,453.98,1,4,4
82,TLS Mutual,320.15,1,4,4
83,TLS Mutual,331.01,1,4,4
84,TLS Mutual,318.55,1,4,4
85,TLS Mutual,333.35,1,4,4
86,TLS Mutual,332.36,1,4,4
87,TLS Mutual,323.14,1,4,4
88,TLS Mutual,317.63,1,4,4
89,TLS Mutual,304.48,1,4,4
90,TLS Mutual,318.04,1,4,4
91,TLS Mutual,332.01,1,4,4
92,TLS Mutual,306.85,1,4,4
93,TLS Mutual,333.48,1,4,4
94,TLS Mutual,333.54,1,4,4
95,TLS Mutual,305.61,1,4,4
96,TLS Mutual,294.49,1,4,4
97,TLS Mutual,307.58,1,4,4
98,TLS Mutual,301.15,1,4,4
99,TLS Mutual,317.46,1,4,4
100,TLS Mutual,330.38,1,4,4
101,TLS Mutual,313.91,1,4,4
102,TLS Mutual,310.48,1,4,4
103,TLS Mutual,330.79,1,4,4
104,TLS Mutual,305.74,1,4,4
105,TLS Mutual,307.79,1,4,4
106,TLS Mutual,332.65,1,4,4
107,TLS Mutual,321.52,1,4,4
108,TLS Mutual,330.2,1,4,4
109,TLS Mutual,334.23,1,4,4
110,TLS Mutual,319.62,1,4,4
111,TLS Mutual,305.75,1,4,4
112,TLS Mutual,320.66,1,4,4
113,TLS Mutual,330.9,1,4,4
114,TLS Mutual,333.62,1,4,4
115,TLS Mutual,331.31,1,4,4
116,TLS Mutual,319.57,1,4,4
117,TLS Mutual,331.72,1,4,4
118,TLS Mutual,318.34,1,4,4
119,TLS Mutual,330.25,1,4,4
120,TLS Mutual,333.82,1,4,4
121,TLS Mutual,320.63,1,4,4
122,TLS Mutual,321.52,1,4,4
123,TLS Mutual,333.23,1,4,4
124,TLS Mutual,319.76,1,4,4
125,TLS Mutual,307.09,1,4,4
