execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,591.33,1,3,4
2,TLS Mutual,464.71,1,3,4
3,TLS Mutual,471.54,1,3,4
4,TLS Mutual,461.42,1,3,4
5,TLS Mutual,473.86,1,3,4
6,TLS Mutual,494.72,1,3,4
7,TLS Mutual,623.05,1,3,4
8,TLS Mutual,473.6,1,3,4
9,TLS Mutual,481.14,1,3,4
10,TLS Mutual,494.07,1,3,4
11,TLS Mutual,491.65,1,3,4
12,TLS Mutual,469.36,1,3,4
13,TLS Mutual,501.47,1,3,4
14,TLS Mutual,496.35,1,3,4
15,TLS Mutual,492.64,1,3,4
16,TLS Mutual,468.61,1,3,4
17,TLS Mutual,469.55,1,3,4
18,TLS Mutual,494.19,1,3,4
19,TLS Mutual,471.23,1,3,4
20,TLS Mutual,617.76,1,3,4
21,TLS Mutual,496.48,1,3,4
22,TLS Mutual,492.5,1,3,4
23,TLS Mutual,469.24,1,3,4
24,TLS Mutual,470.55,1,3,4
25,TLS Mutual,489.28,1,3,4
26,TLS Mutual,496.23,1,3,4
27,TLS Mutual,496.83,1,3,4
28,TLS Mutual,495.22,1,3,4
29,TLS Mutual,492.7,1,3,4
30,TLS Mutual,470.6,1,3,4
31,TLS Mutual,495.2,1,3,4
32,TLS Mutual,495.19,1,3,4
33,TLS Mutual,496.44,1,3,4
34,TLS Mutual,477.61,1,3,4
35,TLS Mutual,495.24,1,3,4
36,TLS Mutual,467.37,1,3,4
37,TLS Mutual,493.5,1,3,4
38,TLS Mutual,496.35,1,3,4
39,TLS Mutual,497.0,1,3,4
40,TLS Mutual,472.71,1,3,4
41,TLS Mutual,493.95,1,3,4
42,TLS Mutual,496.04,1,3,4
43,TLS Mutual,490.88,1,3,4
44,TLS Mutual,490.69,1,3,4
45,TLS Mutual,959.59,1,3,4
46,TLS Mutual,495.65,1,3,4
47,TLS Mutual,1518.15,1,3,4
48,TLS Mutual,494.39,1,3,4
49,TLS Mutual,596.86,1,3,4
50,TLS Mutual,493.8,1,3,4
51,TLS Mutual,497.14,1,3,4
52,TLS Mutual,472.21,1,3,4
53,TLS Mutual,472.46,1,3,4
54,TLS Mutual,494.27,1,3,4
55,TLS Mutual,496.02,1,3,4
56,TLS Mutual,492.51,1,3,4
57,TLS Mutual,493.7,1,3,4
58,TLS Mutual,472.23,1,3,4
59,TLS Mutual,494.82,1,3,4
60,TLS Mutual,495.43,1,3,4
61,TLS Mutual,471.61,1,3,4
62,TLS Mutual,494.15,1,3,4
63,TLS Mutual,492.27,1,3,4
64,TLS Mutual,620.88,1,3,4
65,TLS Mutual,491.3,1,3,4
66,TLS Mutual,468.65,1,3,4
67,TLS Mutual,464.32,1,3,4
68,TLS Mutual,496.51,1,3,4
69,TLS Mutual,470.25,1,3,4
70,TLS Mutual,478.58,1,3,4
71,TLS Mutual,494.44,1,3,4
72,TLS Mutual,498.02,1,3,4
73,TLS Mutual,494.5,1,3,4
74,TLS Mutual,477.66,1,3,4
75,TLS Mutual,490.21,1,3,4
76,TLS Mutual,469.29,1,3,4
77,TLS Mutual,501.12,1,3,4
78,TLS Mutual,499.41,1,3,4
79,TLS Mutual,460.9,1,3,4
80,TLS Mutual,492.53,1,3,4
81,TLS Mutual,471.93,1,3,4
82,TLS Mutual,494.16,1,3,4
83,TLS Mutual,493.88,1,3,4
84,TLS Mutual,494.11,1,3,4
85,TLS Mutual,488.48,1,3,4
86,TLS Mutual,494.54,1,3,4
87,TLS Mutual,493.76,1,3,4
88,TLS Mutual,489.31,1,3,4
89,TLS Mutual,478.23,1,3,4
90,TLS Mutual,469.06,1,3,4
91,TLS Mutual,496.23,1,3,4
92,TLS Mutual,494.68,1,3,4
93,TLS Mutual,473.74,1,3,4
94,TLS Mutual,495.61,1,3,4
95,TLS Mutual,491.52,1,3,4
96,TLS Mutual,494.4,1,3,4
97,TLS Mutual,465.31,1,3,4
98,TLS Mutual,617.81,1,3,4
99,TLS Mutual,491.43,1,3,4
100,TLS Mutual,472.85,1,3,4
101,TLS Mutual,493.9,1,3,4
102,TLS Mutual,469.48,1,3,4
103,TLS Mutual,490.5,1,3,4
104,TLS Mutual,496.57,1,3,4
105,TLS Mutual,473.86,1,3,4
106,TLS Mutual,497.04,1,3,4
107,TLS Mutual,470.9,1,3,4
108,TLS Mutual,472.27,1,3,4
109,TLS Mutual,483.53,1,3,4
110,TLS Mutual,492.24,1,3,4
111,TLS Mutual,495.24,1,3,4
112,TLS Mutual,472.49,1,3,4
113,TLS Mutual,519.0,1,3,4
114,TLS Mutual,497.86,1,3,4
115,TLS Mutual,490.14,1,3,4
116,TLS Mutual,472.1,1,3,4
117,TLS Mutual,441.56,1,3,4
118,TLS Mutual,464.82,1,3,4
119,TLS Mutual,496.78,1,3,4
120,TLS Mutual,1518.7,1,3,4
121,TLS Mutual,460.9,1,3,4
122,TLS Mutual,493.05,1,3,4
123,TLS Mutual,776.08,1,3,4
124,TLS Mutual,493.22,1,3,4
125,TLS Mutual,493.53,1,3,4
