execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,493.73,1,3,4
2,TLS Mutual,366.49,1,3,4
3,TLS Mutual,370.17,1,3,4
4,TLS Mutual,325.93,1,3,4
5,TLS Mutual,370.2,1,3,4
6,TLS Mutual,365.95,1,3,4
7,TLS Mutual,343.51,1,3,4
8,TLS Mutual,359.14,1,3,4
9,TLS Mutual,363.32,1,3,4
10,TLS Mutual,334.98,1,3,4
11,TLS Mutual,363.4,1,3,4
12,TLS Mutual,360.62,1,3,4
13,TLS Mutual,469.03,1,3,4
14,TLS Mutual,346.93,1,3,4
15,TLS Mutual,367.07,1,3,4
16,TLS Mutual,368.97,1,3,4
17,TLS Mutual,363.99,1,3,4
18,TLS Mutual,369.96,1,3,4
19,TLS Mutual,334.65,1,3,4
20,TLS Mutual,366.93,1,3,4
21,TLS Mutual,346.92,1,3,4
22,TLS Mutual,366.81,1,3,4
23,TLS Mutual,369.72,1,3,4
24,TLS Mutual,338.24,1,3,4
25,TLS Mutual,364.86,1,3,4
26,TLS Mutual,367.56,1,3,4
27,TLS Mutual,357.64,1,3,4
28,TLS Mutual,364.35,1,3,4
29,TLS Mutual,344.02,1,3,4
30,TLS Mutual,366.77,1,3,4
31,TLS Mutual,343.18,1,3,4
32,TLS Mutual,364.86,1,3,4
33,TLS Mutual,364.89,1,3,4
34,TLS Mutual,368.37,1,3,4
35,TLS Mutual,365.46,1,3,4
36,TLS Mutual,368.97,1,3,4
37,TLS Mutual,343.03,1,3,4
38,TLS Mutual,368.83,1,3,4
39,TLS Mutual,367.14,1,3,4
40,TLS Mutual,339.64,1,3,4
41,TLS Mutual,366.92,1,3,4
42,TLS Mutual,344.15,1,3,4
43,TLS Mutual,339.19,1,3,4
44,TLS Mutual,627.77,1,3,4
45,TLS Mutual,363.51,1,3,4
46,TLS Mutual,343.0,1,3,4
47,TLS Mutual,344.66,1,3,4
48,TLS Mutual,632.87,1,3,4
49,TLS Mutual,364.59,1,3,4
50,TLS Mutual,340.95,1,3,4
51,TLS Mutual,366.37,1,3,4
52,TLS Mutual,339.27,1,3,4
53,TLS Mutual,369.88,1,3,4
54,TLS Mutual,344.69,1,3,4
55,TLS Mutual,339.9,1,3,4
56,TLS Mutual,367.42,1,3,4
57,TLS Mutual,345.25,1,3,4
58,TLS Mutual,340.25,1,3,4
59,TLS Mutual,360.24,1,3,4
60,TLS Mutual,365.98,1,3,4
61,TLS Mutual,362.4,1,3,4
62,TLS Mutual,371.28,1,3,4
63,TLS Mutual,348.46,1,3,4
64,TLS Mutual,355.99,1,3,4
65,TLS Mutual,347.99,1,3,4
66,TLS Mutual,367.62,1,3,4
67,TLS Mutual,363.51,1,3,4
68,TLS Mutual,369.97,1,3,4
69,TLS Mutual,368.01,1,3,4
70,TLS Mutual,341.26,1,3,4
71,TLS Mutual,365.65,1,3,4
72,TLS Mutual,447.35,1,3,4
73,TLS Mutual,365.74,1,3,4
74,TLS Mutual,523.27,1,3,4
75,TLS Mutual,646.73,1,3,4
76,TLS Mutual,337.66,1,3,4
77,TLS Mutual,367.31,1,3,4
78,TLS Mutual,367.37,1,3,4
79,TLS Mutual,363.92,1,3,4
80,TLS Mutual,366.55,1,3,4
81,TLS Mutual,365.91,1,3,4
82,TLS Mutual,367.82,1,3,4
83,TLS Mutual,347.71,1,3,4
84,TLS Mutual,366.98,1,3,4
85,TLS Mutual,339.19,1,3,4
86,TLS Mutual,367.83,1,3,4
87,TLS Mutual,368.7,1,3,4
88,TLS Mutual,339.41,1,3,4
89,TLS Mutual,361.66,1,3,4
90,TLS Mutual,368.99,1,3,4
91,TLS Mutual,364.63,1,3,4
92,TLS Mutual,366.58,1,3,4
93,TLS Mutual,363.1,1,3,4
94,TLS Mutual,338.0,1,3,4
95,TLS Mutual,367.03,1,3,4
96,TLS Mutual,366.52,1,3,4
97,TLS Mutual,339.25,1,3,4
98,TLS Mutual,342.12,1,3,4
99,TLS Mutual,347.78,1,3,4
100,TLS Mutual,361.47,1,3,4
101,TLS Mutual,364.3,1,3,4
102,TLS Mutual,339.87,1,3,4
103,TLS Mutual,337.65,1,3,4
104,TLS Mutual,339.18,1,3,4
105,TLS Mutual,353.3,1,3,4
106,TLS Mutual,368.74,1,3,4
107,TLS Mutual,341.89,1,3,4
108,TLS Mutual,371.59,1,3,4
109,TLS Mutual,370.18,1,3,4
110,TLS Mutual,343.69,1,3,4
111,TLS Mutual,505.83,1,3,4
112,TLS Mutual,371.11,1,3,4
113,TLS Mutual,369.52,1,3,4
114,TLS Mutual,342.91,1,3,4
115,TLS Mutual,363.58,1,3,4
116,TLS Mutual,365.25,1,3,4
117,TLS Mutual,335.34,1,3,4
118,TLS Mutual,367.84,1,3,4
119,TLS Mutual,366.53,1,3,4
120,TLS Mutual,370.57,1,3,4
121,TLS Mutual,345.1,1,3,4
122,TLS Mutual,362.84,1,3,4
123,TLS Mutual,365.86,1,3,4
124,TLS Mutual,365.75,1,3,4
125,TLS Mutual,365.75,1,3,4
