execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,600.42,1,1,4
2,TLS Mutual,445.89,1,1,4
3,TLS Mutual,446.47,1,1,4
4,TLS Mutual,450.6,1,1,4
5,TLS Mutual,440.42,1,1,4
6,TLS Mutual,459.63,1,1,4
7,TLS Mutual,459.14,1,1,4
8,TLS Mutual,448.24,1,1,4
9,TLS Mutual,446.08,1,1,4
10,TLS Mutual,448.37,1,1,4
11,TLS Mutual,447.69,1,1,4
12,TLS Mutual,747.78,1,1,4
13,TLS Mutual,444.27,1,1,4
14,TLS Mutual,456.96,1,1,4
15,TLS Mutual,460.49,1,1,4
16,TLS Mutual,459.02,1,1,4
17,TLS Mutual,450.0,1,1,4
18,TLS Mutual,427.93,1,1,4
19,TLS Mutual,449.34,1,1,4
20,TLS Mutual,434.82,1,1,4
21,TLS Mutual,446.15,1,1,4
22,TLS Mutual,441.52,1,1,4
23,TLS Mutual,458.09,1,1,4
24,TLS Mutual,448.73,1,1,4
25,TLS Mutual,449.76,1,1,4
26,TLS Mutual,446.13,1,1,4
27,TLS Mutual,445.24,1,1,4
28,TLS Mutual,461.31,1,1,4
29,TLS Mutual,444.55,1,1,4
30,TLS Mutual,446.39,1,1,4
31,TLS Mutual,446.78,1,1,4
32,TLS Mutual,446.02,1,1,4
33,TLS Mutual,406.75,1,1,4
34,TLS Mutual,332.0,1,1,4
35,TLS Mutual,445.67,1,1,4
36,TLS Mutual,464.44,1,1,4
37,TLS Mutual,440.84,1,1,4
38,TLS Mutual,460.58,1,1,4
39,TLS Mutual,456.12,1,1,4
40,TLS Mutual,449.38,1,1,4
41,TLS Mutual,458.46,1,1,4
42,TLS Mutual,731.11,1,1,4
43,TLS Mutual,436.0,1,1,4
44,TLS Mutual,448.94,1,1,4
45,TLS Mutual,445.74,1,1,4
46,TLS Mutual,459.46,1,1,4
47,TLS Mutual,443.29,1,1,4
48,TLS Mutual,448.85,1,1,4
49,TLS Mutual,443.13,1,1,4
50,TLS Mutual,748.35,1,1,4
51,TLS Mutual,457.88,1,1,4
52,TLS Mutual,447.84,1,1,4
53,TLS Mutual,440.19,1,1,4
54,TLS Mutual,460.88,1,1,4
55,TLS Mutual,458.8,1,1,4
56,TLS Mutual,437.46,1,1,4
57,TLS Mutual,440.28,1,1,4
58,TLS Mutual,459.14,1,1,4
59,TLS Mutual,447.0,1,1,4
60,TLS Mutual,462.02,1,1,4
61,TLS Mutual,449.01,1,1,4
62,TLS Mutual,460.82,1,1,4
63,TLS Mutual,459.47,1,1,4
64,TLS Mutual,458.19,1,1,4
65,TLS Mutual,459.24,1,1,4
66,TLS Mutual,470.58,1,1,4
67,TLS Mutual,441.36,1,1,4
68,TLS Mutual,446.23,1,1,4
69,TLS Mutual,461.0,1,1,4
70,TLS Mutual,461.4,1,1,4
71,TLS Mutual,467.86,1,1,4
72,TLS Mutual,462.35,1,1,4
73,TLS Mutual,458.33,1,1,4
74,TLS Mutual,446.66,1,1,4
75,TLS Mutual,459.79,1,1,4
76,TLS Mutual,444.26,1,1,4
77,TLS Mutual,431.48,1,1,4
78,TLS Mutual,437.28,1,1,4
79,TLS Mutual,462.56,1,1,4
80,TLS Mutual,459.69,1,1,4
81,TLS Mutual,468.73,1,1,4
82,TLS Mutual,459.05,1,1,4
83,TLS Mutual,572.77,1,1,4
84,TLS Mutual,446.38,1,1,4
85,TLS Mutual,2496.12,1,1,4
86,TLS Mutual,573.97,1,1,4
87,TLS Mutual,458.25,1,1,4
88,TLS Mutual,458.21,1,1,4
89,TLS Mutual,459.01,1,1,4
90,TLS Mutual,459.54,1,1,4
91,TLS Mutual,443.6,1,1,4
92,TLS Mutual,451.1,1,1,4
93,TLS Mutual,460.64,1,1,4
94,TLS Mutual,457.51,1,1,4
95,TLS Mutual,585.7,1,1,4
96,TLS Mutual,459.54,1,1,4
97,TLS Mutual,459.82,1,1,4
98,TLS Mutual,730.48,1,1,4
99,TLS Mutual,444.7,1,1,4
100,TLS Mutual,462.78,1,1,4
101,TLS Mutual,458.79,1,1,4
102,TLS Mutual,463.06,1,1,4
103,TLS Mutual,459.24,1,1,4
104,TLS Mutual,459.05,1,1,4
105,TLS Mutual,458.71,1,1,4
106,TLS Mutual,439.29,1,1,4
107,TLS Mutual,459.16,1,1,4
108,TLS Mutual,454.5,1,1,4
109,TLS Mutual,464.5,1,1,4
110,TLS Mutual,443.56,1,1,4
111,TLS Mutual,447.26,1,1,4
112,TLS Mutual,446.91,1,1,4
113,TLS Mutual,460.08,1,1,4
114,TLS Mutual,449.15,1,1,4
115,TLS Mutual,447.2,1,1,4
116,TLS Mutual,443.75,1,1,4
117,TLS Mutual,458.56,1,1,4
118,TLS Mutual,460.54,1,1,4
119,TLS Mutual,460.3,1,1,4
120,TLS Mutual,459.21,1,1,4
121,TLS Mutual,457.26,1,1,4
122,TLS Mutual,456.2,1,1,4
123,TLS Mutual,458.46,1,1,4
124,TLS Mutual,464.03,1,1,4
125,TLS Mutual,459.03,1,1,4
