execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,416.18,1,4,4
2,TLS Mutual,277.63,1,4,4
3,TLS Mutual,292.44,1,4,4
4,TLS Mutual,292.43,1,4,4
5,TLS Mutual,294.42,1,4,4
6,TLS Mutual,275.79,1,4,4
7,TLS Mutual,277.23,1,4,4
8,TLS Mutual,288.56,1,4,4
9,TLS Mutual,280.61,1,4,4
10,TLS Mutual,288.61,1,4,4
11,TLS Mutual,291.94,1,4,4
12,TLS Mutual,278.11,1,4,4
13,TLS Mutual,264.32,1,4,4
14,TLS Mutual,290.19,1,4,4
15,TLS Mutual,295.54,1,4,4
16,TLS Mutual,294.09,1,4,4
17,TLS Mutual,291.77,1,4,4
18,TLS Mutual,280.66,1,4,4
19,TLS Mutual,293.95,1,4,4
20,TLS Mutual,272.47,1,4,4
21,TLS Mutual,291.66,1,4,4
22,TLS Mutual,291.85,1,4,4
23,TLS Mutual,277.83,1,4,4
24,TLS Mutual,292.66,1,4,4
25,TLS Mutual,295.43,1,4,4
26,TLS Mutual,296.53,1,4,4
27,TLS Mutual,293.95,1,4,4
28,TLS Mutual,291.26,1,4,4
29,TLS Mutual,290.64,1,4,4
30,TLS Mutual,295.73,1,4,4
31,TLS Mutual,291.32,1,4,4
32,TLS Mutual,274.81,1,4,4
33,TLS Mutual,292.78,1,4,4
34,TLS Mutual,283.46,1,4,4
35,TLS Mutual,291.87,1,4,4
36,TLS Mutual,292.29,1,4,4
37,TLS Mutual,285.6,1,4,4
38,TLS Mutual,292.64,1,4,4
39,TLS Mutual,293.01,1,4,4
40,TLS Mutual,279.54,1,4,4
41,TLS Mutual,293.78,1,4,4
42,TLS Mutual,291.97,1,4,4
43,TLS Mutual,294.88,1,4,4
44,TLS Mutual,291.83,1,4,4
45,TLS Mutual,290.29,1,4,4
46,TLS Mutual,294.32,1,4,4
47,TLS Mutual,292.9,1,4,4
48,TLS Mutual,290.98,1,4,4
49,TLS Mutual,294.22,1,4,4
50,TLS Mutual,291.56,1,4,4
51,TLS Mutual,293.19,1,4,4
52,TLS Mutual,294.51,1,4,4
53,TLS Mutual,292.53,1,4,4
54,TLS Mutual,292.44,1,4,4
55,TLS Mutual,291.34,1,4,4
56,TLS Mutual,294.19,1,4,4
57,TLS Mutual,297.54,1,4,4
58,TLS Mutual,294.12,1,4,4
59,TLS Mutual,292.54,1,4,4
60,TLS Mutual,266.27,1,4,4
61,TLS Mutual,293.01,1,4,4
62,TLS Mutual,300.38,1,4,4
63,TLS Mutual,267.17,1,4,4
64,TLS Mutual,293.67,1,4,4
65,TLS Mutual,265.12,1,4,4
66,TLS Mutual,293.9,1,4,4
67,TLS Mutual,294.64,1,4,4
68,TLS Mutual,912.1,1,4,4
69,TLS Mutual,291.07,1,4,4
70,TLS Mutual,295.75,1,4,4
71,TLS Mutual,278.15,1,4,4
72,TLS Mutual,1307.67,1,4,4
73,TLS Mutual,278.57,1,4,4
74,TLS Mutual,273.9,1,4,4
75,TLS Mutual,275.73,1,4,4
76,TLS Mutual,291.41,1,4,4
77,TLS Mutual,293.65,1,4,4
78,TLS Mutual,280.17,1,4,4
79,TLS Mutual,292.1,1,4,4
80,TLS Mutual,294.94,1,4,4
81,TLS Mutual,295.6,1,4,4
82,TLS Mutual,291.35,1,4,4
83,TLS Mutual,294.84,1,4,4
84,TLS Mutual,289.28,1,4,4
85,TLS Mutual,1326.35,1,4,4
86,TLS Mutual,293.03,1,4,4
87,TLS Mutual,276.08,1,4,4
88,TLS Mutual,292.05,1,4,4
89,TLS Mutual,289.67,1,4,4
90,TLS Mutual,292.43,1,4,4
91,TLS Mutual,291.4,1,4,4
92,TLS Mutual,292.38,1,4,4
93,TLS Mutual,291.79,1,4,4
94,TLS Mutual,292.23,1,4,4
95,TLS Mutual,292.46,1,4,4
96,TLS Mutual,292.02,1,4,4
97,TLS Mutual,291.24,1,4,4
98,TLS Mutual,289.8,1,4,4
99,TLS Mutual,295.67,1,4,4
100,TLS Mutual,295.24,1,4,4
101,TLS Mutual,289.39,1,4,4
102,TLS Mutual,291.9,1,4,4
103,TLS Mutual,276.89,1,4,4
104,TLS Mutual,294.17,1,4,4
105,TLS Mutual,278.48,1,4,4
106,TLS Mutual,291.89,1,4,4
107,TLS Mutual,292.63,1,4,4
108,TLS Mutual,291.42,1,4,4
109,TLS Mutual,291.95,1,4,4
110,TLS Mutual,292.0,1,4,4
111,TLS Mutual,277.91,1,4,4
112,TLS Mutual,291.99,1,4,4
113,TLS Mutual,292.29,1,4,4
114,TLS Mutual,292.09,1,4,4
115,TLS Mutual,291.46,1,4,4
116,TLS Mutual,295.3,1,4,4
117,TLS Mutual,294.01,1,4,4
118,TLS Mutual,294.75,1,4,4
119,TLS Mutual,290.9,1,4,4
120,TLS Mutual,293.42,1,4,4
121,TLS Mutual,289.26,1,4,4
122,TLS Mutual,293.59,1,4,4
123,TLS Mutual,275.88,1,4,4
124,TLS Mutual,291.56,1,4,4
125,TLS Mutual,291.49,1,4,4
