execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,391.39,1,1,4
2,TLS Mutual,282.27,1,1,4
3,TLS Mutual,281.94,1,1,4
4,TLS Mutual,281.86,1,1,4
5,TLS Mutual,282.74,1,1,4
6,TLS Mutual,283.32,1,1,4
7,TLS Mutual,281.88,1,1,4
8,TLS Mutual,283.63,1,1,4
9,TLS Mutual,667.4,1,1,4
10,TLS Mutual,282.65,1,1,4
11,TLS Mutual,283.09,1,1,4
12,TLS Mutual,282.65,1,1,4
13,TLS Mutual,283.45,1,1,4
14,TLS Mutual,281.84,1,1,4
15,TLS Mutual,283.33,1,1,4
16,TLS Mutual,282.22,1,1,4
17,TLS Mutual,281.96,1,1,4
18,TLS Mutual,283.3,1,1,4
19,TLS Mutual,282.09,1,1,4
20,TLS Mutual,282.23,1,1,4
21,TLS Mutual,283.11,1,1,4
22,TLS Mutual,283.16,1,1,4
23,TLS Mutual,282.05,1,1,4
24,TLS Mutual,282.84,1,1,4
25,TLS Mutual,285.21,1,1,4
26,TLS Mutual,283.03,1,1,4
27,TLS Mutual,282.16,1,1,4
28,TLS Mutual,282.82,1,1,4
29,TLS Mutual,282.9,1,1,4
30,TLS Mutual,282.49,1,1,4
31,TLS Mutual,282.78,1,1,4
32,TLS Mutual,283.49,1,1,4
33,TLS Mutual,285.46,1,1,4
34,TLS Mutual,282.62,1,1,4
35,TLS Mutual,294.25,1,1,4
36,TLS Mutual,282.83,1,1,4
37,TLS Mutual,282.75,1,1,4
38,TLS Mutual,282.8,1,1,4
39,TLS Mutual,282.68,1,1,4
40,TLS Mutual,283.63,1,1,4
41,TLS Mutual,281.81,1,1,4
42,TLS Mutual,283.0,1,1,4
43,TLS Mutual,284.5,1,1,4
44,TLS Mutual,282.6,1,1,4
45,TLS Mutual,283.18,1,1,4
46,TLS Mutual,283.19,1,1,4
47,TLS Mutual,283.04,1,1,4
48,TLS Mutual,283.79,1,1,4
49,TLS Mutual,283.01,1,1,4
50,TLS Mutual,283.68,1,1,4
51,TLS Mutual,282.02,1,1,4
52,TLS Mutual,283.4,1,1,4
53,TLS Mutual,282.98,1,1,4
54,TLS Mutual,283.28,1,1,4
55,TLS Mutual,283.18,1,1,4
56,TLS Mutual,285.15,1,1,4
57,TLS Mutual,282.94,1,1,4
58,TLS Mutual,283.33,1,1,4
59,TLS Mutual,282.4,1,1,4
60,TLS Mutual,282.2,1,1,4
61,TLS Mutual,283.13,1,1,4
62,TLS Mutual,282.65,1,1,4
63,TLS Mutual,283.7,1,1,4
64,TLS Mutual,283.06,1,1,4
65,TLS Mutual,284.85,1,1,4
66,TLS Mutual,282.9,1,1,4
67,TLS Mutual,282.56,1,1,4
68,TLS Mutual,283.4,1,1,4
69,TLS Mutual,282.98,1,1,4
70,TLS Mutual,282.02,1,1,4
71,TLS Mutual,282.22,1,1,4
72,TLS Mutual,282.84,1,1,4
73,TLS Mutual,282.6,1,1,4
74,TLS Mutual,282.88,1,1,4
75,TLS Mutual,282.71,1,1,4
76,TLS Mutual,281.95,1,1,4
77,TLS Mutual,282.08,1,1,4
78,TLS Mutual,283.26,1,1,4
79,TLS Mutual,282.8,1,1,4
80,TLS Mutual,282.91,1,1,4
81,TLS Mutual,283.11,1,1,4
82,TLS Mutual,283.74,1,1,4
83,TLS Mutual,283.21,1,1,4
84,TLS Mutual,283.03,1,1,4
85,TLS Mutual,282.23,1,1,4
86,TLS Mutual,282.89,1,1,4
87,TLS Mutual,287.03,1,1,4
88,TLS Mutual,282.02,1,1,4
89,TLS Mutual,283.17,1,1,4
90,TLS Mutual,283.29,1,1,4
91,TLS Mutual,282.61,1,1,4
92,TLS Mutual,289.28,1,1,4
93,TLS Mutual,282.3,1,1,4
94,TLS Mutual,282.88,1,1,4
95,TLS Mutual,283.48,1,1,4
96,TLS Mutual,282.8,1,1,4
97,TLS Mutual,283.58,1,1,4
98,TLS Mutual,282.6,1,1,4
99,TLS Mutual,283.44,1,1,4
100,TLS Mutual,283.93,1,1,4
101,TLS Mutual,283.07,1,1,4
102,TLS Mutual,283.14,1,1,4
103,TLS Mutual,282.53,1,1,4
104,TLS Mutual,283.45,1,1,4
105,TLS Mutual,283.54,1,1,4
106,TLS Mutual,282.77,1,1,4
107,TLS Mutual,283.58,1,1,4
108,TLS Mutual,282.22,1,1,4
109,TLS Mutual,282.4,1,1,4
110,TLS Mutual,283.65,1,1,4
111,TLS Mutual,284.64,1,1,4
112,TLS Mutual,282.84,1,1,4
113,TLS Mutual,282.42,1,1,4
114,TLS Mutual,282.53,1,1,4
115,TLS Mutual,282.9,1,1,4
116,TLS Mutual,283.5,1,1,4
117,TLS Mutual,294.5,1,1,4
118,TLS Mutual,662.98,1,1,4
119,TLS Mutual,282.94,1,1,4
120,TLS Mutual,292.02,1,1,4
121,TLS Mutual,286.16,1,1,4
122,TLS Mutual,282.96,1,1,4
123,TLS Mutual,286.79,1,1,4
124,TLS Mutual,287.81,1,1,4
125,TLS Mutual,286.86,1,1,4
