security_level,kem,sig_classical,sig_pq,n_blocks_common,classical_mean_ms,pq_mean_ms,delta_ms,delta_ci95_low,delta_ci95_high,significant_paired_bootstrap,exact_permutation_p,exact_permutation_min_p
L1,P-256,ed25519,mldsa44,4,379.6716,436.5942,-56.9226,-69.3739,-35.8287,oui,0.125,0.125
L1,hqc128,ed25519,mldsa44,4,432.5804,471.3667,-38.7863,-61.789,-15.7837,oui,0.125,0.125
L1,mlkem512,ed25519,mldsa44,4,383.2215,435.8654,-52.6439,-103.1383,-15.7989,oui,0.125,0.125
L1,p256_hqc128,ed25519,mldsa44,4,454.4718,490.2237,-35.752,-40.9423,-30.5616,oui,0.125,0.125
L1,p256_mlkem512,ed25519,mldsa44,4,387.9307,452.6366,-64.7059,-98.1988,-33.9624,oui,0.125,0.125
L1,x25519,ed25519,mldsa44,4,382.783,424.0786,-41.2957,-69.8409,-15.7318,oui,0.125,0.125
L1,x25519_hqc128,ed25519,mldsa44,4,434.0521,457.6672,-23.6151,-30.3424,-16.8877,oui,0.125,0.125
L1,x25519_mlkem512,ed25519,mldsa44,4,381.9022,440.1562,-58.254,-73.4072,-43.9857,oui,0.125,0.125
L3,P-384,secp384r1,mldsa65,4,394.9505,466.3043,-71.3538,-101.513,-45.8693,oui,0.125,0.125
L3,hqc192,secp384r1,mldsa65,4,489.5453,681.5909,-192.0456,-244.8791,-156.2258,oui,0.125,0.125
L3,mlkem768,secp384r1,mldsa65,4,406.0073,462.8927,-56.8854,-84.8233,-29.8976,oui,0.125,0.125
L3,p384_hqc192,secp384r1,mldsa65,4,523.8787,693.4757,-169.597,-178.7402,-162.9435,oui,0.125,0.125
L3,p384_mlkem768,secp384r1,mldsa65,4,402.8183,455.6366,-52.8183,-74.688,-28.1981,oui,0.125,0.125
L3,x448,secp384r1,mldsa65,4,392.1577,438.5308,-46.3731,-63.7953,-30.3722,oui,0.125,0.125
L3,x448_hqc192,secp384r1,mldsa65,4,511.2584,655.3243,-144.0659,-169.6584,-115.1858,oui,0.125,0.125
L3,x448_mlkem768,secp384r1,mldsa65,4,387.3141,453.8338,-66.5197,-92.9658,-40.0735,oui,0.125,0.125
L5,P-521,secp521r1,mldsa87,4,390.3584,605.9175,-215.559,-238.8252,-192.2929,oui,0.125,0.125
L5,hqc256,secp521r1,mldsa87,4,727.5154,789.4239,-61.9085,-88.1927,-37.8061,oui,0.125,0.125
L5,mlkem1024,secp521r1,mldsa87,4,393.0137,609.5278,-216.5141,-233.2471,-204.3051,oui,0.125,0.125
L5,p521_hqc256,secp521r1,mldsa87,4,667.3529,735.5633,-68.2104,-79.3376,-55.9522,oui,0.125,0.125
L5,p521_mlkem1024,secp521r1,mldsa87,4,422.1283,634.3729,-212.2447,-262.6305,-184.6832,oui,0.125,0.125
