execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,514.61,1,2,4
2,TLS Mutual,355.12,1,2,4
3,TLS Mutual,353.59,1,2,4
4,TLS Mutual,1350.86,1,2,4
5,TLS Mutual,343.06,1,2,4
6,TLS Mutual,350.27,1,2,4
7,TLS Mutual,345.77,1,2,4
8,TLS Mutual,351.44,1,2,4
9,TLS Mutual,353.7,1,2,4
10,TLS Mutual,353.51,1,2,4
11,TLS Mutual,353.53,1,2,4
12,TLS Mutual,353.3,1,2,4
13,TLS Mutual,353.68,1,2,4
14,TLS Mutual,353.01,1,2,4
15,TLS Mutual,352.53,1,2,4
16,TLS Mutual,353.94,1,2,4
17,TLS Mutual,1553.78,1,2,4
18,TLS Mutual,343.23,1,2,4
19,TLS Mutual,345.49,1,2,4
20,TLS Mutual,345.15,1,2,4
21,TLS Mutual,352.37,1,2,4
22,TLS Mutual,353.3,1,2,4
23,TLS Mutual,345.71,1,2,4
24,TLS Mutual,345.69,1,2,4
25,TLS Mutual,346.13,1,2,4
26,TLS Mutual,352.81,1,2,4
27,TLS Mutual,353.43,1,2,4
28,TLS Mutual,353.01,1,2,4
29,TLS Mutual,352.48,1,2,4
30,TLS Mutual,354.11,1,2,4
31,TLS Mutual,345.83,1,2,4
32,TLS Mutual,353.95,1,2,4
33,TLS Mutual,346.54,1,2,4
34,TLS Mutual,353.81,1,2,4
35,TLS Mutual,353.41,1,2,4
36,TLS Mutual,353.68,1,2,4
37,TLS Mutual,353.41,1,2,4
38,TLS Mutual,352.51,1,2,4
39,TLS Mutual,345.17,1,2,4
40,TLS Mutual,341.61,1,2,4
41,TLS Mutual,352.71,1,2,4
42,TLS Mutual,345.55,1,2,4
43,TLS Mutual,353.27,1,2,4
44,TLS Mutual,353.79,1,2,4
45,TLS Mutual,354.15,1,2,4
46,TLS Mutual,353.69,1,2,4
47,TLS Mutual,354.75,1,2,4
48,TLS Mutual,353.53,1,2,4
49,TLS Mutual,346.36,1,2,4
50,TLS Mutual,354.0,1,2,4
51,TLS Mutual,353.62,1,2,4
52,TLS Mutual,346.22,1,2,4
53,TLS Mutual,353.42,1,2,4
54,TLS Mutual,353.53,1,2,4
55,TLS Mutual,346.34,1,2,4
56,TLS Mutual,355.44,1,2,4
57,TLS Mutual,353.47,1,2,4
58,TLS Mutual,353.59,1,2,4
59,TLS Mutual,353.73,1,2,4
60,TLS Mutual,345.27,1,2,4
61,TLS Mutual,353.7,1,2,4
62,TLS Mutual,353.68,1,2,4
63,TLS Mutual,354.22,1,2,4
64,TLS Mutual,353.73,1,2,4
65,TLS Mutual,346.3,1,2,4
66,TLS Mutual,353.39,1,2,4
67,TLS Mutual,353.65,1,2,4
68,TLS Mutual,346.06,1,2,4
69,TLS Mutual,353.25,1,2,4
70,TLS Mutual,353.51,1,2,4
71,TLS Mutual,353.23,1,2,4
72,TLS Mutual,1363.64,1,2,4
73,TLS Mutual,345.54,1,2,4
74,TLS Mutual,352.99,1,2,4
75,TLS Mutual,353.35,1,2,4
76,TLS Mutual,344.84,1,2,4
77,TLS Mutual,345.29,1,2,4
78,TLS Mutual,353.38,1,2,4
79,TLS Mutual,345.24,1,2,4
80,TLS Mutual,353.4,1,2,4
81,TLS Mutual,357.66,1,2,4
82,TLS Mutual,353.86,1,2,4
83,TLS Mutual,352.44,1,2,4
84,TLS Mutual,345.38,1,2,4
85,TLS Mutual,352.22,1,2,4
86,TLS Mutual,352.44,1,2,4
87,TLS Mutual,354.43,1,2,4
88,TLS Mutual,353.83,1,2,4
89,TLS Mutual,345.59,1,2,4
90,TLS Mutual,353.2,1,2,4
91,TLS Mutual,346.0,1,2,4
92,TLS Mutual,353.73,1,2,4
93,TLS Mutual,345.0,1,2,4
94,TLS Mutual,342.49,1,2,4
95,TLS Mutual,345.65,1,2,4
96,TLS Mutual,353.57,1,2,4
97,TLS Mutual,353.23,1,2,4
98,TLS Mutual,353.77,1,2,4
99,TLS Mutual,345.36,1,2,4
100,TLS Mutual,353.64,1,2,4
101,TLS Mutual,345.67,1,2,4
102,TLS Mutual,353.49,1,2,4
103,TLS Mutual,345.75,1,2,4
104,TLS Mutual,353.22,1,2,4
105,TLS Mutual,344.23,1,2,4
106,TLS Mutual,345.25,1,2,4
107,TLS Mutual,353.19,1,2,4
108,TLS Mutual,353.37,1,2,4
109,TLS Mutual,346.07,1,2,4
110,TLS Mutual,351.45,1,2,4
111,TLS Mutual,354.02,1,2,4
112,TLS Mutual,354.01,1,2,4
113,TLS Mutual,353.44,1,2,4
114,TLS Mutual,353.81,1,2,4
115,TLS Mutual,353.08,1,2,4
116,TLS Mutual,353.72,1,2,4
117,TLS Mutual,345.33,1,2,4
118,TLS Mutual,352.79,1,2,4
119,TLS Mutual,341.88,1,2,4
120,TLS Mutual,339.45,1,2,4
121,TLS Mutual,346.52,1,2,4
122,TLS Mutual,353.57,1,2,4
123,TLS Mutual,854.23,1,2,4
124,TLS Mutual,352.59,1,2,4
125,TLS Mutual,352.52,1,2,4
