execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,611.51,1,1,4
2,TLS Mutual,438.81,1,1,4
3,TLS Mutual,440.46,1,1,4
4,TLS Mutual,448.11,1,1,4
5,TLS Mutual,444.62,1,1,4
6,TLS Mutual,442.72,1,1,4
7,TLS Mutual,453.78,1,1,4
8,TLS Mutual,447.6,1,1,4
9,TLS Mutual,445.33,1,1,4
10,TLS Mutual,443.4,1,1,4
11,TLS Mutual,453.33,1,1,4
12,TLS Mutual,443.77,1,1,4
13,TLS Mutual,448.11,1,1,4
14,TLS Mutual,441.21,1,1,4
15,TLS Mutual,448.11,1,1,4
16,TLS Mutual,441.86,1,1,4
17,TLS Mutual,449.76,1,1,4
18,TLS Mutual,448.09,1,1,4
19,TLS Mutual,455.15,1,1,4
20,TLS Mutual,437.41,1,1,4
21,TLS Mutual,444.11,1,1,4
22,TLS Mutual,450.63,1,1,4
23,TLS Mutual,452.61,1,1,4
24,TLS Mutual,448.74,1,1,4
25,TLS Mutual,430.67,1,1,4
26,TLS Mutual,448.62,1,1,4
27,TLS Mutual,472.18,1,1,4
28,TLS Mutual,447.25,1,1,4
29,TLS Mutual,391.08,1,1,4
30,TLS Mutual,409.79,1,1,4
31,TLS Mutual,456.47,1,1,4
32,TLS Mutual,439.77,1,1,4
33,TLS Mutual,461.99,1,1,4
34,TLS Mutual,1447.21,1,1,4
35,TLS Mutual,454.62,1,1,4
36,TLS Mutual,443.12,1,1,4
37,TLS Mutual,465.96,1,1,4
38,TLS Mutual,446.52,1,1,4
39,TLS Mutual,449.06,1,1,4
40,TLS Mutual,451.65,1,1,4
41,TLS Mutual,454.72,1,1,4
42,TLS Mutual,449.59,1,1,4
43,TLS Mutual,452.47,1,1,4
44,TLS Mutual,451.76,1,1,4
45,TLS Mutual,440.47,1,1,4
46,TLS Mutual,457.68,1,1,4
47,TLS Mutual,439.78,1,1,4
48,TLS Mutual,456.75,1,1,4
49,TLS Mutual,453.46,1,1,4
50,TLS Mutual,456.08,1,1,4
51,TLS Mutual,448.81,1,1,4
52,TLS Mutual,449.24,1,1,4
53,TLS Mutual,1437.94,1,1,4
54,TLS Mutual,449.35,1,1,4
55,TLS Mutual,440.55,1,1,4
56,TLS Mutual,436.83,1,1,4
57,TLS Mutual,442.38,1,1,4
58,TLS Mutual,451.7,1,1,4
59,TLS Mutual,459.62,1,1,4
60,TLS Mutual,444.02,1,1,4
61,TLS Mutual,846.79,1,1,4
62,TLS Mutual,445.15,1,1,4
63,TLS Mutual,444.72,1,1,4
64,TLS Mutual,441.47,1,1,4
65,TLS Mutual,453.89,1,1,4
66,TLS Mutual,443.91,1,1,4
67,TLS Mutual,419.64,1,1,4
68,TLS Mutual,431.22,1,1,4
69,TLS Mutual,452.7,1,1,4
70,TLS Mutual,786.02,1,1,4
71,TLS Mutual,441.39,1,1,4
72,TLS Mutual,441.44,1,1,4
73,TLS Mutual,448.28,1,1,4
74,TLS Mutual,449.69,1,1,4
75,TLS Mutual,446.54,1,1,4
76,TLS Mutual,440.99,1,1,4
77,TLS Mutual,448.17,1,1,4
78,TLS Mutual,445.04,1,1,4
79,TLS Mutual,459.51,1,1,4
80,TLS Mutual,440.6,1,1,4
81,TLS Mutual,433.07,1,1,4
82,TLS Mutual,451.23,1,1,4
83,TLS Mutual,438.65,1,1,4
84,TLS Mutual,450.07,1,1,4
85,TLS Mutual,449.42,1,1,4
86,TLS Mutual,460.21,1,1,4
87,TLS Mutual,435.47,1,1,4
88,TLS Mutual,445.49,1,1,4
89,TLS Mutual,449.39,1,1,4
90,TLS Mutual,449.94,1,1,4
91,TLS Mutual,448.46,1,1,4
92,TLS Mutual,453.55,1,1,4
93,TLS Mutual,439.89,1,1,4
94,TLS Mutual,449.69,1,1,4
95,TLS Mutual,445.56,1,1,4
96,TLS Mutual,449.35,1,1,4
97,TLS Mutual,447.44,1,1,4
98,TLS Mutual,451.51,1,1,4
99,TLS Mutual,448.26,1,1,4
100,TLS Mutual,433.67,1,1,4
101,TLS Mutual,443.2,1,1,4
102,TLS Mutual,454.56,1,1,4
103,TLS Mutual,455.26,1,1,4
104,TLS Mutual,1066.29,1,1,4
105,TLS Mutual,434.3,1,1,4
106,TLS Mutual,457.45,1,1,4
107,TLS Mutual,443.91,1,1,4
108,TLS Mutual,821.13,1,1,4
109,TLS Mutual,436.95,1,1,4
110,TLS Mutual,462.51,1,1,4
111,TLS Mutual,457.56,1,1,4
112,TLS Mutual,448.81,1,1,4
113,TLS Mutual,455.31,1,1,4
114,TLS Mutual,457.67,1,1,4
115,TLS Mutual,448.57,1,1,4
116,TLS Mutual,460.87,1,1,4
117,TLS Mutual,447.33,1,1,4
118,TLS Mutual,451.14,1,1,4
119,TLS Mutual,403.39,1,1,4
120,TLS Mutual,428.97,1,1,4
121,TLS Mutual,439.54,1,1,4
122,TLS Mutual,1806.48,1,1,4
123,TLS Mutual,449.74,1,1,4
124,TLS Mutual,462.68,1,1,4
125,TLS Mutual,455.22,1,1,4
