execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,1564.31,1,4,4
2,TLS Mutual,395.72,1,4,4
3,TLS Mutual,397.6,1,4,4
4,TLS Mutual,395.07,1,4,4
5,TLS Mutual,398.47,1,4,4
6,TLS Mutual,380.07,1,4,4
7,TLS Mutual,401.05,1,4,4
8,TLS Mutual,380.57,1,4,4
9,TLS Mutual,398.32,1,4,4
10,TLS Mutual,379.86,1,4,4
11,TLS Mutual,398.54,1,4,4
12,TLS Mutual,400.3,1,4,4
13,TLS Mutual,399.36,1,4,4
14,TLS Mutual,398.12,1,4,4
15,TLS Mutual,397.99,1,4,4
16,TLS Mutual,398.14,1,4,4
17,TLS Mutual,378.93,1,4,4
18,TLS Mutual,400.33,1,4,4
19,TLS Mutual,381.08,1,4,4
20,TLS Mutual,399.64,1,4,4
21,TLS Mutual,381.95,1,4,4
22,TLS Mutual,381.62,1,4,4
23,TLS Mutual,716.92,1,4,4
24,TLS Mutual,397.35,1,4,4
25,TLS Mutual,390.23,1,4,4
26,TLS Mutual,382.03,1,4,4
27,TLS Mutual,402.61,1,4,4
28,TLS Mutual,398.81,1,4,4
29,TLS Mutual,752.18,1,4,4
30,TLS Mutual,390.27,1,4,4
31,TLS Mutual,399.61,1,4,4
32,TLS Mutual,378.71,1,4,4
33,TLS Mutual,399.25,1,4,4
34,TLS Mutual,365.16,1,4,4
35,TLS Mutual,402.23,1,4,4
36,TLS Mutual,386.2,1,4,4
37,TLS Mutual,401.19,1,4,4
38,TLS Mutual,399.53,1,4,4
39,TLS Mutual,387.57,1,4,4
40,TLS Mutual,399.02,1,4,4
41,TLS Mutual,386.08,1,4,4
42,TLS Mutual,398.52,1,4,4
43,TLS Mutual,368.33,1,4,4
44,TLS Mutual,398.18,1,4,4
45,TLS Mutual,386.52,1,4,4
46,TLS Mutual,399.13,1,4,4
47,TLS Mutual,364.66,1,4,4
48,TLS Mutual,398.32,1,4,4
49,TLS Mutual,387.68,1,4,4
50,TLS Mutual,398.69,1,4,4
51,TLS Mutual,407.12,1,4,4
52,TLS Mutual,403.2,1,4,4
53,TLS Mutual,399.62,1,4,4
54,TLS Mutual,397.72,1,4,4
55,TLS Mutual,356.43,1,4,4
56,TLS Mutual,397.92,1,4,4
57,TLS Mutual,386.59,1,4,4
58,TLS Mutual,369.7,1,4,4
59,TLS Mutual,400.43,1,4,4
60,TLS Mutual,400.74,1,4,4
61,TLS Mutual,399.71,1,4,4
62,TLS Mutual,1395.52,1,4,4
63,TLS Mutual,400.39,1,4,4
64,TLS Mutual,377.95,1,4,4
65,TLS Mutual,398.85,1,4,4
66,TLS Mutual,398.46,1,4,4
67,TLS Mutual,399.65,1,4,4
68,TLS Mutual,400.9,1,4,4
69,TLS Mutual,378.51,1,4,4
70,TLS Mutual,400.09,1,4,4
71,TLS Mutual,379.9,1,4,4
72,TLS Mutual,383.31,1,4,4
73,TLS Mutual,394.53,1,4,4
74,TLS Mutual,388.58,1,4,4
75,TLS Mutual,375.33,1,4,4
76,TLS Mutual,398.27,1,4,4
77,TLS Mutual,396.6,1,4,4
78,TLS Mutual,1033.03,1,4,4
79,TLS Mutual,404.47,1,4,4
80,TLS Mutual,760.29,1,4,4
81,TLS Mutual,400.7,1,4,4
82,TLS Mutual,399.03,1,4,4
83,TLS Mutual,398.79,1,4,4
84,TLS Mutual,1740.88,1,4,4
85,TLS Mutual,398.27,1,4,4
86,TLS Mutual,399.95,1,4,4
87,TLS Mutual,399.67,1,4,4
88,TLS Mutual,399.91,1,4,4
89,TLS Mutual,386.41,1,4,4
90,TLS Mutual,398.05,1,4,4
91,TLS Mutual,398.94,1,4,4
92,TLS Mutual,399.31,1,4,4
93,TLS Mutual,401.45,1,4,4
94,TLS Mutual,402.27,1,4,4
95,TLS Mutual,377.95,1,4,4
96,TLS Mutual,398.04,1,4,4
97,TLS Mutual,385.2,1,4,4
98,TLS Mutual,397.6,1,4,4
99,TLS Mutual,387.43,1,4,4
100,TLS Mutual,760.57,1,4,4
101,TLS Mutual,399.5,1,4,4
102,TLS Mutual,384.32,1,4,4
103,TLS Mutual,396.77,1,4,4
104,TLS Mutual,380.44,1,4,4
105,TLS Mutual,1716.85,1,4,4
106,TLS Mutual,398.89,1,4,4
107,TLS Mutual,377.96,1,4,4
108,TLS Mutual,396.64,1,4,4
109,TLS Mutual,397.21,1,4,4
110,TLS Mutual,384.78,1,4,4
111,TLS Mutual,378.72,1,4,4
112,TLS Mutual,400.59,1,4,4
113,TLS Mutual,400.36,1,4,4
114,TLS Mutual,379.67,1,4,4
115,TLS Mutual,382.61,1,4,4
116,TLS Mutual,402.76,1,4,4
117,TLS Mutual,381.61,1,4,4
118,TLS Mutual,403.36,1,4,4
119,TLS Mutual,401.6,1,4,4
120,TLS Mutual,401.21,1,4,4
121,TLS Mutual,400.59,1,4,4
122,TLS Mutual,400.48,1,4,4
123,TLS Mutual,404.87,1,4,4
124,TLS Mutual,401.7,1,4,4
125,TLS Mutual,401.15,1,4,4
