execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,525.32,1,4,4
2,TLS Mutual,347.05,1,4,4
3,TLS Mutual,356.1,1,4,4
4,TLS Mutual,346.96,1,4,4
5,TLS Mutual,355.69,1,4,4
6,TLS Mutual,347.59,1,4,4
7,TLS Mutual,353.06,1,4,4
8,TLS Mutual,346.89,1,4,4
9,TLS Mutual,354.41,1,4,4
10,TLS Mutual,356.13,1,4,4
11,TLS Mutual,347.69,1,4,4
12,TLS Mutual,355.96,1,4,4
13,TLS Mutual,355.65,1,4,4
14,TLS Mutual,347.65,1,4,4
15,TLS Mutual,348.02,1,4,4
16,TLS Mutual,355.74,1,4,4
17,TLS Mutual,345.31,1,4,4
18,TLS Mutual,354.43,1,4,4
19,TLS Mutual,343.57,1,4,4
20,TLS Mutual,341.15,1,4,4
21,TLS Mutual,356.09,1,4,4
22,TLS Mutual,356.52,1,4,4
23,TLS Mutual,346.56,1,4,4
24,TLS Mutual,355.51,1,4,4
25,TLS Mutual,356.17,1,4,4
26,TLS Mutual,346.39,1,4,4
27,TLS Mutual,355.75,1,4,4
28,TLS Mutual,356.31,1,4,4
29,TLS Mutual,346.98,1,4,4
30,TLS Mutual,355.91,1,4,4
31,TLS Mutual,356.11,1,4,4
32,TLS Mutual,347.16,1,4,4
33,TLS Mutual,355.75,1,4,4
34,TLS Mutual,347.13,1,4,4
35,TLS Mutual,355.93,1,4,4
36,TLS Mutual,355.27,1,4,4
37,TLS Mutual,342.65,1,4,4
38,TLS Mutual,347.26,1,4,4
39,TLS Mutual,355.58,1,4,4
40,TLS Mutual,347.19,1,4,4
41,TLS Mutual,347.41,1,4,4
42,TLS Mutual,357.51,1,4,4
43,TLS Mutual,356.35,1,4,4
44,TLS Mutual,355.9,1,4,4
45,TLS Mutual,355.82,1,4,4
46,TLS Mutual,356.3,1,4,4
47,TLS Mutual,347.1,1,4,4
48,TLS Mutual,355.9,1,4,4
49,TLS Mutual,347.28,1,4,4
50,TLS Mutual,356.05,1,4,4
51,TLS Mutual,356.02,1,4,4
52,TLS Mutual,1203.91,1,4,4
53,TLS Mutual,354.53,1,4,4
54,TLS Mutual,347.54,1,4,4
55,TLS Mutual,1203.49,1,4,4
56,TLS Mutual,355.99,1,4,4
57,TLS Mutual,346.62,1,4,4
58,TLS Mutual,346.9,1,4,4
59,TLS Mutual,355.34,1,4,4
60,TLS Mutual,356.28,1,4,4
61,TLS Mutual,347.35,1,4,4
62,TLS Mutual,346.89,1,4,4
63,TLS Mutual,355.9,1,4,4
64,TLS Mutual,355.99,1,4,4
65,TLS Mutual,346.58,1,4,4
66,TLS Mutual,355.6,1,4,4
67,TLS Mutual,355.85,1,4,4
68,TLS Mutual,356.58,1,4,4
69,TLS Mutual,342.8,1,4,4
70,TLS Mutual,1351.04,1,4,4
71,TLS Mutual,356.13,1,4,4
72,TLS Mutual,355.93,1,4,4
73,TLS Mutual,348.48,1,4,4
74,TLS Mutual,356.12,1,4,4
75,TLS Mutual,344.98,1,4,4
76,TLS Mutual,355.62,1,4,4
77,TLS Mutual,345.89,1,4,4
78,TLS Mutual,356.2,1,4,4
79,TLS Mutual,357.12,1,4,4
80,TLS Mutual,347.13,1,4,4
81,TLS Mutual,355.93,1,4,4
82,TLS Mutual,346.71,1,4,4
83,TLS Mutual,355.37,1,4,4
84,TLS Mutual,356.29,1,4,4
85,TLS Mutual,356.51,1,4,4
86,TLS Mutual,357.99,1,4,4
87,TLS Mutual,347.13,1,4,4
88,TLS Mutual,347.22,1,4,4
89,TLS Mutual,356.55,1,4,4
90,TLS Mutual,356.28,1,4,4
91,TLS Mutual,346.93,1,4,4
92,TLS Mutual,356.89,1,4,4
93,TLS Mutual,346.87,1,4,4
94,TLS Mutual,356.02,1,4,4
95,TLS Mutual,342.59,1,4,4
96,TLS Mutual,346.57,1,4,4
97,TLS Mutual,355.95,1,4,4
98,TLS Mutual,354.15,1,4,4
99,TLS Mutual,356.1,1,4,4
100,TLS Mutual,356.05,1,4,4
101,TLS Mutual,355.98,1,4,4
102,TLS Mutual,1522.56,1,4,4
103,TLS Mutual,1519.74,1,4,4
104,TLS Mutual,354.41,1,4,4
105,TLS Mutual,354.95,1,4,4
106,TLS Mutual,346.91,1,4,4
107,TLS Mutual,355.86,1,4,4
108,TLS Mutual,347.1,1,4,4
109,TLS Mutual,355.6,1,4,4
110,TLS Mutual,355.32,1,4,4
111,TLS Mutual,355.56,1,4,4
112,TLS Mutual,353.28,1,4,4
113,TLS Mutual,355.42,1,4,4
114,TLS Mutual,355.89,1,4,4
115,TLS Mutual,346.48,1,4,4
116,TLS Mutual,354.48,1,4,4
117,TLS Mutual,346.53,1,4,4
118,TLS Mutual,354.79,1,4,4
119,TLS Mutual,346.43,1,4,4
120,TLS Mutual,356.07,1,4,4
121,TLS Mutual,357.21,1,4,4
122,TLS Mutual,355.29,1,4,4
123,TLS Mutual,355.98,1,4,4
124,TLS Mutual,355.94,1,4,4
125,TLS Mutual,346.96,1,4,4
