execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,556.61,1,2,4
2,TLS Mutual,389.82,1,2,4
3,TLS Mutual,388.35,1,2,4
4,TLS Mutual,388.63,1,2,4
5,TLS Mutual,380.55,1,2,4
6,TLS Mutual,386.38,1,2,4
7,TLS Mutual,390.89,1,2,4
8,TLS Mutual,385.45,1,2,4
9,TLS Mutual,390.37,1,2,4
10,TLS Mutual,388.76,1,2,4
11,TLS Mutual,391.12,1,2,4
12,TLS Mutual,390.28,1,2,4
13,TLS Mutual,1904.82,1,2,4
14,TLS Mutual,391.55,1,2,4
15,TLS Mutual,389.88,1,2,4
16,TLS Mutual,389.87,1,2,4
17,TLS Mutual,389.88,1,2,4
18,TLS Mutual,391.53,1,2,4
19,TLS Mutual,389.6,1,2,4
20,TLS Mutual,390.9,1,2,4
21,TLS Mutual,375.0,1,2,4
22,TLS Mutual,388.86,1,2,4
23,TLS Mutual,388.49,1,2,4
24,TLS Mutual,368.44,1,2,4
25,TLS Mutual,393.1,1,2,4
26,TLS Mutual,365.77,1,2,4
27,TLS Mutual,390.76,1,2,4
28,TLS Mutual,367.47,1,2,4
29,TLS Mutual,390.53,1,2,4
30,TLS Mutual,368.05,1,2,4
31,TLS Mutual,2375.54,1,2,4
32,TLS Mutual,366.77,1,2,4
33,TLS Mutual,391.39,1,2,4
34,TLS Mutual,366.29,1,2,4
35,TLS Mutual,386.96,1,2,4
36,TLS Mutual,388.77,1,2,4
37,TLS Mutual,388.24,1,2,4
38,TLS Mutual,388.12,1,2,4
39,TLS Mutual,387.05,1,2,4
40,TLS Mutual,366.55,1,2,4
41,TLS Mutual,386.51,1,2,4
42,TLS Mutual,366.88,1,2,4
43,TLS Mutual,379.89,1,2,4
44,TLS Mutual,387.45,1,2,4
45,TLS Mutual,390.29,1,2,4
46,TLS Mutual,386.59,1,2,4
47,TLS Mutual,387.08,1,2,4
48,TLS Mutual,392.69,1,2,4
49,TLS Mutual,376.88,1,2,4
50,TLS Mutual,374.6,1,2,4
51,TLS Mutual,392.37,1,2,4
52,TLS Mutual,382.54,1,2,4
53,TLS Mutual,388.84,1,2,4
54,TLS Mutual,388.77,1,2,4
55,TLS Mutual,386.38,1,2,4
56,TLS Mutual,388.8,1,2,4
57,TLS Mutual,392.68,1,2,4
58,TLS Mutual,390.26,1,2,4
59,TLS Mutual,390.67,1,2,4
60,TLS Mutual,389.72,1,2,4
61,TLS Mutual,376.23,1,2,4
62,TLS Mutual,579.75,1,2,4
63,TLS Mutual,390.46,1,2,4
64,TLS Mutual,388.46,1,2,4
65,TLS Mutual,359.38,1,2,4
66,TLS Mutual,387.54,1,2,4
67,TLS Mutual,386.36,1,2,4
68,TLS Mutual,384.82,1,2,4
69,TLS Mutual,390.52,1,2,4
70,TLS Mutual,387.52,1,2,4
71,TLS Mutual,373.54,1,2,4
72,TLS Mutual,391.31,1,2,4
73,TLS Mutual,388.31,1,2,4
74,TLS Mutual,388.9,1,2,4
75,TLS Mutual,389.75,1,2,4
76,TLS Mutual,381.69,1,2,4
77,TLS Mutual,387.12,1,2,4
78,TLS Mutual,389.25,1,2,4
79,TLS Mutual,389.19,1,2,4
80,TLS Mutual,386.21,1,2,4
81,TLS Mutual,389.99,1,2,4
82,TLS Mutual,389.31,1,2,4
83,TLS Mutual,390.49,1,2,4
84,TLS Mutual,388.7,1,2,4
85,TLS Mutual,368.81,1,2,4
86,TLS Mutual,393.16,1,2,4
87,TLS Mutual,387.15,1,2,4
88,TLS Mutual,390.24,1,2,4
89,TLS Mutual,389.2,1,2,4
90,TLS Mutual,384.5,1,2,4
91,TLS Mutual,388.62,1,2,4
92,TLS Mutual,394.53,1,2,4
93,TLS Mutual,387.85,1,2,4
94,TLS Mutual,391.76,1,2,4
95,TLS Mutual,1066.32,1,2,4
96,TLS Mutual,385.47,1,2,4
97,TLS Mutual,388.39,1,2,4
98,TLS Mutual,392.36,1,2,4
99,TLS Mutual,370.82,1,2,4
100,TLS Mutual,391.45,1,2,4
101,TLS Mutual,390.46,1,2,4
102,TLS Mutual,389.55,1,2,4
103,TLS Mutual,393.2,1,2,4
104,TLS Mutual,389.51,1,2,4
105,TLS Mutual,389.05,1,2,4
106,TLS Mutual,391.68,1,2,4
107,TLS Mutual,387.33,1,2,4
108,TLS Mutual,389.13,1,2,4
109,TLS Mutual,584.21,1,2,4
110,TLS Mutual,381.9,1,2,4
111,TLS Mutual,389.95,1,2,4
112,TLS Mutual,390.89,1,2,4
113,TLS Mutual,385.62,1,2,4
114,TLS Mutual,391.35,1,2,4
115,TLS Mutual,391.66,1,2,4
116,TLS Mutual,388.38,1,2,4
117,TLS Mutual,388.22,1,2,4
118,TLS Mutual,384.09,1,2,4
119,TLS Mutual,1763.98,1,2,4
120,TLS Mutual,390.5,1,2,4
121,TLS Mutual,397.68,1,2,4
122,TLS Mutual,401.99,1,2,4
123,TLS Mutual,392.71,1,2,4
124,TLS Mutual,388.81,1,2,4
125,TLS Mutual,389.48,1,2,4
