execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,602.56,1,3,4
2,TLS Mutual,425.54,1,3,4
3,TLS Mutual,428.13,1,3,4
4,TLS Mutual,413.22,1,3,4
5,TLS Mutual,404.6,1,3,4
6,TLS Mutual,421.46,1,3,4
7,TLS Mutual,420.82,1,3,4
8,TLS Mutual,397.89,1,3,4
9,TLS Mutual,416.52,1,3,4
10,TLS Mutual,427.61,1,3,4
11,TLS Mutual,410.66,1,3,4
12,TLS Mutual,426.41,1,3,4
13,TLS Mutual,412.61,1,3,4
14,TLS Mutual,403.08,1,3,4
15,TLS Mutual,428.25,1,3,4
16,TLS Mutual,426.57,1,3,4
17,TLS Mutual,385.42,1,3,4
18,TLS Mutual,375.52,1,3,4
19,TLS Mutual,429.52,1,3,4
20,TLS Mutual,411.56,1,3,4
21,TLS Mutual,571.19,1,3,4
22,TLS Mutual,412.44,1,3,4
23,TLS Mutual,430.21,1,3,4
24,TLS Mutual,426.28,1,3,4
25,TLS Mutual,428.99,1,3,4
26,TLS Mutual,388.97,1,3,4
27,TLS Mutual,428.9,1,3,4
28,TLS Mutual,390.16,1,3,4
29,TLS Mutual,426.99,1,3,4
30,TLS Mutual,403.86,1,3,4
31,TLS Mutual,431.08,1,3,4
32,TLS Mutual,426.69,1,3,4
33,TLS Mutual,415.54,1,3,4
34,TLS Mutual,590.99,1,3,4
35,TLS Mutual,418.85,1,3,4
36,TLS Mutual,404.77,1,3,4
37,TLS Mutual,429.11,1,3,4
38,TLS Mutual,426.19,1,3,4
39,TLS Mutual,403.06,1,3,4
40,TLS Mutual,427.63,1,3,4
41,TLS Mutual,411.95,1,3,4
42,TLS Mutual,405.17,1,3,4
43,TLS Mutual,427.85,1,3,4
44,TLS Mutual,404.68,1,3,4
45,TLS Mutual,428.41,1,3,4
46,TLS Mutual,391.15,1,3,4
47,TLS Mutual,411.98,1,3,4
48,TLS Mutual,425.53,1,3,4
49,TLS Mutual,414.12,1,3,4
50,TLS Mutual,424.15,1,3,4
51,TLS Mutual,426.67,1,3,4
52,TLS Mutual,410.45,1,3,4
53,TLS Mutual,404.87,1,3,4
54,TLS Mutual,423.87,1,3,4
55,TLS Mutual,389.83,1,3,4
56,TLS Mutual,428.51,1,3,4
57,TLS Mutual,428.1,1,3,4
58,TLS Mutual,388.45,1,3,4
59,TLS Mutual,428.64,1,3,4
60,TLS Mutual,416.55,1,3,4
61,TLS Mutual,397.82,1,3,4
62,TLS Mutual,403.96,1,3,4
63,TLS Mutual,408.93,1,3,4
64,TLS Mutual,1069.36,1,3,4
65,TLS Mutual,427.28,1,3,4
66,TLS Mutual,429.42,1,3,4
67,TLS Mutual,388.44,1,3,4
68,TLS Mutual,429.15,1,3,4
69,TLS Mutual,411.6,1,3,4
70,TLS Mutual,426.53,1,3,4
71,TLS Mutual,403.19,1,3,4
72,TLS Mutual,428.19,1,3,4
73,TLS Mutual,390.29,1,3,4
74,TLS Mutual,425.03,1,3,4
75,TLS Mutual,1952.54,1,3,4
76,TLS Mutual,427.46,1,3,4
77,TLS Mutual,427.37,1,3,4
78,TLS Mutual,404.27,1,3,4
79,TLS Mutual,574.11,1,3,4
80,TLS Mutual,1943.93,1,3,4
81,TLS Mutual,427.88,1,3,4
82,TLS Mutual,426.11,1,3,4
83,TLS Mutual,389.6,1,3,4
84,TLS Mutual,429.24,1,3,4
85,TLS Mutual,390.55,1,3,4
86,TLS Mutual,429.27,1,3,4
87,TLS Mutual,415.29,1,3,4
88,TLS Mutual,425.77,1,3,4
89,TLS Mutual,388.92,1,3,4
90,TLS Mutual,430.38,1,3,4
91,TLS Mutual,556.99,1,3,4
92,TLS Mutual,425.91,1,3,4
93,TLS Mutual,427.86,1,3,4
94,TLS Mutual,557.12,1,3,4
95,TLS Mutual,589.81,1,3,4
96,TLS Mutual,404.01,1,3,4
97,TLS Mutual,413.91,1,3,4
98,TLS Mutual,415.17,1,3,4
99,TLS Mutual,424.28,1,3,4
100,TLS Mutual,426.12,1,3,4
101,TLS Mutual,427.46,1,3,4
102,TLS Mutual,426.2,1,3,4
103,TLS Mutual,427.4,1,3,4
104,TLS Mutual,413.27,1,3,4
105,TLS Mutual,425.74,1,3,4
106,TLS Mutual,412.64,1,3,4
107,TLS Mutual,628.74,1,3,4
108,TLS Mutual,415.21,1,3,4
109,TLS Mutual,426.54,1,3,4
110,TLS Mutual,428.71,1,3,4
111,TLS Mutual,407.88,1,3,4
112,TLS Mutual,571.49,1,3,4
113,TLS Mutual,427.54,1,3,4
114,TLS Mutual,426.11,1,3,4
115,TLS Mutual,416.92,1,3,4
116,TLS Mutual,632.13,1,3,4
117,TLS Mutual,616.22,1,3,4
118,TLS Mutual,413.71,1,3,4
119,TLS Mutual,425.58,1,3,4
120,TLS Mutual,427.47,1,3,4
121,TLS Mutual,414.06,1,3,4
122,TLS Mutual,404.16,1,3,4
123,TLS Mutual,410.15,1,3,4
124,TLS Mutual,1934.49,1,3,4
125,TLS Mutual,403.95,1,3,4
