execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,567.22,1,4,4
2,TLS Mutual,403.27,1,4,4
3,TLS Mutual,399.82,1,4,4
4,TLS Mutual,403.35,1,4,4
5,TLS Mutual,402.89,1,4,4
6,TLS Mutual,398.24,1,4,4
7,TLS Mutual,401.97,1,4,4
8,TLS Mutual,401.37,1,4,4
9,TLS Mutual,394.79,1,4,4
10,TLS Mutual,401.46,1,4,4
11,TLS Mutual,402.31,1,4,4
12,TLS Mutual,403.63,1,4,4
13,TLS Mutual,404.99,1,4,4
14,TLS Mutual,403.88,1,4,4
15,TLS Mutual,402.32,1,4,4
16,TLS Mutual,402.96,1,4,4
17,TLS Mutual,382.11,1,4,4
18,TLS Mutual,387.36,1,4,4
19,TLS Mutual,403.14,1,4,4
20,TLS Mutual,404.01,1,4,4
21,TLS Mutual,402.26,1,4,4
22,TLS Mutual,402.82,1,4,4
23,TLS Mutual,403.78,1,4,4
24,TLS Mutual,402.87,1,4,4
25,TLS Mutual,1077.19,1,4,4
26,TLS Mutual,403.62,1,4,4
27,TLS Mutual,402.1,1,4,4
28,TLS Mutual,403.42,1,4,4
29,TLS Mutual,403.79,1,4,4
30,TLS Mutual,403.22,1,4,4
31,TLS Mutual,569.73,1,4,4
32,TLS Mutual,380.86,1,4,4
33,TLS Mutual,401.87,1,4,4
34,TLS Mutual,379.57,1,4,4
35,TLS Mutual,401.56,1,4,4
36,TLS Mutual,402.4,1,4,4
37,TLS Mutual,402.01,1,4,4
38,TLS Mutual,403.8,1,4,4
39,TLS Mutual,372.11,1,4,4
40,TLS Mutual,403.87,1,4,4
41,TLS Mutual,403.36,1,4,4
42,TLS Mutual,373.12,1,4,4
43,TLS Mutual,401.03,1,4,4
44,TLS Mutual,404.56,1,4,4
45,TLS Mutual,403.3,1,4,4
46,TLS Mutual,404.15,1,4,4
47,TLS Mutual,1050.5,1,4,4
48,TLS Mutual,403.84,1,4,4
49,TLS Mutual,403.69,1,4,4
50,TLS Mutual,405.2,1,4,4
51,TLS Mutual,400.77,1,4,4
52,TLS Mutual,1083.28,1,4,4
53,TLS Mutual,402.06,1,4,4
54,TLS Mutual,405.31,1,4,4
55,TLS Mutual,402.04,1,4,4
56,TLS Mutual,403.57,1,4,4
57,TLS Mutual,714.84,1,4,4
58,TLS Mutual,401.46,1,4,4
59,TLS Mutual,404.5,1,4,4
60,TLS Mutual,402.83,1,4,4
61,TLS Mutual,375.46,1,4,4
62,TLS Mutual,405.11,1,4,4
63,TLS Mutual,402.97,1,4,4
64,TLS Mutual,402.9,1,4,4
65,TLS Mutual,405.52,1,4,4
66,TLS Mutual,402.14,1,4,4
67,TLS Mutual,401.71,1,4,4
68,TLS Mutual,380.51,1,4,4
69,TLS Mutual,403.74,1,4,4
70,TLS Mutual,404.83,1,4,4
71,TLS Mutual,381.05,1,4,4
72,TLS Mutual,404.04,1,4,4
73,TLS Mutual,403.42,1,4,4
74,TLS Mutual,382.19,1,4,4
75,TLS Mutual,403.31,1,4,4
76,TLS Mutual,400.61,1,4,4
77,TLS Mutual,380.01,1,4,4
78,TLS Mutual,594.33,1,4,4
79,TLS Mutual,404.85,1,4,4
80,TLS Mutual,405.78,1,4,4
81,TLS Mutual,403.6,1,4,4
82,TLS Mutual,405.84,1,4,4
83,TLS Mutual,403.76,1,4,4
84,TLS Mutual,571.95,1,4,4
85,TLS Mutual,570.99,1,4,4
86,TLS Mutual,401.67,1,4,4
87,TLS Mutual,548.86,1,4,4
88,TLS Mutual,403.07,1,4,4
89,TLS Mutual,381.35,1,4,4
90,TLS Mutual,401.78,1,4,4
91,TLS Mutual,378.27,1,4,4
92,TLS Mutual,405.11,1,4,4
93,TLS Mutual,382.37,1,4,4
94,TLS Mutual,379.62,1,4,4
95,TLS Mutual,401.98,1,4,4
96,TLS Mutual,403.24,1,4,4
97,TLS Mutual,373.83,1,4,4
98,TLS Mutual,402.86,1,4,4
99,TLS Mutual,405.49,1,4,4
100,TLS Mutual,407.74,1,4,4
101,TLS Mutual,402.15,1,4,4
102,TLS Mutual,380.77,1,4,4
103,TLS Mutual,562.21,1,4,4
104,TLS Mutual,367.98,1,4,4
105,TLS Mutual,406.9,1,4,4
106,TLS Mutual,403.31,1,4,4
107,TLS Mutual,402.84,1,4,4
108,TLS Mutual,403.06,1,4,4
109,TLS Mutual,380.78,1,4,4
110,TLS Mutual,380.61,1,4,4
111,TLS Mutual,568.86,1,4,4
112,TLS Mutual,406.13,1,4,4
113,TLS Mutual,1122.33,1,4,4
114,TLS Mutual,401.29,1,4,4
115,TLS Mutual,403.28,1,4,4
116,TLS Mutual,406.95,1,4,4
117,TLS Mutual,400.4,1,4,4
118,TLS Mutual,550.46,1,4,4
119,TLS Mutual,404.56,1,4,4
120,TLS Mutual,379.15,1,4,4
121,TLS Mutual,403.97,1,4,4
122,TLS Mutual,404.53,1,4,4
123,TLS Mutual,405.54,1,4,4
124,TLS Mutual,402.54,1,4,4
125,TLS Mutual,402.16,1,4,4
