execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,756.02,1,4,4
2,TLS Mutual,398.89,1,4,4
3,TLS Mutual,398.64,1,4,4
4,TLS Mutual,398.32,1,4,4
5,TLS Mutual,397.3,1,4,4
6,TLS Mutual,399.21,1,4,4
7,TLS Mutual,398.17,1,4,4
8,TLS Mutual,397.78,1,4,4
9,TLS Mutual,399.87,1,4,4
10,TLS Mutual,400.34,1,4,4
11,TLS Mutual,401.43,1,4,4
12,TLS Mutual,401.81,1,4,4
13,TLS Mutual,399.91,1,4,4
14,TLS Mutual,373.83,1,4,4
15,TLS Mutual,400.41,1,4,4
16,TLS Mutual,403.84,1,4,4
17,TLS Mutual,543.29,1,4,4
18,TLS Mutual,397.73,1,4,4
19,TLS Mutual,397.41,1,4,4
20,TLS Mutual,402.02,1,4,4
21,TLS Mutual,376.37,1,4,4
22,TLS Mutual,398.88,1,4,4
23,TLS Mutual,405.25,1,4,4
24,TLS Mutual,544.47,1,4,4
25,TLS Mutual,401.94,1,4,4
26,TLS Mutual,399.16,1,4,4
27,TLS Mutual,401.55,1,4,4
28,TLS Mutual,376.51,1,4,4
29,TLS Mutual,399.02,1,4,4
30,TLS Mutual,376.38,1,4,4
31,TLS Mutual,399.43,1,4,4
32,TLS Mutual,401.96,1,4,4
33,TLS Mutual,400.02,1,4,4
34,TLS Mutual,400.1,1,4,4
35,TLS Mutual,401.29,1,4,4
36,TLS Mutual,398.97,1,4,4
37,TLS Mutual,399.43,1,4,4
38,TLS Mutual,400.1,1,4,4
39,TLS Mutual,373.05,1,4,4
40,TLS Mutual,402.36,1,4,4
41,TLS Mutual,377.77,1,4,4
42,TLS Mutual,376.53,1,4,4
43,TLS Mutual,370.67,1,4,4
44,TLS Mutual,364.57,1,4,4
45,TLS Mutual,400.4,1,4,4
46,TLS Mutual,390.18,1,4,4
47,TLS Mutual,399.86,1,4,4
48,TLS Mutual,399.63,1,4,4
49,TLS Mutual,395.99,1,4,4
50,TLS Mutual,368.35,1,4,4
51,TLS Mutual,400.72,1,4,4
52,TLS Mutual,370.42,1,4,4
53,TLS Mutual,401.2,1,4,4
54,TLS Mutual,396.17,1,4,4
55,TLS Mutual,399.82,1,4,4
56,TLS Mutual,398.92,1,4,4
57,TLS Mutual,398.59,1,4,4
58,TLS Mutual,382.53,1,4,4
59,TLS Mutual,400.22,1,4,4
60,TLS Mutual,399.7,1,4,4
61,TLS Mutual,376.42,1,4,4
62,TLS Mutual,401.74,1,4,4
63,TLS Mutual,401.5,1,4,4
64,TLS Mutual,399.84,1,4,4
65,TLS Mutual,545.55,1,4,4
66,TLS Mutual,400.19,1,4,4
67,TLS Mutual,542.3,1,4,4
68,TLS Mutual,398.83,1,4,4
69,TLS Mutual,376.88,1,4,4
70,TLS Mutual,398.9,1,4,4
71,TLS Mutual,401.98,1,4,4
72,TLS Mutual,400.33,1,4,4
73,TLS Mutual,401.69,1,4,4
74,TLS Mutual,397.76,1,4,4
75,TLS Mutual,400.05,1,4,4
76,TLS Mutual,399.15,1,4,4
77,TLS Mutual,397.84,1,4,4
78,TLS Mutual,400.74,1,4,4
79,TLS Mutual,398.81,1,4,4
80,TLS Mutual,399.8,1,4,4
81,TLS Mutual,398.29,1,4,4
82,TLS Mutual,757.1,1,4,4
83,TLS Mutual,400.12,1,4,4
84,TLS Mutual,400.39,1,4,4
85,TLS Mutual,398.48,1,4,4
86,TLS Mutual,610.21,1,4,4
87,TLS Mutual,398.68,1,4,4
88,TLS Mutual,401.77,1,4,4
89,TLS Mutual,399.88,1,4,4
90,TLS Mutual,379.99,1,4,4
91,TLS Mutual,1267.0,1,4,4
92,TLS Mutual,568.63,1,4,4
93,TLS Mutual,374.82,1,4,4
94,TLS Mutual,400.93,1,4,4
95,TLS Mutual,377.57,1,4,4
96,TLS Mutual,399.46,1,4,4
97,TLS Mutual,400.77,1,4,4
98,TLS Mutual,371.72,1,4,4
99,TLS Mutual,395.2,1,4,4
100,TLS Mutual,399.84,1,4,4
101,TLS Mutual,375.15,1,4,4
102,TLS Mutual,400.34,1,4,4
103,TLS Mutual,399.13,1,4,4
104,TLS Mutual,399.47,1,4,4
105,TLS Mutual,399.35,1,4,4
106,TLS Mutual,398.34,1,4,4
107,TLS Mutual,400.38,1,4,4
108,TLS Mutual,397.88,1,4,4
109,TLS Mutual,399.34,1,4,4
110,TLS Mutual,398.8,1,4,4
111,TLS Mutual,399.19,1,4,4
112,TLS Mutual,400.13,1,4,4
113,TLS Mutual,568.09,1,4,4
114,TLS Mutual,399.41,1,4,4
115,TLS Mutual,401.87,1,4,4
116,TLS Mutual,400.69,1,4,4
117,TLS Mutual,398.12,1,4,4
118,TLS Mutual,400.39,1,4,4
119,TLS Mutual,376.64,1,4,4
120,TLS Mutual,399.68,1,4,4
121,TLS Mutual,375.88,1,4,4
122,TLS Mutual,405.73,1,4,4
123,TLS Mutual,398.15,1,4,4
124,TLS Mutual,376.31,1,4,4
125,TLS Mutual,397.44,1,4,4
