execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,542.29,1,1,4
2,TLS Mutual,380.43,1,1,4
3,TLS Mutual,376.74,1,1,4
4,TLS Mutual,380.26,1,1,4
5,TLS Mutual,382.48,1,1,4
6,TLS Mutual,374.36,1,1,4
7,TLS Mutual,375.62,1,1,4
8,TLS Mutual,374.7,1,1,4
9,TLS Mutual,380.29,1,1,4
10,TLS Mutual,377.16,1,1,4
11,TLS Mutual,377.06,1,1,4
12,TLS Mutual,377.49,1,1,4
13,TLS Mutual,383.02,1,1,4
14,TLS Mutual,373.81,1,1,4
15,TLS Mutual,378.61,1,1,4
16,TLS Mutual,380.67,1,1,4
17,TLS Mutual,376.65,1,1,4
18,TLS Mutual,376.21,1,1,4
19,TLS Mutual,381.03,1,1,4
20,TLS Mutual,374.97,1,1,4
21,TLS Mutual,376.26,1,1,4
22,TLS Mutual,377.32,1,1,4
23,TLS Mutual,376.48,1,1,4
24,TLS Mutual,385.69,1,1,4
25,TLS Mutual,377.3,1,1,4
26,TLS Mutual,380.13,1,1,4
27,TLS Mutual,382.87,1,1,4
28,TLS Mutual,380.27,1,1,4
29,TLS Mutual,371.6,1,1,4
30,TLS Mutual,379.43,1,1,4
31,TLS Mutual,375.98,1,1,4
32,TLS Mutual,379.91,1,1,4
33,TLS Mutual,383.62,1,1,4
34,TLS Mutual,378.0,1,1,4
35,TLS Mutual,372.17,1,1,4
36,TLS Mutual,381.67,1,1,4
37,TLS Mutual,366.17,1,1,4
38,TLS Mutual,378.22,1,1,4
39,TLS Mutual,364.14,1,1,4
40,TLS Mutual,375.54,1,1,4
41,TLS Mutual,373.98,1,1,4
42,TLS Mutual,377.57,1,1,4
43,TLS Mutual,383.74,1,1,4
44,TLS Mutual,1414.12,1,1,4
45,TLS Mutual,380.7,1,1,4
46,TLS Mutual,376.78,1,1,4
47,TLS Mutual,377.1,1,1,4
48,TLS Mutual,376.21,1,1,4
49,TLS Mutual,375.56,1,1,4
50,TLS Mutual,386.27,1,1,4
51,TLS Mutual,376.03,1,1,4
52,TLS Mutual,382.32,1,1,4
53,TLS Mutual,382.22,1,1,4
54,TLS Mutual,385.37,1,1,4
55,TLS Mutual,1385.01,1,1,4
56,TLS Mutual,378.03,1,1,4
57,TLS Mutual,383.76,1,1,4
58,TLS Mutual,378.72,1,1,4
59,TLS Mutual,378.23,1,1,4
60,TLS Mutual,375.97,1,1,4
61,TLS Mutual,385.45,1,1,4
62,TLS Mutual,381.85,1,1,4
63,TLS Mutual,386.41,1,1,4
64,TLS Mutual,375.48,1,1,4
65,TLS Mutual,376.8,1,1,4
66,TLS Mutual,383.52,1,1,4
67,TLS Mutual,375.08,1,1,4
68,TLS Mutual,375.1,1,1,4
69,TLS Mutual,378.54,1,1,4
70,TLS Mutual,378.41,1,1,4
71,TLS Mutual,381.25,1,1,4
72,TLS Mutual,369.49,1,1,4
73,TLS Mutual,377.68,1,1,4
74,TLS Mutual,377.22,1,1,4
75,TLS Mutual,375.89,1,1,4
76,TLS Mutual,374.74,1,1,4
77,TLS Mutual,375.93,1,1,4
78,TLS Mutual,380.77,1,1,4
79,TLS Mutual,375.58,1,1,4
80,TLS Mutual,380.54,1,1,4
81,TLS Mutual,370.59,1,1,4
82,TLS Mutual,1388.29,1,1,4
83,TLS Mutual,375.02,1,1,4
84,TLS Mutual,374.32,1,1,4
85,TLS Mutual,376.62,1,1,4
86,TLS Mutual,1396.68,1,1,4
87,TLS Mutual,383.29,1,1,4
88,TLS Mutual,381.35,1,1,4
89,TLS Mutual,375.56,1,1,4
90,TLS Mutual,359.86,1,1,4
91,TLS Mutual,350.56,1,1,4
92,TLS Mutual,376.64,1,1,4
93,TLS Mutual,374.75,1,1,4
94,TLS Mutual,376.61,1,1,4
95,TLS Mutual,375.6,1,1,4
96,TLS Mutual,374.72,1,1,4
97,TLS Mutual,381.24,1,1,4
98,TLS Mutual,375.8,1,1,4
99,TLS Mutual,379.43,1,1,4
100,TLS Mutual,388.88,1,1,4
101,TLS Mutual,374.93,1,1,4
102,TLS Mutual,377.25,1,1,4
103,TLS Mutual,374.94,1,1,4
104,TLS Mutual,377.04,1,1,4
105,TLS Mutual,376.73,1,1,4
106,TLS Mutual,374.97,1,1,4
107,TLS Mutual,375.24,1,1,4
108,TLS Mutual,389.17,1,1,4
109,TLS Mutual,375.81,1,1,4
110,TLS Mutual,375.92,1,1,4
111,TLS Mutual,379.73,1,1,4
112,TLS Mutual,378.09,1,1,4
113,TLS Mutual,376.42,1,1,4
114,TLS Mutual,376.45,1,1,4
115,TLS Mutual,378.6,1,1,4
116,TLS Mutual,377.81,1,1,4
117,TLS Mutual,374.86,1,1,4
118,TLS Mutual,1407.05,1,1,4
119,TLS Mutual,375.68,1,1,4
120,TLS Mutual,376.79,1,1,4
121,TLS Mutual,385.01,1,1,4
122,TLS Mutual,376.35,1,1,4
123,TLS Mutual,377.0,1,1,4
124,TLS Mutual,382.77,1,1,4
125,TLS Mutual,376.56,1,1,4
