execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,539.43,1,1,4
2,TLS Mutual,366.83,1,1,4
3,TLS Mutual,373.09,1,1,4
4,TLS Mutual,370.86,1,1,4
5,TLS Mutual,374.56,1,1,4
6,TLS Mutual,390.67,1,1,4
7,TLS Mutual,369.6,1,1,4
8,TLS Mutual,374.87,1,1,4
9,TLS Mutual,353.95,1,1,4
10,TLS Mutual,373.98,1,1,4
11,TLS Mutual,371.51,1,1,4
12,TLS Mutual,371.84,1,1,4
13,TLS Mutual,372.8,1,1,4
14,TLS Mutual,374.15,1,1,4
15,TLS Mutual,371.61,1,1,4
16,TLS Mutual,369.94,1,1,4
17,TLS Mutual,371.49,1,1,4
18,TLS Mutual,370.37,1,1,4
19,TLS Mutual,370.68,1,1,4
20,TLS Mutual,374.27,1,1,4
21,TLS Mutual,373.87,1,1,4
22,TLS Mutual,370.32,1,1,4
23,TLS Mutual,374.79,1,1,4
24,TLS Mutual,369.7,1,1,4
25,TLS Mutual,375.02,1,1,4
26,TLS Mutual,372.81,1,1,4
27,TLS Mutual,378.77,1,1,4
28,TLS Mutual,370.63,1,1,4
29,TLS Mutual,378.97,1,1,4
30,TLS Mutual,371.15,1,1,4
31,TLS Mutual,370.97,1,1,4
32,TLS Mutual,371.58,1,1,4
33,TLS Mutual,372.97,1,1,4
34,TLS Mutual,369.97,1,1,4
35,TLS Mutual,374.26,1,1,4
36,TLS Mutual,371.04,1,1,4
37,TLS Mutual,381.52,1,1,4
38,TLS Mutual,371.74,1,1,4
39,TLS Mutual,378.32,1,1,4
40,TLS Mutual,373.78,1,1,4
41,TLS Mutual,369.96,1,1,4
42,TLS Mutual,374.76,1,1,4
43,TLS Mutual,374.3,1,1,4
44,TLS Mutual,356.6,1,1,4
45,TLS Mutual,1216.03,1,1,4
46,TLS Mutual,375.77,1,1,4
47,TLS Mutual,369.77,1,1,4
48,TLS Mutual,371.68,1,1,4
49,TLS Mutual,372.39,1,1,4
50,TLS Mutual,376.11,1,1,4
51,TLS Mutual,372.28,1,1,4
52,TLS Mutual,372.78,1,1,4
53,TLS Mutual,351.28,1,1,4
54,TLS Mutual,350.68,1,1,4
55,TLS Mutual,369.85,1,1,4
56,TLS Mutual,371.68,1,1,4
57,TLS Mutual,370.51,1,1,4
58,TLS Mutual,371.39,1,1,4
59,TLS Mutual,373.96,1,1,4
60,TLS Mutual,372.59,1,1,4
61,TLS Mutual,370.34,1,1,4
62,TLS Mutual,373.21,1,1,4
63,TLS Mutual,372.59,1,1,4
64,TLS Mutual,371.33,1,1,4
65,TLS Mutual,355.94,1,1,4
66,TLS Mutual,373.18,1,1,4
67,TLS Mutual,371.22,1,1,4
68,TLS Mutual,380.19,1,1,4
69,TLS Mutual,369.23,1,1,4
70,TLS Mutual,373.65,1,1,4
71,TLS Mutual,371.21,1,1,4
72,TLS Mutual,373.42,1,1,4
73,TLS Mutual,372.67,1,1,4
74,TLS Mutual,370.93,1,1,4
75,TLS Mutual,373.88,1,1,4
76,TLS Mutual,371.61,1,1,4
77,TLS Mutual,372.38,1,1,4
78,TLS Mutual,370.77,1,1,4
79,TLS Mutual,375.21,1,1,4
80,TLS Mutual,371.62,1,1,4
81,TLS Mutual,376.11,1,1,4
82,TLS Mutual,374.07,1,1,4
83,TLS Mutual,373.58,1,1,4
84,TLS Mutual,374.97,1,1,4
85,TLS Mutual,370.7,1,1,4
86,TLS Mutual,373.92,1,1,4
87,TLS Mutual,370.41,1,1,4
88,TLS Mutual,371.56,1,1,4
89,TLS Mutual,376.93,1,1,4
90,TLS Mutual,371.2,1,1,4
91,TLS Mutual,373.59,1,1,4
92,TLS Mutual,370.4,1,1,4
93,TLS Mutual,374.62,1,1,4
94,TLS Mutual,370.67,1,1,4
95,TLS Mutual,370.23,1,1,4
96,TLS Mutual,374.29,1,1,4
97,TLS Mutual,379.54,1,1,4
98,TLS Mutual,371.89,1,1,4
99,TLS Mutual,370.15,1,1,4
100,TLS Mutual,372.17,1,1,4
101,TLS Mutual,376.41,1,1,4
102,TLS Mutual,371.89,1,1,4
103,TLS Mutual,374.24,1,1,4
104,TLS Mutual,375.89,1,1,4
105,TLS Mutual,371.31,1,1,4
106,TLS Mutual,372.12,1,1,4
107,TLS Mutual,372.11,1,1,4
108,TLS Mutual,375.58,1,1,4
109,TLS Mutual,375.13,1,1,4
110,TLS Mutual,373.08,1,1,4
111,TLS Mutual,366.5,1,1,4
112,TLS Mutual,375.11,1,1,4
113,TLS Mutual,371.08,1,1,4
114,TLS Mutual,371.87,1,1,4
115,TLS Mutual,1222.44,1,1,4
116,TLS Mutual,376.01,1,1,4
117,TLS Mutual,369.83,1,1,4
118,TLS Mutual,379.61,1,1,4
119,TLS Mutual,371.65,1,1,4
120,TLS Mutual,373.77,1,1,4
121,TLS Mutual,372.47,1,1,4
122,TLS Mutual,372.67,1,1,4
123,TLS Mutual,1215.82,1,1,4
124,TLS Mutual,372.78,1,1,4
125,TLS Mutual,374.95,1,1,4
