security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,267.898,402.259,-33.4
L1,ed25519,hqc128,pq_pur,390.917,402.259,-2.8
L1,ed25519,mlkem512,pq_pur,304.321,402.259,-24.3
L1,ed25519,p256_hqc128,hybride,345.026,402.259,-14.2
L1,ed25519,p256_mlkem512,hybride,279.644,402.259,-30.5
L1,ed25519,x25519_hqc128,hybride,361.797,402.259,-10.1
L1,ed25519,x25519_mlkem512,hybride,275.742,402.259,-31.5
L1,ed25519,x25519,classique,339.579,402.259,-15.6
L1,mldsa44,P-256,classique,595.445,402.259,48.0
L1,mldsa44,hqc128,pq_pur,485.535,402.259,20.7
L1,mldsa44,mlkem512,pq_pur,458.395,402.259,14.0
L1,mldsa44,p256_hqc128,hybride,576.583,402.259,43.3
L1,mldsa44,p256_mlkem512,hybride,396.912,402.259,-1.3
L1,mldsa44,x25519_hqc128,hybride,540.984,402.259,34.5
L1,mldsa44,x25519_mlkem512,hybride,377.77,402.259,-6.1
L1,mldsa44,x25519,classique,406.113,402.259,1.0
L3,mldsa65,P-384,classique,474.259,379.305,25.0
L3,mldsa65,hqc192,pq_pur,534.016,379.305,40.8
L3,mldsa65,mlkem768,pq_pur,489.59,379.305,29.1
L3,mldsa65,p384_hqc192,hybride,551.984,379.305,45.5
L3,mldsa65,p384_mlkem768,hybride,389.032,379.305,2.6
L3,mldsa65,x448_hqc192,hybride,656.712,379.305,73.1
L3,mldsa65,x448_mlkem768,hybride,437.36,379.305,15.3
L3,mldsa65,x448,classique,432.402,379.305,14.0
L5,mldsa87,P-521,classique,491.586,396.363,24.0
L5,mldsa87,hqc256,pq_pur,691.342,396.363,74.4
L5,mldsa87,mlkem1024,pq_pur,431.6,396.363,8.9
L5,mldsa87,p521_hqc256,hybride,651.063,396.363,64.3
L5,mldsa87,p521_mlkem1024,hybride,475.546,396.363,20.0
L3,secp384r1,P-384,classique,346.866,379.305,-8.6
L3,secp384r1,hqc192,pq_pur,396.88,379.305,4.6
L3,secp384r1,mlkem768,pq_pur,293.566,379.305,-22.6
L3,secp384r1,p384_hqc192,hybride,436.252,379.305,15.0
L3,secp384r1,p384_mlkem768,hybride,306.791,379.305,-19.1
L3,secp384r1,x448_hqc192,hybride,456.5,379.305,20.4
L3,secp384r1,x448_mlkem768,hybride,314.613,379.305,-17.1
L3,secp384r1,x448,classique,263.692,379.305,-30.5
L5,secp521r1,P-521,classique,301.14,396.363,-24.0
L5,secp521r1,hqc256,pq_pur,484.138,396.363,22.1
L5,secp521r1,mlkem1024,pq_pur,302.423,396.363,-23.7
L5,secp521r1,p521_hqc256,hybride,520.241,396.363,31.3
L5,secp521r1,p521_mlkem1024,hybride,313.285,396.363,-21.0
