execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,274.71,1,1,4
2,TLS Mutual,6.97,1,1,4
3,TLS Mutual,1265.27,1,1,4
4,TLS Mutual,1266.62,1,1,4
5,TLS Mutual,7.79,1,1,4
6,TLS Mutual,7.05,1,1,4
7,TLS Mutual,7.05,1,1,4
8,TLS Mutual,6.63,1,1,4
9,TLS Mutual,1049.23,1,1,4
10,TLS Mutual,8.44,1,1,4
11,TLS Mutual,6.02,1,1,4
12,TLS Mutual,6.21,1,1,4
13,TLS Mutual,5.84,1,1,4
14,TLS Mutual,6.09,1,1,4
15,TLS Mutual,2048.64,1,1,4
16,TLS Mutual,7.06,1,1,4
17,TLS Mutual,7.51,1,1,4
18,TLS Mutual,223.86,1,1,4
19,TLS Mutual,6.39,1,1,4
20,TLS Mutual,6.28,1,1,4
21,TLS Mutual,6.44,1,1,4
22,TLS Mutual,631.42,1,1,4
23,TLS Mutual,6.38,1,1,4
24,TLS Mutual,5.91,1,1,4
25,TLS Mutual,6.22,1,1,4
26,TLS Mutual,5.77,1,1,4
27,TLS Mutual,3079.77,1,1,4
28,TLS Mutual,9.6,1,1,4
29,TLS Mutual,6.06,1,1,4
30,TLS Mutual,6.07,1,1,4
31,TLS Mutual,5.78,1,1,4
32,TLS Mutual,1040.52,1,1,4
33,TLS Mutual,6.14,1,1,4
34,TLS Mutual,6.23,1,1,4
35,TLS Mutual,1235.82,1,1,4
36,TLS Mutual,226.65,1,1,4
37,TLS Mutual,9.64,1,1,4
38,TLS Mutual,5.72,1,1,4
39,TLS Mutual,5.81,1,1,4
40,TLS Mutual,5.89,1,1,4
41,TLS Mutual,227.29,1,1,4
42,TLS Mutual,6.47,1,1,4
43,TLS Mutual,5.9,1,1,4
44,TLS Mutual,1256.94,1,1,4
45,TLS Mutual,6.38,1,1,4
46,TLS Mutual,5.99,1,1,4
47,TLS Mutual,5.77,1,1,4
48,TLS Mutual,5.63,1,1,4
49,TLS Mutual,6.21,1,1,4
50,TLS Mutual,5.65,1,1,4
51,TLS Mutual,9.81,1,1,4
52,TLS Mutual,5.64,1,1,4
53,TLS Mutual,6.35,1,1,4
54,TLS Mutual,5.78,1,1,4
55,TLS Mutual,5.94,1,1,4
56,TLS Mutual,6.05,1,1,4
57,TLS Mutual,6.04,1,1,4
58,TLS Mutual,6.05,1,1,4
59,TLS Mutual,5.7,1,1,4
60,TLS Mutual,7.04,1,1,4
61,TLS Mutual,5.84,1,1,4
62,TLS Mutual,6.01,1,1,4
63,TLS Mutual,6.04,1,1,4
64,TLS Mutual,5.96,1,1,4
65,TLS Mutual,10.77,1,1,4
66,TLS Mutual,6.07,1,1,4
67,TLS Mutual,5.97,1,1,4
68,TLS Mutual,838.11,1,1,4
69,TLS Mutual,7.12,1,1,4
70,TLS Mutual,1288.07,1,1,4
71,TLS Mutual,2081.2,1,1,4
72,TLS Mutual,6.85,1,1,4
73,TLS Mutual,224.62,1,1,4
74,TLS Mutual,429.84,1,1,4
75,TLS Mutual,1474.98,1,1,4
76,TLS Mutual,6.36,1,1,4
77,TLS Mutual,5.89,1,1,4
78,TLS Mutual,6.33,1,1,4
79,TLS Mutual,5.81,1,1,4
80,TLS Mutual,1487.63,1,1,4
81,TLS Mutual,5.83,1,1,4
82,TLS Mutual,5.92,1,1,4
83,TLS Mutual,9.63,1,1,4
84,TLS Mutual,5.93,1,1,4
85,TLS Mutual,5.66,1,1,4
86,TLS Mutual,228.47,1,1,4
87,TLS Mutual,10.85,1,1,4
88,TLS Mutual,1062.66,1,1,4
89,TLS Mutual,222.24,1,1,4
90,TLS Mutual,14.93,1,1,4
91,TLS Mutual,7.6,1,1,4
92,TLS Mutual,6.74,1,1,4
93,TLS Mutual,5.75,1,1,4
94,TLS Mutual,4098.15,1,1,4
95,TLS Mutual,5.56,1,1,4
96,TLS Mutual,6.17,1,1,4
97,TLS Mutual,5.79,1,1,4
98,TLS Mutual,5.7,1,1,4
99,TLS Mutual,5.81,1,1,4
100,TLS Mutual,6.41,1,1,4
101,TLS Mutual,5.75,1,1,4
102,TLS Mutual,6.43,1,1,4
103,TLS Mutual,5.72,1,1,4
104,TLS Mutual,5.75,1,1,4
105,TLS Mutual,5.84,1,1,4
106,TLS Mutual,5.62,1,1,4
107,TLS Mutual,5.91,1,1,4
108,TLS Mutual,5.83,1,1,4
109,TLS Mutual,6.04,1,1,4
110,TLS Mutual,6.5,1,1,4
111,TLS Mutual,6.13,1,1,4
112,TLS Mutual,6.03,1,1,4
113,TLS Mutual,5.84,1,1,4
114,TLS Mutual,6.26,1,1,4
115,TLS Mutual,6.57,1,1,4
116,TLS Mutual,5.86,1,1,4
117,TLS Mutual,232.1,1,1,4
118,TLS Mutual,639.41,1,1,4
119,TLS Mutual,7.31,1,1,4
120,TLS Mutual,1287.26,1,1,4
121,TLS Mutual,1053.14,1,1,4
122,TLS Mutual,1062.29,1,1,4
123,TLS Mutual,8.55,1,1,4
124,TLS Mutual,6.01,1,1,4
125,TLS Mutual,5.97,1,1,4
