execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,32.03,1,1,4
2,TLS Mutual,29.24,1,1,4
3,TLS Mutual,1064.55,1,1,4
4,TLS Mutual,27.47,1,1,4
5,TLS Mutual,232.43,1,1,4
6,TLS Mutual,29.83,1,1,4
7,TLS Mutual,852.2,1,1,4
8,TLS Mutual,28.68,1,1,4
9,TLS Mutual,27.57,1,1,4
10,TLS Mutual,27.41,1,1,4
11,TLS Mutual,1702.5,1,1,4
12,TLS Mutual,28.33,1,1,4
13,TLS Mutual,27.47,1,1,4
14,TLS Mutual,1294.21,1,1,4
15,TLS Mutual,30.71,1,1,4
16,TLS Mutual,27.22,1,1,4
17,TLS Mutual,27.61,1,1,4
18,TLS Mutual,27.69,1,1,4
19,TLS Mutual,26.67,1,1,4
20,TLS Mutual,28.27,1,1,4
21,TLS Mutual,28.73,1,1,4
22,TLS Mutual,32.61,1,1,4
23,TLS Mutual,42.2,1,1,4
24,TLS Mutual,262.79,1,1,4
25,TLS Mutual,34.57,1,1,4
26,TLS Mutual,1077.46,1,1,4
27,TLS Mutual,1302.11,1,1,4
28,TLS Mutual,238.87,1,1,4
29,TLS Mutual,1100.92,1,1,4
30,TLS Mutual,236.52,1,1,4
31,TLS Mutual,264.85,1,1,4
32,TLS Mutual,28.93,1,1,4
33,TLS Mutual,28.0,1,1,4
34,TLS Mutual,26.8,1,1,4
35,TLS Mutual,224.02,1,1,4
36,TLS Mutual,39.64,1,1,4
37,TLS Mutual,259.25,1,1,4
38,TLS Mutual,221.85,1,1,4
39,TLS Mutual,34.95,1,1,4
40,TLS Mutual,27.74,1,1,4
41,TLS Mutual,29.11,1,1,4
42,TLS Mutual,230.18,1,1,4
43,TLS Mutual,243.32,1,1,4
44,TLS Mutual,28.92,1,1,4
45,TLS Mutual,28.5,1,1,4
46,TLS Mutual,27.54,1,1,4
47,TLS Mutual,27.67,1,1,4
48,TLS Mutual,29.15,1,1,4
49,TLS Mutual,28.19,1,1,4
50,TLS Mutual,29.8,1,1,4
51,TLS Mutual,27.26,1,1,4
52,TLS Mutual,1099.9,1,1,4
53,TLS Mutual,27.88,1,1,4
54,TLS Mutual,1102.54,1,1,4
55,TLS Mutual,34.37,1,1,4
56,TLS Mutual,10768.26,1,1,4
57,TLS Mutual,32.13,1,1,4
58,TLS Mutual,25.89,1,1,4
59,TLS Mutual,26.3,1,1,4
60,TLS Mutual,258.34,1,1,4
61,TLS Mutual,27.3,1,1,4
62,TLS Mutual,27.41,1,1,4
63,TLS Mutual,26.69,1,1,4
64,TLS Mutual,232.61,1,1,4
65,TLS Mutual,34.1,1,1,4
66,TLS Mutual,26.95,1,1,4
67,TLS Mutual,25.09,1,1,4
68,TLS Mutual,25.16,1,1,4
69,TLS Mutual,24.89,1,1,4
70,TLS Mutual,26.26,1,1,4
71,TLS Mutual,25.63,1,1,4
72,TLS Mutual,24.95,1,1,4
73,TLS Mutual,26.52,1,1,4
74,TLS Mutual,238.69,1,1,4
75,TLS Mutual,32.01,1,1,4
76,TLS Mutual,26.28,1,1,4
77,TLS Mutual,25.46,1,1,4
78,TLS Mutual,26.08,1,1,4
79,TLS Mutual,257.98,1,1,4
80,TLS Mutual,29.3,1,1,4
81,TLS Mutual,236.88,1,1,4
82,TLS Mutual,29.27,1,1,4
83,TLS Mutual,27.59,1,1,4
84,TLS Mutual,1496.27,1,1,4
85,TLS Mutual,27.45,1,1,4
86,TLS Mutual,31.21,1,1,4
87,TLS Mutual,25.46,1,1,4
88,TLS Mutual,25.54,1,1,4
89,TLS Mutual,25.27,1,1,4
90,TLS Mutual,1073.53,1,1,4
91,TLS Mutual,26.64,1,1,4
92,TLS Mutual,263.44,1,1,4
93,TLS Mutual,27.96,1,1,4
94,TLS Mutual,1081.17,1,1,4
95,TLS Mutual,27.87,1,1,4
96,TLS Mutual,1738.07,1,1,4
97,TLS Mutual,1256.9,1,1,4
98,TLS Mutual,32.38,1,1,4
99,TLS Mutual,26.66,1,1,4
100,TLS Mutual,26.07,1,1,4
101,TLS Mutual,25.36,1,1,4
102,TLS Mutual,25.54,1,1,4
103,TLS Mutual,25.26,1,1,4
104,TLS Mutual,27.12,1,1,4
105,TLS Mutual,26.26,1,1,4
106,TLS Mutual,1106.69,1,1,4
107,TLS Mutual,29.5,1,1,4
108,TLS Mutual,27.3,1,1,4
109,TLS Mutual,26.98,1,1,4
110,TLS Mutual,237.78,1,1,4
111,TLS Mutual,672.87,1,1,4
112,TLS Mutual,27.53,1,1,4
113,TLS Mutual,26.52,1,1,4
114,TLS Mutual,237.62,1,1,4
115,TLS Mutual,29.68,1,1,4
116,TLS Mutual,28.62,1,1,4
117,TLS Mutual,29.07,1,1,4
118,TLS Mutual,466.38,1,1,4
119,TLS Mutual,39.23,1,1,4
120,TLS Mutual,447.09,1,1,4
121,TLS Mutual,32.78,1,1,4
122,TLS Mutual,28.38,1,1,4
123,TLS Mutual,1092.35,1,1,4
124,TLS Mutual,31.16,1,1,4
125,TLS Mutual,28.19,1,1,4
