execution,mode,handshake_duration_ms,success
1,TLS Mutual,234.62,1
2,TLS Mutual,15.96,1
3,TLS Mutual,11.29,1
4,TLS Mutual,2258.32,1
5,TLS Mutual,16.54,1
6,TLS Mutual,14.74,1
7,TLS Mutual,10.6,1
8,TLS Mutual,14.81,1
9,TLS Mutual,3112.09,1
10,TLS Mutual,11.67,1
11,TLS Mutual,641.27,1
12,TLS Mutual,1270.4,1
13,TLS Mutual,15.92,1
14,TLS Mutual,10.83,1
15,TLS Mutual,10.82,1
16,TLS Mutual,10.81,1
17,TLS Mutual,10.58,1
18,TLS Mutual,10.6,1
19,TLS Mutual,241.13,1
20,TLS Mutual,15.44,1
21,TLS Mutual,13.14,1
22,TLS Mutual,11.1,1
23,TLS Mutual,11.27,1
24,TLS Mutual,10.79,1
25,TLS Mutual,236.79,1
26,TLS Mutual,16.71,1
27,TLS Mutual,1048.93,1
28,TLS Mutual,16.24,1
29,TLS Mutual,10.9,1
30,TLS Mutual,644.35,1
31,TLS Mutual,16.35,1
32,TLS Mutual,10.55,1
33,TLS Mutual,1234.26,1
34,TLS Mutual,16.06,1
35,TLS Mutual,11.11,1
36,TLS Mutual,1060.06,1
37,TLS Mutual,237.31,1
38,TLS Mutual,1038.9,1
39,TLS Mutual,11.05,1
40,TLS Mutual,11.19,1
41,TLS Mutual,10.35,1
42,TLS Mutual,11.08,1
43,TLS Mutual,10.8,1
44,TLS Mutual,10.34,1
45,TLS Mutual,10.27,1
46,TLS Mutual,11.27,1
47,TLS Mutual,10.44,1
48,TLS Mutual,14.75,1
49,TLS Mutual,232.52,1
50,TLS Mutual,1088.45,1
51,TLS Mutual,15.92,1
52,TLS Mutual,11.02,1
53,TLS Mutual,240.22,1
54,TLS Mutual,14.47,1
55,TLS Mutual,11.2,1
56,TLS Mutual,236.54,1
57,TLS Mutual,849.19,1
58,TLS Mutual,1468.93,1
59,TLS Mutual,11.83,1
60,TLS Mutual,231.23,1
61,TLS Mutual,17.12,1
62,TLS Mutual,10.71,1
63,TLS Mutual,236.85,1
64,TLS Mutual,18.01,1
65,TLS Mutual,642.53,1
66,TLS Mutual,11.06,1
67,TLS Mutual,11.5,1
68,TLS Mutual,11.02,1
69,TLS Mutual,11.21,1
70,TLS Mutual,231.51,1
71,TLS Mutual,16.47,1
72,TLS Mutual,1053.47,1
73,TLS Mutual,11.53,1
74,TLS Mutual,11.33,1
75,TLS Mutual,11.01,1
76,TLS Mutual,10.29,1
77,TLS Mutual,17.66,1
78,TLS Mutual,10.84,1
79,TLS Mutual,10.99,1
80,TLS Mutual,10.84,1
81,TLS Mutual,1273.15,1
82,TLS Mutual,15.54,1
83,TLS Mutual,11.6,1
84,TLS Mutual,10.98,1
85,TLS Mutual,10.35,1
86,TLS Mutual,11.06,1
87,TLS Mutual,239.96,1
88,TLS Mutual,17.73,1
89,TLS Mutual,10.93,1
90,TLS Mutual,239.72,1
91,TLS Mutual,16.56,1
92,TLS Mutual,11.51,1
93,TLS Mutual,11.1,1
