execution,mode,handshake_duration_ms,success
1,TLS Mutual,35.98,1
2,TLS Mutual,1117.31,1
3,TLS Mutual,277.53,1
4,TLS Mutual,35.93,1
5,TLS Mutual,35.11,1
6,TLS Mutual,38.85,1
7,TLS Mutual,1073.5,1
8,TLS Mutual,37.62,1
9,TLS Mutual,35.64,1
10,TLS Mutual,35.12,1
11,TLS Mutual,35.66,1
12,TLS Mutual,40.47,1
13,TLS Mutual,35.48,1
14,TLS Mutual,35.11,1
15,TLS Mutual,861.79,1
16,TLS Mutual,1326.86,1
17,TLS Mutual,37.41,1
18,TLS Mutual,1148.42,1
19,TLS Mutual,35.0,1
20,TLS Mutual,671.48,1
21,TLS Mutual,37.96,1
22,TLS Mutual,1334.55,1
23,TLS Mutual,1100.56,1
24,TLS Mutual,35.82,1
25,TLS Mutual,35.63,1
26,TLS Mutual,37.82,1
27,TLS Mutual,1049.57,1
28,TLS Mutual,1091.98,1
29,TLS Mutual,36.92,1
30,TLS Mutual,35.4,1
31,TLS Mutual,1135.52,1
32,TLS Mutual,35.68,1
33,TLS Mutual,41.42,1
34,TLS Mutual,1107.0,1
35,TLS Mutual,262.61,1
36,TLS Mutual,37.73,1
37,TLS Mutual,35.03,1
38,TLS Mutual,35.29,1
39,TLS Mutual,35.28,1
40,TLS Mutual,35.34,1
41,TLS Mutual,261.35,1
42,TLS Mutual,37.83,1
43,TLS Mutual,269.54,1
44,TLS Mutual,35.76,1
45,TLS Mutual,272.26,1
46,TLS Mutual,37.53,1
47,TLS Mutual,35.04,1
48,TLS Mutual,270.69,1
49,TLS Mutual,37.08,1
50,TLS Mutual,35.58,1
51,TLS Mutual,272.66,1
52,TLS Mutual,272.63,1
53,TLS Mutual,1701.55,1
54,TLS Mutual,37.38,1
55,TLS Mutual,275.86,1
56,TLS Mutual,270.11,1
57,TLS Mutual,35.87,1
58,TLS Mutual,36.49,1
59,TLS Mutual,2548.15,1
60,TLS Mutual,37.78,1
61,TLS Mutual,1311.63,1
62,TLS Mutual,36.31,1
63,TLS Mutual,1708.12,1
64,TLS Mutual,66.95,1
65,TLS Mutual,270.52,1
66,TLS Mutual,1133.19,1
67,TLS Mutual,35.33,1
68,TLS Mutual,34.95,1
69,TLS Mutual,35.57,1
70,TLS Mutual,1096.62,1
71,TLS Mutual,271.83,1
72,TLS Mutual,884.35,1
73,TLS Mutual,36.76,1
74,TLS Mutual,35.56,1
75,TLS Mutual,35.44,1
76,TLS Mutual,1101.99,1
77,TLS Mutual,39.22,1
78,TLS Mutual,35.19,1
79,TLS Mutual,35.9,1
80,TLS Mutual,36.07,1
81,TLS Mutual,35.02,1
82,TLS Mutual,35.16,1
83,TLS Mutual,35.37,1
84,TLS Mutual,35.16,1
85,TLS Mutual,35.24,1
86,TLS Mutual,38.99,1
87,TLS Mutual,1096.22,1
88,TLS Mutual,35.92,1
89,TLS Mutual,35.07,1
90,TLS Mutual,272.13,1
91,TLS Mutual,486.62,1
92,TLS Mutual,2096.55,1
93,TLS Mutual,37.11,1
94,TLS Mutual,35.14,1
95,TLS Mutual,3024.2,1
96,TLS Mutual,36.42,1
97,TLS Mutual,35.18,1
98,TLS Mutual,266.4,1
99,TLS Mutual,37.23,1
100,TLS Mutual,1340.78,1
101,TLS Mutual,886.33,1
102,TLS Mutual,36.37,1
103,TLS Mutual,484.97,1
104,TLS Mutual,36.2,1
105,TLS Mutual,35.29,1
106,TLS Mutual,35.65,1
107,TLS Mutual,1052.26,1
108,TLS Mutual,267.69,1
109,TLS Mutual,36.03,1
110,TLS Mutual,1067.43,1
111,TLS Mutual,36.55,1
112,TLS Mutual,2551.45,1
113,TLS Mutual,37.5,1
114,TLS Mutual,35.87,1
115,TLS Mutual,35.14,1
116,TLS Mutual,271.79,1
117,TLS Mutual,269.94,1
118,TLS Mutual,36.45,1
119,TLS Mutual,1332.07,1
120,TLS Mutual,1120.19,1
121,TLS Mutual,37.22,1
122,TLS Mutual,273.63,1
123,TLS Mutual,1092.49,1
124,TLS Mutual,37.11,1
125,TLS Mutual,37.24,1
126,TLS Mutual,35.46,1
127,TLS Mutual,34.9,1
128,TLS Mutual,35.52,1
129,TLS Mutual,1101.02,1
130,TLS Mutual,35.46,1
131,TLS Mutual,35.23,1
132,TLS Mutual,35.98,1
133,TLS Mutual,264.04,1
134,TLS Mutual,478.93,1
