execution,mode,handshake_duration_ms,success
1,TLS Mutual,22.93,1
2,TLS Mutual,21.66,1
3,TLS Mutual,1070.96,1
4,TLS Mutual,259.56,1
5,TLS Mutual,1044.42,1
6,TLS Mutual,259.09,1
7,TLS Mutual,21.81,1
8,TLS Mutual,260.98,1
9,TLS Mutual,22.16,1
10,TLS Mutual,1093.71,1
11,TLS Mutual,23.66,1
12,TLS Mutual,22.64,1
13,TLS Mutual,20.86,1
14,TLS Mutual,1485.28,1
15,TLS Mutual,263.24,1
16,TLS Mutual,22.68,1
17,TLS Mutual,22.3,1
18,TLS Mutual,25.18,1
19,TLS Mutual,20.95,1
20,TLS Mutual,27.08,1
21,TLS Mutual,1109.87,1
22,TLS Mutual,22.02,1
23,TLS Mutual,22.15,1
24,TLS Mutual,22.24,1
25,TLS Mutual,1320.72,1
26,TLS Mutual,2141.13,1
27,TLS Mutual,22.61,1
28,TLS Mutual,20.97,1
29,TLS Mutual,21.26,1
30,TLS Mutual,21.88,1
31,TLS Mutual,21.15,1
32,TLS Mutual,20.9,1
33,TLS Mutual,1499.14,1
34,TLS Mutual,23.69,1
35,TLS Mutual,22.43,1
36,TLS Mutual,21.48,1
37,TLS Mutual,3152.42,1
38,TLS Mutual,259.27,1
39,TLS Mutual,261.39,1
40,TLS Mutual,22.14,1
41,TLS Mutual,21.11,1
42,TLS Mutual,20.94,1
43,TLS Mutual,20.92,1
44,TLS Mutual,2539.98,1
45,TLS Mutual,22.21,1
46,TLS Mutual,21.36,1
47,TLS Mutual,23.61,1
48,TLS Mutual,22.87,1
49,TLS Mutual,22.32,1
50,TLS Mutual,21.63,1
51,TLS Mutual,1071.19,1
52,TLS Mutual,1077.06,1
53,TLS Mutual,23.0,1
54,TLS Mutual,266.19,1
55,TLS Mutual,21.98,1
56,TLS Mutual,20.96,1
57,TLS Mutual,22.13,1
58,TLS Mutual,21.54,1
59,TLS Mutual,1481.98,1
60,TLS Mutual,1065.04,1
61,TLS Mutual,1078.56,1
62,TLS Mutual,27.17,1
63,TLS Mutual,21.68,1
64,TLS Mutual,20.88,1
65,TLS Mutual,24.35,1
66,TLS Mutual,21.26,1
67,TLS Mutual,3142.68,1
68,TLS Mutual,22.49,1
69,TLS Mutual,21.37,1
70,TLS Mutual,264.89,1
71,TLS Mutual,673.68,1
72,TLS Mutual,22.29,1
73,TLS Mutual,2108.38,1
74,TLS Mutual,23.15,1
75,TLS Mutual,22.5,1
76,TLS Mutual,1299.96,1
77,TLS Mutual,23.61,1
78,TLS Mutual,21.57,1
79,TLS Mutual,22.79,1
80,TLS Mutual,22.91,1
81,TLS Mutual,22.12,1
82,TLS Mutual,22.05,1
83,TLS Mutual,264.16,1
84,TLS Mutual,637.69,1
85,TLS Mutual,24.39,1
86,TLS Mutual,22.39,1
87,TLS Mutual,1901.62,1
88,TLS Mutual,847.58,1
89,TLS Mutual,23.31,1
90,TLS Mutual,26.04,1
91,TLS Mutual,1331.84,1
92,TLS Mutual,22.61,1
93,TLS Mutual,21.94,1
94,TLS Mutual,21.68,1
95,TLS Mutual,21.49,1
96,TLS Mutual,1236.59,1
97,TLS Mutual,22.92,1
98,TLS Mutual,1113.12,1
99,TLS Mutual,21.88,1
100,TLS Mutual,25.06,1
101,TLS Mutual,20.71,1
102,TLS Mutual,21.24,1
103,TLS Mutual,20.84,1
104,TLS Mutual,20.8,1
105,TLS Mutual,1086.91,1
106,TLS Mutual,22.05,1
107,TLS Mutual,259.86,1
108,TLS Mutual,22.1,1
109,TLS Mutual,1094.05,1
110,TLS Mutual,23.7,1
111,TLS Mutual,22.0,1
112,TLS Mutual,1094.01,1
113,TLS Mutual,258.37,1
114,TLS Mutual,26.63,1
115,TLS Mutual,21.59,1
116,TLS Mutual,20.85,1
117,TLS Mutual,21.32,1
118,TLS Mutual,258.64,1
119,TLS Mutual,1313.75,1
120,TLS Mutual,21.81,1
121,TLS Mutual,21.04,1
122,TLS Mutual,1064.68,1
123,TLS Mutual,22.92,1
124,TLS Mutual,1084.91,1
125,TLS Mutual,28.75,1
126,TLS Mutual,264.77,1
127,TLS Mutual,22.73,1
128,TLS Mutual,1068.8,1
129,TLS Mutual,2304.2,1
130,TLS Mutual,22.16,1
131,TLS Mutual,20.82,1
132,TLS Mutual,21.39,1
133,TLS Mutual,20.7,1
134,TLS Mutual,20.84,1
135,TLS Mutual,20.66,1
136,TLS Mutual,20.96,1
137,TLS Mutual,21.7,1
138,TLS Mutual,1046.57,1
139,TLS Mutual,1283.05,1
140,TLS Mutual,23.38,1
141,TLS Mutual,22.27,1
142,TLS Mutual,21.85,1
143,TLS Mutual,21.27,1
144,TLS Mutual,1082.06,1
145,TLS Mutual,21.63,1
146,TLS Mutual,21.02,1
147,TLS Mutual,1079.72,1
148,TLS Mutual,22.39,1
149,TLS Mutual,22.02,1
150,TLS Mutual,3120.17,1
151,TLS Mutual,22.4,1
152,TLS Mutual,22.24,1
153,TLS Mutual,21.24,1
154,TLS Mutual,442.87,1
155,TLS Mutual,1101.98,1
156,TLS Mutual,22.85,1
