execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,1320.32,1,3,4
2,TLS Mutual,74.98,1,3,4
3,TLS Mutual,73.7,1,3,4
4,TLS Mutual,74.06,1,3,4
5,TLS Mutual,13591.7,1,3,4
6,TLS Mutual,74.17,1,3,4
7,TLS Mutual,73.76,1,3,4
8,TLS Mutual,73.69,1,3,4
9,TLS Mutual,73.58,1,3,4
10,TLS Mutual,73.33,1,3,4
11,TLS Mutual,73.64,1,3,4
12,TLS Mutual,73.69,1,3,4
13,TLS Mutual,73.75,1,3,4
14,TLS Mutual,73.75,1,3,4
15,TLS Mutual,74.29,1,3,4
16,TLS Mutual,73.67,1,3,4
17,TLS Mutual,1531.22,1,3,4
18,TLS Mutual,297.97,1,3,4
19,TLS Mutual,1107.15,1,3,4
20,TLS Mutual,73.55,1,3,4
21,TLS Mutual,317.39,1,3,4
22,TLS Mutual,73.25,1,3,4
23,TLS Mutual,928.01,1,3,4
24,TLS Mutual,73.64,1,3,4
25,TLS Mutual,1536.93,1,3,4
26,TLS Mutual,74.66,1,3,4
27,TLS Mutual,298.14,1,3,4
28,TLS Mutual,73.45,1,3,4
29,TLS Mutual,73.58,1,3,4
30,TLS Mutual,1514.75,1,3,4
31,TLS Mutual,75.68,1,3,4
32,TLS Mutual,73.24,1,3,4
33,TLS Mutual,73.29,1,3,4
34,TLS Mutual,704.85,1,3,4
35,TLS Mutual,73.86,1,3,4
36,TLS Mutual,1554.44,1,3,4
37,TLS Mutual,74.01,1,3,4
38,TLS Mutual,77.21,1,3,4
39,TLS Mutual,1118.52,1,3,4
40,TLS Mutual,73.7,1,3,4
41,TLS Mutual,73.47,1,3,4
42,TLS Mutual,296.13,1,3,4
43,TLS Mutual,3388.24,1,3,4
44,TLS Mutual,1119.25,1,3,4
45,TLS Mutual,295.07,1,3,4
46,TLS Mutual,1131.25,1,3,4
47,TLS Mutual,73.86,1,3,4
48,TLS Mutual,73.47,1,3,4
49,TLS Mutual,77.48,1,3,4
50,TLS Mutual,73.43,1,3,4
51,TLS Mutual,73.38,1,3,4
52,TLS Mutual,73.59,1,3,4
53,TLS Mutual,74.17,1,3,4
54,TLS Mutual,77.98,1,3,4
55,TLS Mutual,73.56,1,3,4
56,TLS Mutual,1349.87,1,3,4
57,TLS Mutual,1116.79,1,3,4
58,TLS Mutual,1163.53,1,3,4
59,TLS Mutual,712.35,1,3,4
60,TLS Mutual,75.29,1,3,4
61,TLS Mutual,74.05,1,3,4
62,TLS Mutual,74.28,1,3,4
63,TLS Mutual,73.22,1,3,4
64,TLS Mutual,680.03,1,3,4
65,TLS Mutual,81.42,1,3,4
66,TLS Mutual,887.34,1,3,4
67,TLS Mutual,77.48,1,3,4
68,TLS Mutual,1085.29,1,3,4
69,TLS Mutual,322.39,1,3,4
70,TLS Mutual,73.66,1,3,4
71,TLS Mutual,73.6,1,3,4
72,TLS Mutual,73.59,1,3,4
73,TLS Mutual,73.69,1,3,4
74,TLS Mutual,293.81,1,3,4
75,TLS Mutual,283.53,1,3,4
76,TLS Mutual,321.8,1,3,4
77,TLS Mutual,75.1,1,3,4
78,TLS Mutual,321.75,1,3,4
79,TLS Mutual,1549.93,1,3,4
80,TLS Mutual,73.94,1,3,4
81,TLS Mutual,315.76,1,3,4
82,TLS Mutual,73.81,1,3,4
83,TLS Mutual,73.57,1,3,4
84,TLS Mutual,73.58,1,3,4
85,TLS Mutual,73.39,1,3,4
86,TLS Mutual,1363.44,1,3,4
87,TLS Mutual,75.25,1,3,4
88,TLS Mutual,698.23,1,3,4
89,TLS Mutual,74.22,1,3,4
90,TLS Mutual,1564.8,1,3,4
91,TLS Mutual,524.22,1,3,4
92,TLS Mutual,479.21,1,3,4
93,TLS Mutual,1088.69,1,3,4
94,TLS Mutual,1783.23,1,3,4
95,TLS Mutual,701.38,1,3,4
96,TLS Mutual,73.77,1,3,4
97,TLS Mutual,503.59,1,3,4
98,TLS Mutual,293.57,1,3,4
99,TLS Mutual,506.19,1,3,4
100,TLS Mutual,1350.59,1,3,4
101,TLS Mutual,73.94,1,3,4
102,TLS Mutual,73.91,1,3,4
103,TLS Mutual,73.37,1,3,4
104,TLS Mutual,320.12,1,3,4
105,TLS Mutual,74.1,1,3,4
106,TLS Mutual,74.05,1,3,4
107,TLS Mutual,73.36,1,3,4
108,TLS Mutual,73.8,1,3,4
109,TLS Mutual,683.58,1,3,4
110,TLS Mutual,75.23,1,3,4
111,TLS Mutual,1129.86,1,3,4
112,TLS Mutual,73.75,1,3,4
113,TLS Mutual,73.64,1,3,4
114,TLS Mutual,291.43,1,3,4
115,TLS Mutual,74.89,1,3,4
116,TLS Mutual,73.39,1,3,4
117,TLS Mutual,73.56,1,3,4
118,TLS Mutual,1096.31,1,3,4
119,TLS Mutual,74.07,1,3,4
120,TLS Mutual,74.36,1,3,4
121,TLS Mutual,480.1,1,3,4
122,TLS Mutual,80.08,1,3,4
123,TLS Mutual,1325.15,1,3,4
124,TLS Mutual,905.68,1,3,4
125,TLS Mutual,1158.44,1,3,4
