execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,86.63,1,1,4
2,TLS Mutual,82.19,1,1,4
3,TLS Mutual,82.9,1,1,4
4,TLS Mutual,510.1,1,1,4
5,TLS Mutual,306.56,1,1,4
6,TLS Mutual,1367.65,1,1,4
7,TLS Mutual,84.7,1,1,4
8,TLS Mutual,84.29,1,1,4
9,TLS Mutual,85.44,1,1,4
10,TLS Mutual,82.55,1,1,4
11,TLS Mutual,86.32,1,1,4
12,TLS Mutual,93.35,1,1,4
13,TLS Mutual,312.26,1,1,4
14,TLS Mutual,86.91,1,1,4
15,TLS Mutual,89.42,1,1,4
16,TLS Mutual,89.41,1,1,4
17,TLS Mutual,84.22,1,1,4
18,TLS Mutual,1346.6,1,1,4
19,TLS Mutual,86.31,1,1,4
20,TLS Mutual,83.47,1,1,4
21,TLS Mutual,3380.65,1,1,4
22,TLS Mutual,2429.44,1,1,4
23,TLS Mutual,297.39,1,1,4
24,TLS Mutual,95.42,1,1,4
25,TLS Mutual,3169.59,1,1,4
26,TLS Mutual,87.45,1,1,4
27,TLS Mutual,84.8,1,1,4
28,TLS Mutual,89.65,1,1,4
29,TLS Mutual,98.94,1,1,4
30,TLS Mutual,93.19,1,1,4
31,TLS Mutual,86.52,1,1,4
32,TLS Mutual,84.01,1,1,4
33,TLS Mutual,85.22,1,1,4
34,TLS Mutual,81.82,1,1,4
35,TLS Mutual,87.11,1,1,4
36,TLS Mutual,1149.5,1,1,4
37,TLS Mutual,84.37,1,1,4
38,TLS Mutual,1174.65,1,1,4
39,TLS Mutual,86.64,1,1,4
40,TLS Mutual,1148.42,1,1,4
41,TLS Mutual,84.69,1,1,4
42,TLS Mutual,298.42,1,1,4
43,TLS Mutual,85.89,1,1,4
44,TLS Mutual,301.88,1,1,4
45,TLS Mutual,294.41,1,1,4
46,TLS Mutual,85.52,1,1,4
47,TLS Mutual,1364.4,1,1,4
48,TLS Mutual,1839.9,1,1,4
49,TLS Mutual,1348.14,1,1,4
50,TLS Mutual,3243.53,1,1,4
51,TLS Mutual,323.82,1,1,4
52,TLS Mutual,1131.64,1,1,4
53,TLS Mutual,87.64,1,1,4
54,TLS Mutual,114.38,1,1,4
55,TLS Mutual,715.42,1,1,4
56,TLS Mutual,1990.58,1,1,4
57,TLS Mutual,95.64,1,1,4
58,TLS Mutual,90.0,1,1,4
59,TLS Mutual,299.59,1,1,4
60,TLS Mutual,91.5,1,1,4
61,TLS Mutual,293.05,1,1,4
62,TLS Mutual,1351.75,1,1,4
63,TLS Mutual,95.11,1,1,4
64,TLS Mutual,102.51,1,1,4
65,TLS Mutual,1585.22,1,1,4
66,TLS Mutual,94.98,1,1,4
67,TLS Mutual,287.41,1,1,4
68,TLS Mutual,283.4,1,1,4
69,TLS Mutual,93.9,1,1,4
70,TLS Mutual,1132.29,1,1,4
71,TLS Mutual,93.02,1,1,4
72,TLS Mutual,94.77,1,1,4
73,TLS Mutual,1161.58,1,1,4
74,TLS Mutual,107.53,1,1,4
75,TLS Mutual,1363.46,1,1,4
76,TLS Mutual,95.16,1,1,4
77,TLS Mutual,92.56,1,1,4
78,TLS Mutual,88.73,1,1,4
79,TLS Mutual,91.34,1,1,4
80,TLS Mutual,89.22,1,1,4
81,TLS Mutual,85.98,1,1,4
82,TLS Mutual,81.8,1,1,4
83,TLS Mutual,296.55,1,1,4
84,TLS Mutual,93.26,1,1,4
85,TLS Mutual,1140.2,1,1,4
86,TLS Mutual,1794.3,1,1,4
87,TLS Mutual,1368.22,1,1,4
88,TLS Mutual,296.75,1,1,4
89,TLS Mutual,1165.8,1,1,4
90,TLS Mutual,304.33,1,1,4
91,TLS Mutual,82.17,1,1,4
92,TLS Mutual,85.2,1,1,4
93,TLS Mutual,81.61,1,1,4
94,TLS Mutual,1173.46,1,1,4
95,TLS Mutual,1137.93,1,1,4
96,TLS Mutual,282.87,1,1,4
97,TLS Mutual,86.85,1,1,4
98,TLS Mutual,539.95,1,1,4
99,TLS Mutual,1345.32,1,1,4
100,TLS Mutual,2158.9,1,1,4
101,TLS Mutual,82.39,1,1,4
102,TLS Mutual,300.69,1,1,4
103,TLS Mutual,1826.95,1,1,4
104,TLS Mutual,79.82,1,1,4
105,TLS Mutual,294.81,1,1,4
106,TLS Mutual,115.03,1,1,4
107,TLS Mutual,1619.48,1,1,4
108,TLS Mutual,80.65,1,1,4
109,TLS Mutual,303.37,1,1,4
110,TLS Mutual,91.4,1,1,4
111,TLS Mutual,80.98,1,1,4
112,TLS Mutual,86.86,1,1,4
113,TLS Mutual,87.58,1,1,4
114,TLS Mutual,78.77,1,1,4
115,TLS Mutual,79.85,1,1,4
116,TLS Mutual,78.96,1,1,4
117,TLS Mutual,299.39,1,1,4
118,TLS Mutual,1390.01,1,1,4
119,TLS Mutual,916.52,1,1,4
120,TLS Mutual,300.2,1,1,4
121,TLS Mutual,100.86,1,1,4
122,TLS Mutual,294.83,1,1,4
123,TLS Mutual,84.17,1,1,4
124,TLS Mutual,79.28,1,1,4
125,TLS Mutual,2142.0,1,1,4
