execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,274.19,1,2,4
2,TLS Mutual,266.8,1,2,4
3,TLS Mutual,32.34,1,2,4
4,TLS Mutual,31.8,1,2,4
5,TLS Mutual,1911.23,1,2,4
6,TLS Mutual,1523.59,1,2,4
7,TLS Mutual,1086.22,1,2,4
8,TLS Mutual,34.27,1,2,4
9,TLS Mutual,268.08,1,2,4
10,TLS Mutual,454.02,1,2,4
11,TLS Mutual,1059.82,1,2,4
12,TLS Mutual,34.73,1,2,4
13,TLS Mutual,269.3,1,2,4
14,TLS Mutual,32.45,1,2,4
15,TLS Mutual,1106.21,1,2,4
16,TLS Mutual,265.3,1,2,4
17,TLS Mutual,271.65,1,2,4
18,TLS Mutual,268.87,1,2,4
19,TLS Mutual,31.79,1,2,4
20,TLS Mutual,31.88,1,2,4
21,TLS Mutual,31.57,1,2,4
22,TLS Mutual,31.5,1,2,4
23,TLS Mutual,1067.61,1,2,4
24,TLS Mutual,32.93,1,2,4
25,TLS Mutual,36.59,1,2,4
26,TLS Mutual,1889.22,1,2,4
27,TLS Mutual,1090.27,1,2,4
28,TLS Mutual,483.62,1,2,4
29,TLS Mutual,32.08,1,2,4
30,TLS Mutual,31.69,1,2,4
31,TLS Mutual,31.9,1,2,4
32,TLS Mutual,276.94,1,2,4
33,TLS Mutual,32.0,1,2,4
34,TLS Mutual,31.83,1,2,4
35,TLS Mutual,33.14,1,2,4
36,TLS Mutual,31.68,1,2,4
37,TLS Mutual,31.54,1,2,4
38,TLS Mutual,31.78,1,2,4
39,TLS Mutual,31.61,1,2,4
40,TLS Mutual,269.75,1,2,4
41,TLS Mutual,32.52,1,2,4
42,TLS Mutual,1051.8,1,2,4
43,TLS Mutual,33.76,1,2,4
44,TLS Mutual,32.47,1,2,4
45,TLS Mutual,271.44,1,2,4
46,TLS Mutual,270.6,1,2,4
47,TLS Mutual,32.44,1,2,4
48,TLS Mutual,32.16,1,2,4
49,TLS Mutual,1307.19,1,2,4
50,TLS Mutual,36.59,1,2,4
51,TLS Mutual,32.28,1,2,4
52,TLS Mutual,31.65,1,2,4
53,TLS Mutual,32.05,1,2,4
54,TLS Mutual,32.66,1,2,4
55,TLS Mutual,861.33,1,2,4
56,TLS Mutual,33.5,1,2,4
57,TLS Mutual,32.1,1,2,4
58,TLS Mutual,31.99,1,2,4
59,TLS Mutual,1257.47,1,2,4
60,TLS Mutual,34.65,1,2,4
61,TLS Mutual,32.37,1,2,4
62,TLS Mutual,32.63,1,2,4
63,TLS Mutual,246.43,1,2,4
64,TLS Mutual,278.55,1,2,4
65,TLS Mutual,32.08,1,2,4
66,TLS Mutual,32.04,1,2,4
67,TLS Mutual,269.58,1,2,4
68,TLS Mutual,31.89,1,2,4
69,TLS Mutual,32.03,1,2,4
70,TLS Mutual,32.2,1,2,4
71,TLS Mutual,31.58,1,2,4
72,TLS Mutual,31.53,1,2,4
73,TLS Mutual,272.18,1,2,4
74,TLS Mutual,479.36,1,2,4
75,TLS Mutual,36.52,1,2,4
76,TLS Mutual,32.17,1,2,4
77,TLS Mutual,32.48,1,2,4
78,TLS Mutual,31.52,1,2,4
79,TLS Mutual,32.03,1,2,4
80,TLS Mutual,474.93,1,2,4
81,TLS Mutual,33.62,1,2,4
82,TLS Mutual,32.09,1,2,4
83,TLS Mutual,1499.99,1,2,4
84,TLS Mutual,1504.96,1,2,4
85,TLS Mutual,31.78,1,2,4
86,TLS Mutual,275.51,1,2,4
87,TLS Mutual,35.52,1,2,4
88,TLS Mutual,1302.45,1,2,4
89,TLS Mutual,34.51,1,2,4
90,TLS Mutual,7219.08,1,2,4
91,TLS Mutual,33.22,1,2,4
92,TLS Mutual,31.79,1,2,4
93,TLS Mutual,1512.94,1,2,4
94,TLS Mutual,31.82,1,2,4
95,TLS Mutual,661.86,1,2,4
96,TLS Mutual,34.05,1,2,4
97,TLS Mutual,32.28,1,2,4
98,TLS Mutual,31.97,1,2,4
99,TLS Mutual,31.7,1,2,4
100,TLS Mutual,31.52,1,2,4
101,TLS Mutual,31.73,1,2,4
102,TLS Mutual,31.66,1,2,4
103,TLS Mutual,31.65,1,2,4
104,TLS Mutual,31.97,1,2,4
105,TLS Mutual,32.16,1,2,4
106,TLS Mutual,31.75,1,2,4
107,TLS Mutual,33.57,1,2,4
108,TLS Mutual,3098.53,1,2,4
109,TLS Mutual,1073.52,1,2,4
110,TLS Mutual,249.31,1,2,4
111,TLS Mutual,38.24,1,2,4
112,TLS Mutual,1288.32,1,2,4
113,TLS Mutual,34.58,1,2,4
114,TLS Mutual,32.0,1,2,4
115,TLS Mutual,31.9,1,2,4
116,TLS Mutual,31.89,1,2,4
117,TLS Mutual,31.92,1,2,4
118,TLS Mutual,31.43,1,2,4
119,TLS Mutual,32.22,1,2,4
120,TLS Mutual,31.98,1,2,4
121,TLS Mutual,32.06,1,2,4
122,TLS Mutual,1283.71,1,2,4
123,TLS Mutual,1127.56,1,2,4
124,TLS Mutual,2079.78,1,2,4
125,TLS Mutual,271.92,1,2,4
