execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,1103.79,1,4,4
2,TLS Mutual,1095.94,1,4,4
3,TLS Mutual,46.88,1,4,4
4,TLS Mutual,47.04,1,4,4
5,TLS Mutual,46.91,1,4,4
6,TLS Mutual,47.14,1,4,4
7,TLS Mutual,46.63,1,4,4
8,TLS Mutual,283.55,1,4,4
9,TLS Mutual,46.83,1,4,4
10,TLS Mutual,46.88,1,4,4
11,TLS Mutual,47.33,1,4,4
12,TLS Mutual,47.25,1,4,4
13,TLS Mutual,46.89,1,4,4
14,TLS Mutual,264.46,1,4,4
15,TLS Mutual,2774.09,1,4,4
16,TLS Mutual,467.35,1,4,4
17,TLS Mutual,1931.92,1,4,4
18,TLS Mutual,1298.79,1,4,4
19,TLS Mutual,286.17,1,4,4
20,TLS Mutual,281.03,1,4,4
21,TLS Mutual,47.31,1,4,4
22,TLS Mutual,1112.28,1,4,4
23,TLS Mutual,47.36,1,4,4
24,TLS Mutual,286.6,1,4,4
25,TLS Mutual,48.36,1,4,4
26,TLS Mutual,1486.65,1,4,4
27,TLS Mutual,48.3,1,4,4
28,TLS Mutual,47.05,1,4,4
29,TLS Mutual,1091.6,1,4,4
30,TLS Mutual,691.28,1,4,4
31,TLS Mutual,1280.92,1,4,4
32,TLS Mutual,1267.92,1,4,4
33,TLS Mutual,1063.55,1,4,4
34,TLS Mutual,284.45,1,4,4
35,TLS Mutual,494.1,1,4,4
36,TLS Mutual,47.26,1,4,4
37,TLS Mutual,1337.94,1,4,4
38,TLS Mutual,1104.24,1,4,4
39,TLS Mutual,47.7,1,4,4
40,TLS Mutual,47.44,1,4,4
41,TLS Mutual,47.21,1,4,4
42,TLS Mutual,47.36,1,4,4
43,TLS Mutual,469.78,1,4,4
44,TLS Mutual,47.44,1,4,4
45,TLS Mutual,47.16,1,4,4
46,TLS Mutual,3758.35,1,4,4
47,TLS Mutual,47.51,1,4,4
48,TLS Mutual,287.7,1,4,4
49,TLS Mutual,47.62,1,4,4
50,TLS Mutual,280.25,1,4,4
51,TLS Mutual,47.81,1,4,4
52,TLS Mutual,47.23,1,4,4
53,TLS Mutual,47.0,1,4,4
54,TLS Mutual,47.03,1,4,4
55,TLS Mutual,47.28,1,4,4
56,TLS Mutual,259.09,1,4,4
57,TLS Mutual,48.05,1,4,4
58,TLS Mutual,880.03,1,4,4
59,TLS Mutual,666.97,1,4,4
60,TLS Mutual,1346.4,1,4,4
61,TLS Mutual,1103.14,1,4,4
62,TLS Mutual,1069.07,1,4,4
63,TLS Mutual,51.62,1,4,4
64,TLS Mutual,48.64,1,4,4
65,TLS Mutual,46.84,1,4,4
66,TLS Mutual,283.37,1,4,4
67,TLS Mutual,491.75,1,4,4
68,TLS Mutual,47.47,1,4,4
69,TLS Mutual,282.68,1,4,4
70,TLS Mutual,47.08,1,4,4
71,TLS Mutual,47.36,1,4,4
72,TLS Mutual,2129.7,1,4,4
73,TLS Mutual,48.8,1,4,4
74,TLS Mutual,47.01,1,4,4
75,TLS Mutual,46.81,1,4,4
76,TLS Mutual,47.13,1,4,4
77,TLS Mutual,288.28,1,4,4
78,TLS Mutual,467.49,1,4,4
79,TLS Mutual,47.88,1,4,4
80,TLS Mutual,47.62,1,4,4
81,TLS Mutual,46.78,1,4,4
82,TLS Mutual,48.01,1,4,4
83,TLS Mutual,46.98,1,4,4
84,TLS Mutual,283.33,1,4,4
85,TLS Mutual,47.81,1,4,4
86,TLS Mutual,46.87,1,4,4
87,TLS Mutual,290.41,1,4,4
88,TLS Mutual,47.3,1,4,4
89,TLS Mutual,46.72,1,4,4
90,TLS Mutual,46.91,1,4,4
91,TLS Mutual,283.77,1,4,4
92,TLS Mutual,47.31,1,4,4
93,TLS Mutual,1746.95,1,4,4
94,TLS Mutual,47.39,1,4,4
95,TLS Mutual,47.03,1,4,4
96,TLS Mutual,46.99,1,4,4
97,TLS Mutual,46.91,1,4,4
98,TLS Mutual,47.04,1,4,4
99,TLS Mutual,290.54,1,4,4
100,TLS Mutual,46.75,1,4,4
101,TLS Mutual,47.05,1,4,4
102,TLS Mutual,287.31,1,4,4
103,TLS Mutual,47.12,1,4,4
104,TLS Mutual,287.11,1,4,4
105,TLS Mutual,1097.67,1,4,4
106,TLS Mutual,495.35,1,4,4
107,TLS Mutual,47.28,1,4,4
108,TLS Mutual,46.88,1,4,4
109,TLS Mutual,1318.89,1,4,4
110,TLS Mutual,51.89,1,4,4
111,TLS Mutual,46.91,1,4,4
112,TLS Mutual,280.63,1,4,4
113,TLS Mutual,47.61,1,4,4
114,TLS Mutual,47.12,1,4,4
115,TLS Mutual,47.08,1,4,4
116,TLS Mutual,471.99,1,4,4
117,TLS Mutual,47.89,1,4,4
118,TLS Mutual,290.84,1,4,4
119,TLS Mutual,46.9,1,4,4
120,TLS Mutual,471.88,1,4,4
121,TLS Mutual,47.49,1,4,4
122,TLS Mutual,47.36,1,4,4
123,TLS Mutual,1113.4,1,4,4
124,TLS Mutual,47.16,1,4,4
125,TLS Mutual,47.13,1,4,4
