execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,53.89,1,3,4
2,TLS Mutual,2318.78,1,3,4
3,TLS Mutual,52.17,1,3,4
4,TLS Mutual,51.55,1,3,4
5,TLS Mutual,53.22,1,3,4
6,TLS Mutual,50.55,1,3,4
7,TLS Mutual,50.83,1,3,4
8,TLS Mutual,470.4,1,3,4
9,TLS Mutual,54.03,1,3,4
10,TLS Mutual,51.14,1,3,4
11,TLS Mutual,1736.02,1,3,4
12,TLS Mutual,51.68,1,3,4
13,TLS Mutual,1129.7,1,3,4
14,TLS Mutual,52.01,1,3,4
15,TLS Mutual,50.68,1,3,4
16,TLS Mutual,283.39,1,3,4
17,TLS Mutual,52.48,1,3,4
18,TLS Mutual,1108.52,1,3,4
19,TLS Mutual,52.28,1,3,4
20,TLS Mutual,51.19,1,3,4
21,TLS Mutual,50.66,1,3,4
22,TLS Mutual,50.74,1,3,4
23,TLS Mutual,1099.87,1,3,4
24,TLS Mutual,53.59,1,3,4
25,TLS Mutual,1111.54,1,3,4
26,TLS Mutual,1096.18,1,3,4
27,TLS Mutual,1347.33,1,3,4
28,TLS Mutual,287.51,1,3,4
29,TLS Mutual,1523.71,1,3,4
30,TLS Mutual,1541.5,1,3,4
31,TLS Mutual,51.11,1,3,4
32,TLS Mutual,51.23,1,3,4
33,TLS Mutual,286.99,1,3,4
34,TLS Mutual,1068.58,1,3,4
35,TLS Mutual,52.84,1,3,4
36,TLS Mutual,50.88,1,3,4
37,TLS Mutual,2302.64,1,3,4
38,TLS Mutual,494.98,1,3,4
39,TLS Mutual,51.68,1,3,4
40,TLS Mutual,1477.12,1,3,4
41,TLS Mutual,52.77,1,3,4
42,TLS Mutual,50.57,1,3,4
43,TLS Mutual,876.4,1,3,4
44,TLS Mutual,57.95,1,3,4
45,TLS Mutual,51.83,1,3,4
46,TLS Mutual,51.81,1,3,4
47,TLS Mutual,50.49,1,3,4
48,TLS Mutual,50.88,1,3,4
49,TLS Mutual,1324.12,1,3,4
50,TLS Mutual,52.85,1,3,4
51,TLS Mutual,880.45,1,3,4
52,TLS Mutual,52.61,1,3,4
53,TLS Mutual,50.39,1,3,4
54,TLS Mutual,50.97,1,3,4
55,TLS Mutual,51.68,1,3,4
56,TLS Mutual,2507.42,1,3,4
57,TLS Mutual,285.78,1,3,4
58,TLS Mutual,60.67,1,3,4
59,TLS Mutual,53.12,1,3,4
60,TLS Mutual,291.16,1,3,4
61,TLS Mutual,53.41,1,3,4
62,TLS Mutual,51.66,1,3,4
63,TLS Mutual,281.6,1,3,4
64,TLS Mutual,51.91,1,3,4
65,TLS Mutual,50.85,1,3,4
66,TLS Mutual,52.46,1,3,4
67,TLS Mutual,51.48,1,3,4
68,TLS Mutual,884.62,1,3,4
69,TLS Mutual,1105.42,1,3,4
70,TLS Mutual,288.35,1,3,4
71,TLS Mutual,286.96,1,3,4
72,TLS Mutual,50.73,1,3,4
73,TLS Mutual,284.28,1,3,4
74,TLS Mutual,52.39,1,3,4
75,TLS Mutual,691.37,1,3,4
76,TLS Mutual,285.96,1,3,4
77,TLS Mutual,53.98,1,3,4
78,TLS Mutual,50.89,1,3,4
79,TLS Mutual,1096.33,1,3,4
80,TLS Mutual,52.38,1,3,4
81,TLS Mutual,51.73,1,3,4
82,TLS Mutual,1691.4,1,3,4
83,TLS Mutual,1722.66,1,3,4
84,TLS Mutual,51.71,1,3,4
85,TLS Mutual,50.81,1,3,4
86,TLS Mutual,1102.68,1,3,4
87,TLS Mutual,51.6,1,3,4
88,TLS Mutual,51.28,1,3,4
89,TLS Mutual,2328.91,1,3,4
90,TLS Mutual,51.42,1,3,4
91,TLS Mutual,1127.62,1,3,4
92,TLS Mutual,50.97,1,3,4
93,TLS Mutual,1124.55,1,3,4
94,TLS Mutual,51.38,1,3,4
95,TLS Mutual,1067.74,1,3,4
96,TLS Mutual,52.7,1,3,4
97,TLS Mutual,1080.46,1,3,4
98,TLS Mutual,53.38,1,3,4
99,TLS Mutual,1909.71,1,3,4
100,TLS Mutual,51.67,1,3,4
101,TLS Mutual,1087.81,1,3,4
102,TLS Mutual,51.87,1,3,4
103,TLS Mutual,52.13,1,3,4
104,TLS Mutual,53.68,1,3,4
105,TLS Mutual,267.12,1,3,4
106,TLS Mutual,52.69,1,3,4
107,TLS Mutual,291.59,1,3,4
108,TLS Mutual,51.84,1,3,4
109,TLS Mutual,51.46,1,3,4
110,TLS Mutual,51.16,1,3,4
111,TLS Mutual,50.73,1,3,4
112,TLS Mutual,50.65,1,3,4
113,TLS Mutual,52.1,1,3,4
114,TLS Mutual,913.06,1,3,4
115,TLS Mutual,50.82,1,3,4
116,TLS Mutual,50.98,1,3,4
117,TLS Mutual,881.56,1,3,4
118,TLS Mutual,57.64,1,3,4
119,TLS Mutual,52.83,1,3,4
120,TLS Mutual,51.17,1,3,4
121,TLS Mutual,676.85,1,3,4
122,TLS Mutual,54.35,1,3,4
123,TLS Mutual,1112.35,1,3,4
124,TLS Mutual,52.4,1,3,4
125,TLS Mutual,50.85,1,3,4
