execution,mode,handshake_duration_ms,success
1,TLS Mutual,51.48,1
2,TLS Mutual,254.32,1
3,TLS Mutual,69.54,1
4,TLS Mutual,50.95,1
5,TLS Mutual,253.24,1
6,TLS Mutual,702.03,1
7,TLS Mutual,49.92,1
8,TLS Mutual,49.4,1
9,TLS Mutual,48.87,1
10,TLS Mutual,48.9,1
11,TLS Mutual,49.15,1
12,TLS Mutual,49.59,1
13,TLS Mutual,1309.67,1
14,TLS Mutual,55.27,1
15,TLS Mutual,1561.74,1
16,TLS Mutual,288.93,1
17,TLS Mutual,256.54,1
18,TLS Mutual,289.62,1
19,TLS Mutual,49.82,1
20,TLS Mutual,49.42,1
21,TLS Mutual,50.04,1
22,TLS Mutual,253.91,1
23,TLS Mutual,703.74,1
24,TLS Mutual,49.3,1
25,TLS Mutual,49.51,1
26,TLS Mutual,49.27,1
27,TLS Mutual,49.07,1
28,TLS Mutual,49.17,1
29,TLS Mutual,50.76,1
30,TLS Mutual,50.44,1
31,TLS Mutual,49.46,1
32,TLS Mutual,1679.72,1
33,TLS Mutual,252.71,1
34,TLS Mutual,67.25,1
35,TLS Mutual,48.93,1
36,TLS Mutual,49.13,1
37,TLS Mutual,250.25,1
38,TLS Mutual,60.35,1
39,TLS Mutual,1689.06,1
40,TLS Mutual,503.73,1
41,TLS Mutual,1114.74,1
42,TLS Mutual,1077.18,1
43,TLS Mutual,49.33,1
44,TLS Mutual,49.65,1
45,TLS Mutual,49.61,1
46,TLS Mutual,49.59,1
47,TLS Mutual,48.97,1
48,TLS Mutual,1116.88,1
49,TLS Mutual,1140.94,1
50,TLS Mutual,279.8,1
51,TLS Mutual,55.23,1
52,TLS Mutual,52.93,1
53,TLS Mutual,49.81,1
54,TLS Mutual,697.93,1
55,TLS Mutual,296.1,1
56,TLS Mutual,1116.62,1
57,TLS Mutual,49.88,1
58,TLS Mutual,51.01,1
59,TLS Mutual,49.41,1
60,TLS Mutual,1076.54,1
61,TLS Mutual,48.97,1
62,TLS Mutual,1099.99,1
63,TLS Mutual,48.94,1
64,TLS Mutual,49.71,1
65,TLS Mutual,49.53,1
66,TLS Mutual,49.44,1
67,TLS Mutual,51.01,1
68,TLS Mutual,462.54,1
69,TLS Mutual,54.78,1
70,TLS Mutual,48.97,1
71,TLS Mutual,1927.62,1
72,TLS Mutual,55.13,1
73,TLS Mutual,51.07,1
74,TLS Mutual,48.97,1
75,TLS Mutual,1083.5,1
76,TLS Mutual,51.52,1
77,TLS Mutual,49.51,1
78,TLS Mutual,49.14,1
79,TLS Mutual,465.02,1
80,TLS Mutual,1323.55,1
81,TLS Mutual,1543.95,1
82,TLS Mutual,51.27,1
