execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,13.64,1,1,4
2,TLS Mutual,1047.68,1,1,4
3,TLS Mutual,10.22,1,1,4
4,TLS Mutual,13.52,1,1,4
5,TLS Mutual,10.79,1,1,4
6,TLS Mutual,14.83,1,1,4
7,TLS Mutual,1451.26,1,1,4
8,TLS Mutual,10.64,1,1,4
9,TLS Mutual,13.61,1,1,4
10,TLS Mutual,10.18,1,1,4
11,TLS Mutual,10.33,1,1,4
12,TLS Mutual,10.77,1,1,4
13,TLS Mutual,1053.17,1,1,4
14,TLS Mutual,1086.87,1,1,4
15,TLS Mutual,9.85,1,1,4
16,TLS Mutual,635.56,1,1,4
17,TLS Mutual,10.52,1,1,4
18,TLS Mutual,9.67,1,1,4
19,TLS Mutual,1241.36,1,1,4
20,TLS Mutual,235.28,1,1,4
21,TLS Mutual,16.61,1,1,4
22,TLS Mutual,11.41,1,1,4
23,TLS Mutual,13.55,1,1,4
24,TLS Mutual,9.69,1,1,4
25,TLS Mutual,9.66,1,1,4
26,TLS Mutual,9.6,1,1,4
27,TLS Mutual,12.97,1,1,4
28,TLS Mutual,12.81,1,1,4
29,TLS Mutual,9.49,1,1,4
30,TLS Mutual,9.26,1,1,4
31,TLS Mutual,1019.3,1,1,4
32,TLS Mutual,9.92,1,1,4
33,TLS Mutual,10.19,1,1,4
34,TLS Mutual,9.47,1,1,4
35,TLS Mutual,13.56,1,1,4
36,TLS Mutual,1048.2,1,1,4
37,TLS Mutual,16.12,1,1,4
38,TLS Mutual,1493.91,1,1,4
39,TLS Mutual,10.13,1,1,4
40,TLS Mutual,1035.06,1,1,4
41,TLS Mutual,1080.42,1,1,4
42,TLS Mutual,10.96,1,1,4
43,TLS Mutual,10.33,1,1,4
44,TLS Mutual,9.57,1,1,4
45,TLS Mutual,9.88,1,1,4
46,TLS Mutual,9.93,1,1,4
47,TLS Mutual,9.39,1,1,4
48,TLS Mutual,9.69,1,1,4
49,TLS Mutual,14.96,1,1,4
50,TLS Mutual,9.9,1,1,4
51,TLS Mutual,1067.9,1,1,4
52,TLS Mutual,10.64,1,1,4
53,TLS Mutual,243.2,1,1,4
54,TLS Mutual,11.51,1,1,4
55,TLS Mutual,10.17,1,1,4
56,TLS Mutual,9.98,1,1,4
57,TLS Mutual,10.84,1,1,4
58,TLS Mutual,3170.32,1,1,4
59,TLS Mutual,14.95,1,1,4
60,TLS Mutual,13.17,1,1,4
61,TLS Mutual,13.85,1,1,4
62,TLS Mutual,9.84,1,1,4
63,TLS Mutual,1021.28,1,1,4
64,TLS Mutual,17.2,1,1,4
65,TLS Mutual,10.33,1,1,4
66,TLS Mutual,9.83,1,1,4
67,TLS Mutual,9.67,1,1,4
68,TLS Mutual,3150.53,1,1,4
69,TLS Mutual,10.51,1,1,4
70,TLS Mutual,10.16,1,1,4
71,TLS Mutual,9.84,1,1,4
72,TLS Mutual,1275.84,1,1,4
73,TLS Mutual,10.78,1,1,4
74,TLS Mutual,1450.31,1,1,4
75,TLS Mutual,12.16,1,1,4
76,TLS Mutual,236.7,1,1,4
77,TLS Mutual,11.29,1,1,4
78,TLS Mutual,11.29,1,1,4
79,TLS Mutual,10.81,1,1,4
80,TLS Mutual,10.02,1,1,4
81,TLS Mutual,9.86,1,1,4
82,TLS Mutual,1061.51,1,1,4
83,TLS Mutual,1009.28,1,1,4
84,TLS Mutual,239.01,1,1,4
85,TLS Mutual,10.31,1,1,4
86,TLS Mutual,9.9,1,1,4
87,TLS Mutual,10.38,1,1,4
88,TLS Mutual,9.78,1,1,4
89,TLS Mutual,9.76,1,1,4
90,TLS Mutual,11.08,1,1,4
91,TLS Mutual,9.85,1,1,4
92,TLS Mutual,1268.19,1,1,4
93,TLS Mutual,14.29,1,1,4
94,TLS Mutual,11.58,1,1,4
95,TLS Mutual,13.59,1,1,4
96,TLS Mutual,10.1,1,1,4
97,TLS Mutual,9.67,1,1,4
98,TLS Mutual,10.45,1,1,4
99,TLS Mutual,9.56,1,1,4
100,TLS Mutual,9.71,1,1,4
101,TLS Mutual,1064.3,1,1,4
102,TLS Mutual,10.04,1,1,4
103,TLS Mutual,10.96,1,1,4
104,TLS Mutual,10.7,1,1,4
105,TLS Mutual,1064.2,1,1,4
106,TLS Mutual,9.95,1,1,4
107,TLS Mutual,237.54,1,1,4
108,TLS Mutual,2058.28,1,1,4
109,TLS Mutual,10.03,1,1,4
110,TLS Mutual,9.75,1,1,4
111,TLS Mutual,13.68,1,1,4
112,TLS Mutual,2709.96,1,1,4
113,TLS Mutual,14.99,1,1,4
114,TLS Mutual,10.11,1,1,4
115,TLS Mutual,10.08,1,1,4
116,TLS Mutual,9.89,1,1,4
117,TLS Mutual,236.12,1,1,4
118,TLS Mutual,10.09,1,1,4
119,TLS Mutual,9.45,1,1,4
120,TLS Mutual,10.45,1,1,4
121,TLS Mutual,9.63,1,1,4
122,TLS Mutual,9.66,1,1,4
123,TLS Mutual,2073.57,1,1,4
124,TLS Mutual,1074.23,1,1,4
125,TLS Mutual,1089.49,1,1,4
