execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,13.36,1,2,4
2,TLS Mutual,238.83,1,2,4
3,TLS Mutual,8.73,1,2,4
4,TLS Mutual,238.29,1,2,4
5,TLS Mutual,8.79,1,2,4
6,TLS Mutual,1048.45,1,2,4
7,TLS Mutual,10.39,1,2,4
8,TLS Mutual,8.66,1,2,4
9,TLS Mutual,8.36,1,2,4
10,TLS Mutual,8.36,1,2,4
11,TLS Mutual,1469.03,1,2,4
12,TLS Mutual,14.9,1,2,4
13,TLS Mutual,9.33,1,2,4
14,TLS Mutual,8.73,1,2,4
15,TLS Mutual,1856.06,1,2,4
16,TLS Mutual,239.94,1,2,4
17,TLS Mutual,8.92,1,2,4
18,TLS Mutual,8.85,1,2,4
19,TLS Mutual,8.59,1,2,4
20,TLS Mutual,232.73,1,2,4
21,TLS Mutual,629.83,1,2,4
22,TLS Mutual,9.93,1,2,4
23,TLS Mutual,8.72,1,2,4
24,TLS Mutual,8.51,1,2,4
25,TLS Mutual,8.96,1,2,4
26,TLS Mutual,8.36,1,2,4
27,TLS Mutual,8.24,1,2,4
28,TLS Mutual,8.22,1,2,4
29,TLS Mutual,434.4,1,2,4
30,TLS Mutual,9.36,1,2,4
31,TLS Mutual,9.03,1,2,4
32,TLS Mutual,8.6,1,2,4
33,TLS Mutual,12.14,1,2,4
34,TLS Mutual,8.83,1,2,4
35,TLS Mutual,8.56,1,2,4
36,TLS Mutual,1274.43,1,2,4
37,TLS Mutual,10.4,1,2,4
38,TLS Mutual,1036.96,1,2,4
39,TLS Mutual,1089.06,1,2,4
40,TLS Mutual,13.07,1,2,4
41,TLS Mutual,8.62,1,2,4
42,TLS Mutual,232.22,1,2,4
43,TLS Mutual,8.98,1,2,4
44,TLS Mutual,8.56,1,2,4
45,TLS Mutual,8.76,1,2,4
46,TLS Mutual,1019.56,1,2,4
47,TLS Mutual,9.72,1,2,4
48,TLS Mutual,237.8,1,2,4
49,TLS Mutual,8.68,1,2,4
50,TLS Mutual,8.75,1,2,4
51,TLS Mutual,1281.25,1,2,4
52,TLS Mutual,9.97,1,2,4
53,TLS Mutual,11.96,1,2,4
54,TLS Mutual,8.55,1,2,4
55,TLS Mutual,8.74,1,2,4
56,TLS Mutual,8.29,1,2,4
57,TLS Mutual,8.12,1,2,4
58,TLS Mutual,8.14,1,2,4
59,TLS Mutual,8.24,1,2,4
60,TLS Mutual,8.03,1,2,4
61,TLS Mutual,1069.85,1,2,4
62,TLS Mutual,235.43,1,2,4
63,TLS Mutual,9.17,1,2,4
64,TLS Mutual,8.55,1,2,4
65,TLS Mutual,8.3,1,2,4
66,TLS Mutual,1486.96,1,2,4
67,TLS Mutual,1486.08,1,2,4
68,TLS Mutual,9.42,1,2,4
69,TLS Mutual,231.43,1,2,4
70,TLS Mutual,238.35,1,2,4
71,TLS Mutual,629.95,1,2,4
72,TLS Mutual,9.22,1,2,4
73,TLS Mutual,12.72,1,2,4
74,TLS Mutual,8.81,1,2,4
75,TLS Mutual,8.65,1,2,4
76,TLS Mutual,8.26,1,2,4
77,TLS Mutual,8.27,1,2,4
78,TLS Mutual,8.27,1,2,4
79,TLS Mutual,8.33,1,2,4
80,TLS Mutual,8.44,1,2,4
81,TLS Mutual,11.92,1,2,4
82,TLS Mutual,1043.81,1,2,4
83,TLS Mutual,14.21,1,2,4
84,TLS Mutual,8.67,1,2,4
85,TLS Mutual,8.44,1,2,4
86,TLS Mutual,8.48,1,2,4
87,TLS Mutual,238.64,1,2,4
88,TLS Mutual,1054.71,1,2,4
89,TLS Mutual,8.84,1,2,4
90,TLS Mutual,9.14,1,2,4
91,TLS Mutual,8.87,1,2,4
92,TLS Mutual,8.42,1,2,4
93,TLS Mutual,1273.11,1,2,4
94,TLS Mutual,9.35,1,2,4
95,TLS Mutual,8.96,1,2,4
96,TLS Mutual,12.5,1,2,4
97,TLS Mutual,8.79,1,2,4
98,TLS Mutual,8.41,1,2,4
99,TLS Mutual,7.96,1,2,4
100,TLS Mutual,9.5,1,2,4
101,TLS Mutual,8.84,1,2,4
102,TLS Mutual,8.8,1,2,4
103,TLS Mutual,8.31,1,2,4
104,TLS Mutual,8.54,1,2,4
105,TLS Mutual,7.91,1,2,4
106,TLS Mutual,8.55,1,2,4
107,TLS Mutual,8.21,1,2,4
108,TLS Mutual,8.02,1,2,4
109,TLS Mutual,233.88,1,2,4
110,TLS Mutual,8.86,1,2,4
111,TLS Mutual,233.48,1,2,4
112,TLS Mutual,1250.29,1,2,4
113,TLS Mutual,9.81,1,2,4
114,TLS Mutual,8.91,1,2,4
115,TLS Mutual,8.68,1,2,4
116,TLS Mutual,1063.12,1,2,4
117,TLS Mutual,10.03,1,2,4
118,TLS Mutual,8.67,1,2,4
119,TLS Mutual,8.43,1,2,4
120,TLS Mutual,11.9,1,2,4
121,TLS Mutual,1049.35,1,2,4
122,TLS Mutual,9.0,1,2,4
123,TLS Mutual,9.15,1,2,4
124,TLS Mutual,8.52,1,2,4
125,TLS Mutual,1282.08,1,2,4
