execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,1139.66,1,4,4
2,TLS Mutual,333.74,1,4,4
3,TLS Mutual,95.95,1,4,4
4,TLS Mutual,91.31,1,4,4
5,TLS Mutual,1126.02,1,4,4
6,TLS Mutual,90.89,1,4,4
7,TLS Mutual,280.51,1,4,4
8,TLS Mutual,1375.91,1,4,4
9,TLS Mutual,1772.89,1,4,4
10,TLS Mutual,91.35,1,4,4
11,TLS Mutual,335.94,1,4,4
12,TLS Mutual,280.26,1,4,4
13,TLS Mutual,101.04,1,4,4
14,TLS Mutual,724.52,1,4,4
15,TLS Mutual,93.62,1,4,4
16,TLS Mutual,265.29,1,4,4
17,TLS Mutual,97.29,1,4,4
18,TLS Mutual,100.21,1,4,4
19,TLS Mutual,95.15,1,4,4
20,TLS Mutual,91.32,1,4,4
21,TLS Mutual,1113.51,1,4,4
22,TLS Mutual,92.65,1,4,4
23,TLS Mutual,93.71,1,4,4
24,TLS Mutual,1337.74,1,4,4
25,TLS Mutual,94.16,1,4,4
26,TLS Mutual,1124.27,1,4,4
27,TLS Mutual,93.23,1,4,4
28,TLS Mutual,1106.37,1,4,4
29,TLS Mutual,91.4,1,4,4
30,TLS Mutual,91.51,1,4,4
31,TLS Mutual,1350.37,1,4,4
32,TLS Mutual,94.37,1,4,4
33,TLS Mutual,334.25,1,4,4
34,TLS Mutual,92.12,1,4,4
35,TLS Mutual,92.17,1,4,4
36,TLS Mutual,91.46,1,4,4
37,TLS Mutual,1110.31,1,4,4
38,TLS Mutual,91.92,1,4,4
39,TLS Mutual,91.56,1,4,4
40,TLS Mutual,330.99,1,4,4
41,TLS Mutual,92.67,1,4,4
42,TLS Mutual,91.66,1,4,4
43,TLS Mutual,281.17,1,4,4
44,TLS Mutual,97.67,1,4,4
45,TLS Mutual,95.18,1,4,4
46,TLS Mutual,91.58,1,4,4
47,TLS Mutual,93.66,1,4,4
48,TLS Mutual,91.71,1,4,4
49,TLS Mutual,280.28,1,4,4
50,TLS Mutual,97.21,1,4,4
51,TLS Mutual,92.25,1,4,4
52,TLS Mutual,1538.45,1,4,4
53,TLS Mutual,96.48,1,4,4
54,TLS Mutual,1152.48,1,4,4
55,TLS Mutual,1119.91,1,4,4
56,TLS Mutual,94.29,1,4,4
57,TLS Mutual,279.58,1,4,4
58,TLS Mutual,1952.81,1,4,4
59,TLS Mutual,100.96,1,4,4
60,TLS Mutual,91.84,1,4,4
61,TLS Mutual,90.89,1,4,4
62,TLS Mutual,4487.75,1,4,4
63,TLS Mutual,1737.49,1,4,4
64,TLS Mutual,320.59,1,4,4
65,TLS Mutual,92.37,1,4,4
66,TLS Mutual,91.73,1,4,4
67,TLS Mutual,1122.61,1,4,4
68,TLS Mutual,1137.89,1,4,4
69,TLS Mutual,91.48,1,4,4
70,TLS Mutual,91.11,1,4,4
71,TLS Mutual,91.02,1,4,4
72,TLS Mutual,326.03,1,4,4
73,TLS Mutual,94.12,1,4,4
74,TLS Mutual,91.82,1,4,4
75,TLS Mutual,91.48,1,4,4
76,TLS Mutual,335.62,1,4,4
77,TLS Mutual,1585.87,1,4,4
78,TLS Mutual,287.24,1,4,4
79,TLS Mutual,4622.65,1,4,4
80,TLS Mutual,92.5,1,4,4
81,TLS Mutual,91.08,1,4,4
82,TLS Mutual,92.29,1,4,4
83,TLS Mutual,2624.98,1,4,4
84,TLS Mutual,332.82,1,4,4
85,TLS Mutual,91.9,1,4,4
86,TLS Mutual,91.12,1,4,4
87,TLS Mutual,5306.5,1,4,4
88,TLS Mutual,91.22,1,4,4
89,TLS Mutual,91.85,1,4,4
90,TLS Mutual,1168.82,1,4,4
91,TLS Mutual,93.6,1,4,4
92,TLS Mutual,3242.14,1,4,4
93,TLS Mutual,91.9,1,4,4
94,TLS Mutual,1523.47,1,4,4
95,TLS Mutual,93.21,1,4,4
96,TLS Mutual,91.15,1,4,4
97,TLS Mutual,716.42,1,4,4
98,TLS Mutual,522.71,1,4,4
99,TLS Mutual,94.04,1,4,4
100,TLS Mutual,287.6,1,4,4
101,TLS Mutual,99.02,1,4,4
102,TLS Mutual,1996.6,1,4,4
103,TLS Mutual,285.41,1,4,4
104,TLS Mutual,96.3,1,4,4
105,TLS Mutual,1188.12,1,4,4
106,TLS Mutual,93.18,1,4,4
107,TLS Mutual,92.16,1,4,4
108,TLS Mutual,284.54,1,4,4
109,TLS Mutual,1193.16,1,4,4
110,TLS Mutual,278.36,1,4,4
111,TLS Mutual,337.06,1,4,4
112,TLS Mutual,95.73,1,4,4
113,TLS Mutual,333.61,1,4,4
114,TLS Mutual,515.83,1,4,4
115,TLS Mutual,1153.41,1,4,4
116,TLS Mutual,277.26,1,4,4
117,TLS Mutual,94.71,1,4,4
118,TLS Mutual,1120.18,1,4,4
119,TLS Mutual,92.12,1,4,4
120,TLS Mutual,1163.79,1,4,4
121,TLS Mutual,91.13,1,4,4
122,TLS Mutual,721.54,1,4,4
123,TLS Mutual,94.64,1,4,4
124,TLS Mutual,90.79,1,4,4
125,TLS Mutual,93.79,1,4,4
