security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,1069.716,2235.055,-52.1
L1,ed25519,hqc128,pq_pur,2874.176,2235.055,28.6
L1,ed25519,mlkem512,pq_pur,1566.668,2235.055,-29.9
L1,ed25519,p256_hqc128,hybride,3139.15,2235.055,40.5
L1,ed25519,p256_mlkem512,hybride,1659.07,2235.055,-25.8
L1,ed25519,x25519_hqc128,hybride,2964.211,2235.055,32.6
L1,ed25519,x25519_mlkem512,hybride,1494.638,2235.055,-33.1
L1,ed25519,x25519,classique,1435.376,2235.055,-35.8
L1,mldsa44,P-256,classique,3087.558,2235.055,38.1
L1,mldsa44,hqc128,pq_pur,4197.801,2235.055,87.8
L1,mldsa44,mlkem512,pq_pur,3331.918,2235.055,49.1
L1,mldsa44,p256_hqc128,hybride,3996.016,2235.055,78.8
L1,mldsa44,p256_mlkem512,hybride,4141.668,2235.055,85.3
L1,mldsa44,x25519_hqc128,hybride,4642.262,2235.055,107.7
L1,mldsa44,x25519_mlkem512,hybride,2997.358,2235.055,34.1
L1,mldsa44,x25519,classique,3347.571,2235.055,49.8
L3,mldsa65,P-384,classique,3273.394,2345.866,39.5
L3,mldsa65,hqc192,pq_pur,5913.03,2345.866,152.1
L3,mldsa65,mlkem768,pq_pur,4430.256,2345.866,88.9
L3,mldsa65,p384_hqc192,hybride,6360.527,2345.866,171.1
L3,mldsa65,p384_mlkem768,hybride,4322.472,2345.866,84.3
L3,mldsa65,x448_hqc192,hybride,8650.944,2345.866,268.8
L3,mldsa65,x448_mlkem768,hybride,3814.303,2345.866,62.6
L3,mldsa65,x448,classique,3612.152,2345.866,54.0
L5,mldsa87,P-521,classique,4565.244,2984.825,52.9
L5,mldsa87,hqc256,pq_pur,8111.959,2984.825,171.8
L5,mldsa87,mlkem1024,pq_pur,4483.794,2984.825,50.2
L5,mldsa87,p521_hqc256,hybride,7665.093,2984.825,156.8
L5,mldsa87,p521_mlkem1024,hybride,5585.021,2984.825,87.1
L3,secp384r1,P-384,classique,1490.243,2345.866,-36.5
L3,secp384r1,hqc192,pq_pur,4163.472,2345.866,77.5
L3,secp384r1,mlkem768,pq_pur,1450.861,2345.866,-38.2
L3,secp384r1,p384_hqc192,hybride,3762.731,2345.866,60.4
L3,secp384r1,p384_mlkem768,hybride,1550.87,2345.866,-33.9
L3,secp384r1,x448_hqc192,hybride,3546.287,2345.866,51.2
L3,secp384r1,x448_mlkem768,hybride,1900.332,2345.866,-19.0
L3,secp384r1,x448,classique,1007.675,2345.866,-57.0
L5,secp521r1,P-521,classique,1404.406,2984.825,-52.9
L5,secp521r1,hqc256,pq_pur,4999.187,2984.825,67.5
L5,secp521r1,mlkem1024,pq_pur,1525.768,2984.825,-48.9
L5,secp521r1,p521_hqc256,hybride,4559.325,2984.825,52.8
L5,secp521r1,p521_mlkem1024,hybride,1574.246,2984.825,-47.3
