protocol,auth_mode,sig_alg,kem,kem_class,security_level,sig_family,network_profile,n_total,n_success,n_failed,success_rate_pct,n_blocks_pooled,n_files_pooled,mean_ms,stdev_ms,ci95_low_ms,ci95_high_ms,ci95_method,ci95_naive_low_ms,ci95_naive_high_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
tls,mutual,ed25519,P-256,classique,L1,classique,unstable,500,500,0,100.0,4,4,1069.716,2042.948,928.302,1172.957,bootstrap_blocs,890.643,1248.788,424.155,4105.526,7219.545,5.3,27633.18
tls,mutual,ed25519,hqc128,pq_pur,L1,classique,unstable,500,498,2,99.6,4,4,2874.176,9879.554,2375.001,3287.972,bootstrap_blocs,2006.458,3741.895,847.505,11486.554,53648.01,19.2,107429.71
tls,mutual,ed25519,mlkem512,pq_pur,L1,classique,unstable,500,499,1,99.8,4,4,1566.668,5138.235,1261.215,1873.347,bootstrap_blocs,1115.831,2017.505,224.02,5629.763,23262.675,5.14,75131.53
tls,mutual,ed25519,p256_hqc128,hybride,L1,classique,unstable,500,499,1,99.8,4,4,3139.15,11747.433,2857.933,3533.609,bootstrap_blocs,2108.411,4169.889,671.35,9007.653,58928.71,23.88,108528.02
tls,mutual,ed25519,p256_mlkem512,hybride,L1,classique,unstable,500,499,1,99.8,4,4,1659.07,5763.364,1288.163,2028.494,bootstrap_blocs,1153.383,2164.757,633.98,4973.225,14540.356,10.47,106000.46
tls,mutual,ed25519,x25519_hqc128,hybride,L1,classique,unstable,500,497,3,99.4,4,4,2964.211,9690.849,2235.566,4052.366,bootstrap_blocs,2112.21,3816.211,848.41,8266.382,53792.843,19.23,112931.12
tls,mutual,ed25519,x25519_mlkem512,hybride,L1,classique,unstable,500,500,0,100.0,4,4,1494.638,4183.323,1153.605,1835.672,bootstrap_blocs,1127.954,1861.323,231.145,5801.664,14400.622,5.12,53339.42
tls,mutual,ed25519,x25519,classique,L1,classique,unstable,500,499,1,99.8,4,4,1435.376,5411.44,1273.496,1646.146,bootstrap_blocs,960.568,1910.185,423.4,5167.198,13766.404,4.87,106304.27
tls,mutual,mldsa44,P-256,classique,L1,pq,unstable,500,500,0,100.0,4,4,3087.558,9066.793,2696.236,3572.315,bootstrap_blocs,2292.819,3882.298,1073.63,11460.804,52573.525,19.58,109084.9
tls,mutual,mldsa44,hqc128,pq_pur,L1,pq,unstable,500,496,4,99.2,4,4,4197.801,11892.228,3558.768,4842.009,bootstrap_blocs,3151.207,5244.396,1472.485,15192.52,56179.946,31.8,134878.68
tls,mutual,mldsa44,mlkem512,pq_pur,L1,pq,unstable,500,497,3,99.4,4,4,3331.918,11661.265,2429.223,3979.692,bootstrap_blocs,2306.682,4357.153,1066.31,9910.832,55049.472,21.43,138140.56
tls,mutual,mldsa44,p256_hqc128,hybride,L1,pq,unstable,500,497,3,99.4,4,4,3996.016,12497.085,3590.371,4353.438,bootstrap_blocs,2897.297,5094.735,1292.14,14171.482,64836.811,39.34,135659.43
tls,mutual,mldsa44,p256_mlkem512,hybride,L1,pq,unstable,500,499,1,99.8,4,4,4141.668,13552.063,3378.778,4907.621,bootstrap_blocs,2952.587,5330.748,1106.77,10061.599,85152.625,25.82,111206.57
tls,mutual,mldsa44,x25519_hqc128,hybride,L1,pq,unstable,500,496,4,99.2,4,4,4642.262,13180.384,4151.808,5213.98,bootstrap_blocs,3482.302,5802.223,1473.45,15762.358,57676.246,33.82,117064.26
tls,mutual,mldsa44,x25519_mlkem512,hybride,L1,pq,unstable,500,496,4,99.2,4,4,2997.358,7959.915,2322.034,3667.257,bootstrap_blocs,2296.833,3697.883,1094.405,10269.01,32834.717,20.29,107005.74
tls,mutual,mldsa44,x25519,classique,L1,pq,unstable,500,497,3,99.4,4,4,3347.571,11348.52,3147.736,3546.604,bootstrap_blocs,2349.832,4345.311,1075.9,9169.236,67146.909,21.33,108525.2
tls,mutual,mldsa65,P-384,classique,L3,pq,unstable,500,499,1,99.8,4,4,3273.394,8883.933,2657.208,4208.032,bootstrap_blocs,2493.903,4052.885,1079.87,10857.767,53143.425,28.98,108658.52
