execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,27.91,1,2,4
2,TLS Mutual,468.58,1,2,4
3,TLS Mutual,6503.91,1,2,4
4,TLS Mutual,431.94,1,2,4
5,TLS Mutual,27.82,1,2,4
6,TLS Mutual,3762.99,1,2,4
7,TLS Mutual,3564.06,1,2,4
8,TLS Mutual,1711.95,1,2,4
9,TLS Mutual,237.57,1,2,4
10,TLS Mutual,3381.59,1,2,4
11,TLS Mutual,30.59,1,2,4
12,TLS Mutual,25.54,1,2,4
13,TLS Mutual,1294.82,1,2,4
14,TLS Mutual,880.82,1,2,4
15,TLS Mutual,1659.39,1,2,4
16,TLS Mutual,4218.74,1,2,4
17,TLS Mutual,53168.47,1,2,4
18,TLS Mutual,432.3,1,2,4
19,TLS Mutual,233.49,1,2,4
20,TLS Mutual,29.7,1,2,4
21,TLS Mutual,25.52,1,2,4
22,TLS Mutual,1065.77,1,2,4
23,TLS Mutual,27.95,1,2,4
24,TLS Mutual,652.06,1,2,4
25,TLS Mutual,2528.53,1,2,4
26,TLS Mutual,1460.6,1,2,4
27,TLS Mutual,1128.92,1,2,4
28,TLS Mutual,5864.45,1,2,4
29,TLS Mutual,250.49,1,2,4
30,TLS Mutual,3765.1,1,2,4
31,TLS Mutual,1515.34,1,2,4
32,TLS Mutual,3313.23,1,2,4
33,TLS Mutual,439.29,1,2,4
34,TLS Mutual,865.77,1,2,4
35,TLS Mutual,2504.09,1,2,4
36,TLS Mutual,645.37,1,2,4
37,TLS Mutual,27.05,1,2,4
38,TLS Mutual,25.94,1,2,4
39,TLS Mutual,263.49,1,2,4
40,TLS Mutual,27.59,1,2,4
41,TLS Mutual,2741.87,1,2,4
42,TLS Mutual,2068.09,1,2,4
43,TLS Mutual,19947.23,1,2,4
44,TLS Mutual,3408.05,1,2,4
45,TLS Mutual,31.92,1,2,4
46,TLS Mutual,25.26,1,2,4
47,TLS Mutual,3298.95,1,2,4
48,TLS Mutual,659.18,1,2,4
49,TLS Mutual,27.23,1,2,4
50,TLS Mutual,1695.62,1,2,4
51,TLS Mutual,26.24,1,2,4
52,TLS Mutual,27.43,1,2,4
53,TLS Mutual,236.76,1,2,4
54,TLS Mutual,4164.21,1,2,4
55,TLS Mutual,438.44,1,2,4
56,TLS Mutual,8867.14,1,2,4
57,TLS Mutual,5703.78,1,2,4
58,TLS Mutual,851.78,1,2,4
59,TLS Mutual,2556.13,1,2,4
60,TLS Mutual,107581.34,1,2,4
61,TLS Mutual,1315.88,1,2,4
62,TLS Mutual,27.21,1,2,4
63,TLS Mutual,3312.91,1,2,4
64,TLS Mutual,2719.75,1,2,4
65,TLS Mutual,27.58,1,2,4
66,TLS Mutual,26.97,1,2,4
67,TLS Mutual,6643.3,1,2,4
68,TLS Mutual,239.03,1,2,4
69,TLS Mutual,439.14,1,2,4
70,TLS Mutual,264.59,1,2,4
71,TLS Mutual,32.62,1,2,4
72,TLS Mutual,27.98,1,2,4
73,TLS Mutual,28.45,1,2,4
74,TLS Mutual,24.82,1,2,4
75,TLS Mutual,433.72,1,2,4
76,TLS Mutual,473.36,1,2,4
77,TLS Mutual,26.69,1,2,4
78,TLS Mutual,266.79,1,2,4
79,TLS Mutual,232.67,1,2,4
80,TLS Mutual,29.97,1,2,4
81,TLS Mutual,2296.06,1,2,4
82,TLS Mutual,1248.35,1,2,4
83,TLS Mutual,31.45,1,2,4
84,TLS Mutual,26.31,1,2,4
85,TLS Mutual,262.22,1,2,4
86,TLS Mutual,1314.06,1,2,4
87,TLS Mutual,1273.24,1,2,4
88,TLS Mutual,1848.56,1,2,4
89,TLS Mutual,457.45,1,2,4
90,TLS Mutual,265.53,1,2,4
91,TLS Mutual,1278.25,1,2,4
92,TLS Mutual,1099.17,1,2,4
93,TLS Mutual,667.52,1,2,4
94,TLS Mutual,13298.88,1,2,4
95,TLS Mutual,3362.28,1,2,4
96,TLS Mutual,4171.03,1,2,4
97,TLS Mutual,7656.09,1,2,4
98,TLS Mutual,5619.72,1,2,4
99,TLS Mutual,27.39,1,2,4
100,TLS Mutual,NaN,0,2,4
101,TLS Mutual,1248.13,1,2,4
102,TLS Mutual,2089.77,1,2,4
103,TLS Mutual,29.37,1,2,4
104,TLS Mutual,230.45,1,2,4
105,TLS Mutual,1336.68,1,2,4
106,TLS Mutual,32.48,1,2,4
107,TLS Mutual,25.43,1,2,4
108,TLS Mutual,1278.67,1,2,4
109,TLS Mutual,860.92,1,2,4
110,TLS Mutual,31.28,1,2,4
111,TLS Mutual,25.99,1,2,4
112,TLS Mutual,1068.56,1,2,4
113,TLS Mutual,2532.0,1,2,4
114,TLS Mutual,29.23,1,2,4
115,TLS Mutual,2064.73,1,2,4
116,TLS Mutual,1075.56,1,2,4
117,TLS Mutual,7466.2,1,2,4
118,TLS Mutual,839.64,1,2,4
119,TLS Mutual,28.27,1,2,4
120,TLS Mutual,840.38,1,2,4
121,TLS Mutual,28.72,1,2,4
122,TLS Mutual,2939.84,1,2,4
123,TLS Mutual,29.35,1,2,4
124,TLS Mutual,259.8,1,2,4
125,TLS Mutual,241.1,1,2,4
