execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,21.84,1,1,4
2,TLS Mutual,253.97,1,1,4
3,TLS Mutual,839.17,1,1,4
4,TLS Mutual,1503.07,1,1,4
5,TLS Mutual,20.67,1,1,4
6,TLS Mutual,1285.49,1,1,4
7,TLS Mutual,259.46,1,1,4
8,TLS Mutual,21.88,1,1,4
9,TLS Mutual,33557.44,1,1,4
10,TLS Mutual,1483.57,1,1,4
11,TLS Mutual,644.89,1,1,4
12,TLS Mutual,3137.51,1,1,4
13,TLS Mutual,22.62,1,1,4
14,TLS Mutual,1685.87,1,1,4
15,TLS Mutual,21.98,1,1,4
16,TLS Mutual,21.95,1,1,4
17,TLS Mutual,20.62,1,1,4
18,TLS Mutual,19.62,1,1,4
19,TLS Mutual,3786.84,1,1,4
20,TLS Mutual,4756.35,1,1,4
21,TLS Mutual,24.32,1,1,4
22,TLS Mutual,3757.74,1,1,4
23,TLS Mutual,1474.18,1,1,4
24,TLS Mutual,1299.78,1,1,4
25,TLS Mutual,442.22,1,1,4
26,TLS Mutual,22.15,1,1,4
27,TLS Mutual,1081.19,1,1,4
28,TLS Mutual,254.85,1,1,4
29,TLS Mutual,7923.4,1,1,4
30,TLS Mutual,850.73,1,1,4
31,TLS Mutual,22.42,1,1,4
32,TLS Mutual,253.87,1,1,4
33,TLS Mutual,2284.62,1,1,4
34,TLS Mutual,4780.92,1,1,4
35,TLS Mutual,440.73,1,1,4
36,TLS Mutual,24.6,1,1,4
37,TLS Mutual,1082.68,1,1,4
38,TLS Mutual,255.98,1,1,4
39,TLS Mutual,22.77,1,1,4
40,TLS Mutual,1259.38,1,1,4
41,TLS Mutual,22.47,1,1,4
42,TLS Mutual,20.7,1,1,4
43,TLS Mutual,1313.72,1,1,4
44,TLS Mutual,1256.3,1,1,4
45,TLS Mutual,844.03,1,1,4
46,TLS Mutual,27.14,1,1,4
47,TLS Mutual,1284.33,1,1,4
48,TLS Mutual,NaN,0,1,4
49,TLS Mutual,24.18,1,1,4
50,TLS Mutual,643.97,1,1,4
51,TLS Mutual,2098.12,1,1,4
52,TLS Mutual,22.02,1,1,4
53,TLS Mutual,2071.63,1,1,4
54,TLS Mutual,22.64,1,1,4
55,TLS Mutual,21.19,1,1,4
56,TLS Mutual,2532.91,1,1,4
57,TLS Mutual,22.15,1,1,4
58,TLS Mutual,4197.99,1,1,4
59,TLS Mutual,6652.66,1,1,4
60,TLS Mutual,6414.84,1,1,4
61,TLS Mutual,24.44,1,1,4
62,TLS Mutual,53776.03,1,1,4
63,TLS Mutual,1281.81,1,1,4
64,TLS Mutual,24.16,1,1,4
65,TLS Mutual,6433.54,1,1,4
66,TLS Mutual,666.58,1,1,4
67,TLS Mutual,2498.57,1,1,4
68,TLS Mutual,257.18,1,1,4
69,TLS Mutual,26.34,1,1,4
70,TLS Mutual,13265.39,1,1,4
71,TLS Mutual,2117.8,1,1,4
72,TLS Mutual,1274.48,1,1,4
73,TLS Mutual,22.63,1,1,4
74,TLS Mutual,20.64,1,1,4
75,TLS Mutual,20.28,1,1,4
76,TLS Mutual,21.57,1,1,4
77,TLS Mutual,1262.13,1,1,4
78,TLS Mutual,23.63,1,1,4
79,TLS Mutual,21.57,1,1,4
80,TLS Mutual,30897.29,1,1,4
81,TLS Mutual,7668.11,1,1,4
82,TLS Mutual,231.72,1,1,4
83,TLS Mutual,31.89,1,1,4
84,TLS Mutual,1514.58,1,1,4
85,TLS Mutual,1750.99,1,1,4
86,TLS Mutual,437.04,1,1,4
87,TLS Mutual,6431.76,1,1,4
88,TLS Mutual,2108.04,1,1,4
89,TLS Mutual,241.33,1,1,4
90,TLS Mutual,2912.25,1,1,4
91,TLS Mutual,1304.27,1,1,4
92,TLS Mutual,1729.86,1,1,4
93,TLS Mutual,1297.83,1,1,4
94,TLS Mutual,1092.7,1,1,4
95,TLS Mutual,259.21,1,1,4
96,TLS Mutual,4366.26,1,1,4
97,TLS Mutual,NaN,0,1,4
98,TLS Mutual,1090.04,1,1,4
99,TLS Mutual,22.99,1,1,4
100,TLS Mutual,23.18,1,1,4
101,TLS Mutual,20.51,1,1,4
102,TLS Mutual,8261.28,1,1,4
103,TLS Mutual,463.69,1,1,4
104,TLS Mutual,1053.22,1,1,4
105,TLS Mutual,257.24,1,1,4
106,TLS Mutual,21.87,1,1,4
107,TLS Mutual,3141.33,1,1,4
108,TLS Mutual,3108.91,1,1,4
109,TLS Mutual,22.65,1,1,4
110,TLS Mutual,6025.33,1,1,4
111,TLS Mutual,1898.44,1,1,4
112,TLS Mutual,1090.02,1,1,4
113,TLS Mutual,1889.27,1,1,4
114,TLS Mutual,1290.23,1,1,4
115,TLS Mutual,2726.6,1,1,4
116,TLS Mutual,258.65,1,1,4
117,TLS Mutual,22.2,1,1,4
118,TLS Mutual,21.43,1,1,4
119,TLS Mutual,1054.83,1,1,4
120,TLS Mutual,2098.09,1,1,4
121,TLS Mutual,24.74,1,1,4
122,TLS Mutual,433.94,1,1,4
123,TLS Mutual,2897.92,1,1,4
124,TLS Mutual,1273.87,1,1,4
125,TLS Mutual,3346.41,1,1,4
