execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,NaN,0,4,4
2,TLS Mutual,NaN,0,4,4
3,TLS Mutual,2134.63,1,4,4
4,TLS Mutual,457.5,1,4,4
5,TLS Mutual,1068.03,1,4,4
6,TLS Mutual,37.81,1,4,4
7,TLS Mutual,2129.4,1,4,4
8,TLS Mutual,1929.29,1,4,4
9,TLS Mutual,2107.91,1,4,4
10,TLS Mutual,1476.14,1,4,4
11,TLS Mutual,5810.9,1,4,4
12,TLS Mutual,8658.76,1,4,4
13,TLS Mutual,3119.86,1,4,4
14,TLS Mutual,3351.21,1,4,4
15,TLS Mutual,3570.13,1,4,4
16,TLS Mutual,4389.53,1,4,4
17,TLS Mutual,458.91,1,4,4
18,TLS Mutual,36.53,1,4,4
19,TLS Mutual,3354.77,1,4,4
20,TLS Mutual,647.06,1,4,4
21,TLS Mutual,2510.92,1,4,4
22,TLS Mutual,36.81,1,4,4
23,TLS Mutual,34.7,1,4,4
24,TLS Mutual,272.86,1,4,4
25,TLS Mutual,9608.17,1,4,4
26,TLS Mutual,1915.42,1,4,4
27,TLS Mutual,37.26,1,4,4
28,TLS Mutual,37.91,1,4,4
29,TLS Mutual,2723.21,1,4,4
30,TLS Mutual,45.57,1,4,4
31,TLS Mutual,108170.38,1,4,4
32,TLS Mutual,1482.8,1,4,4
33,TLS Mutual,3778.68,1,4,4
34,TLS Mutual,2104.49,1,4,4
35,TLS Mutual,36.66,1,4,4
36,TLS Mutual,3118.61,1,4,4
37,TLS Mutual,1938.13,1,4,4
38,TLS Mutual,34.86,1,4,4
39,TLS Mutual,14438.49,1,4,4
40,TLS Mutual,3803.13,1,4,4
41,TLS Mutual,275.35,1,4,4
42,TLS Mutual,3371.9,1,4,4
43,TLS Mutual,4604.45,1,4,4
44,TLS Mutual,1538.25,1,4,4
45,TLS Mutual,3172.35,1,4,4
46,TLS Mutual,5228.23,1,4,4
47,TLS Mutual,5041.22,1,4,4
48,TLS Mutual,3122.86,1,4,4
49,TLS Mutual,105907.72,1,4,4
50,TLS Mutual,2546.36,1,4,4
51,TLS Mutual,1468.83,1,4,4
52,TLS Mutual,1919.11,1,4,4
53,TLS Mutual,1511.74,1,4,4
54,TLS Mutual,34.8,1,4,4
55,TLS Mutual,277.73,1,4,4
56,TLS Mutual,483.32,1,4,4
57,TLS Mutual,1539.39,1,4,4
58,TLS Mutual,35.62,1,4,4
59,TLS Mutual,7449.01,1,4,4
60,TLS Mutual,4182.85,1,4,4
61,TLS Mutual,271.45,1,4,4
62,TLS Mutual,3347.77,1,4,4
63,TLS Mutual,4003.69,1,4,4
64,TLS Mutual,38.02,1,4,4
65,TLS Mutual,34.78,1,4,4
66,TLS Mutual,2899.44,1,4,4
67,TLS Mutual,1667.14,1,4,4
68,TLS Mutual,5411.5,1,4,4
69,TLS Mutual,1466.28,1,4,4
70,TLS Mutual,661.73,1,4,4
71,TLS Mutual,1270.59,1,4,4
72,TLS Mutual,2147.68,1,4,4
73,TLS Mutual,1726.81,1,4,4
74,TLS Mutual,35.8,1,4,4
75,TLS Mutual,14178.19,1,4,4
76,TLS Mutual,36.99,1,4,4
77,TLS Mutual,1066.77,1,4,4
78,TLS Mutual,1549.64,1,4,4
79,TLS Mutual,34.31,1,4,4
80,TLS Mutual,277.22,1,4,4
81,TLS Mutual,2105.32,1,4,4
82,TLS Mutual,1876.0,1,4,4
83,TLS Mutual,276.65,1,4,4
84,TLS Mutual,36.32,1,4,4
85,TLS Mutual,3218.26,1,4,4
86,TLS Mutual,2123.26,1,4,4
87,TLS Mutual,3358.22,1,4,4
88,TLS Mutual,658.22,1,4,4
89,TLS Mutual,1300.61,1,4,4
90,TLS Mutual,266.79,1,4,4
91,TLS Mutual,1080.99,1,4,4
92,TLS Mutual,37.81,1,4,4
93,TLS Mutual,35.32,1,4,4
94,TLS Mutual,13423.7,1,4,4
95,TLS Mutual,35.23,1,4,4
96,TLS Mutual,1898.42,1,4,4
97,TLS Mutual,37.27,1,4,4
98,TLS Mutual,1716.43,1,4,4
99,TLS Mutual,36.64,1,4,4
100,TLS Mutual,34.45,1,4,4
101,TLS Mutual,9892.79,1,4,4
102,TLS Mutual,481.34,1,4,4
103,TLS Mutual,4598.42,1,4,4
104,TLS Mutual,659.09,1,4,4
105,TLS Mutual,1289.42,1,4,4
106,TLS Mutual,6419.07,1,4,4
107,TLS Mutual,27301.33,1,4,4
108,TLS Mutual,652.53,1,4,4
109,TLS Mutual,5400.77,1,4,4
110,TLS Mutual,1460.29,1,4,4
111,TLS Mutual,56495.07,1,4,4
112,TLS Mutual,38.17,1,4,4
113,TLS Mutual,34.3,1,4,4
114,TLS Mutual,34.2,1,4,4
115,TLS Mutual,269.23,1,4,4
116,TLS Mutual,1287.16,1,4,4
117,TLS Mutual,1093.11,1,4,4
118,TLS Mutual,1318.39,1,4,4
119,TLS Mutual,2930.06,1,4,4
120,TLS Mutual,1306.9,1,4,4
121,TLS Mutual,7628.04,1,4,4
122,TLS Mutual,2961.01,1,4,4
123,TLS Mutual,269.25,1,4,4
124,TLS Mutual,38.17,1,4,4
125,TLS Mutual,1279.94,1,4,4
