execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,652.34,1,4,4
2,TLS Mutual,856.97,1,4,4
3,TLS Mutual,674.2,1,4,4
4,TLS Mutual,23.2,1,4,4
5,TLS Mutual,441.3,1,4,4
6,TLS Mutual,8692.16,1,4,4
7,TLS Mutual,24.11,1,4,4
8,TLS Mutual,7822.25,1,4,4
9,TLS Mutual,3123.82,1,4,4
10,TLS Mutual,1905.44,1,4,4
11,TLS Mutual,2515.96,1,4,4
12,TLS Mutual,1046.08,1,4,4
13,TLS Mutual,5608.97,1,4,4
14,TLS Mutual,444.49,1,4,4
15,TLS Mutual,1523.05,1,4,4
16,TLS Mutual,1076.64,1,4,4
17,TLS Mutual,1698.72,1,4,4
18,TLS Mutual,7449.0,1,4,4
19,TLS Mutual,24.68,1,4,4
20,TLS Mutual,2939.19,1,4,4
21,TLS Mutual,3777.69,1,4,4
22,TLS Mutual,25.44,1,4,4
23,TLS Mutual,447.43,1,4,4
24,TLS Mutual,7026.85,1,4,4
25,TLS Mutual,108684.78,1,4,4
26,TLS Mutual,22.84,1,4,4
27,TLS Mutual,27.24,1,4,4
28,TLS Mutual,22.72,1,4,4
29,TLS Mutual,13168.72,1,4,4
30,TLS Mutual,2306.22,1,4,4
31,TLS Mutual,1066.31,1,4,4
32,TLS Mutual,24.38,1,4,4
33,TLS Mutual,1451.34,1,4,4
34,TLS Mutual,24.3,1,4,4
35,TLS Mutual,23.37,1,4,4
36,TLS Mutual,2099.15,1,4,4
37,TLS Mutual,24.57,1,4,4
38,TLS Mutual,2090.39,1,4,4
39,TLS Mutual,24.63,1,4,4
40,TLS Mutual,13468.04,1,4,4
41,TLS Mutual,1676.97,1,4,4
42,TLS Mutual,1040.35,1,4,4
43,TLS Mutual,104579.78,1,4,4
44,TLS Mutual,3166.0,1,4,4
45,TLS Mutual,1699.18,1,4,4
46,TLS Mutual,1298.77,1,4,4
47,TLS Mutual,9332.77,1,4,4
48,TLS Mutual,451.36,1,4,4
49,TLS Mutual,268.85,1,4,4
50,TLS Mutual,1289.62,1,4,4
51,TLS Mutual,250.99,1,4,4
52,TLS Mutual,650.36,1,4,4
53,TLS Mutual,1329.9,1,4,4
54,TLS Mutual,1301.06,1,4,4
55,TLS Mutual,4747.57,1,4,4
56,TLS Mutual,258.52,1,4,4
57,TLS Mutual,2955.7,1,4,4
58,TLS Mutual,25.53,1,4,4
59,TLS Mutual,22.98,1,4,4
60,TLS Mutual,1260.36,1,4,4
61,TLS Mutual,1266.59,1,4,4
62,TLS Mutual,859.57,1,4,4
63,TLS Mutual,24.27,1,4,4
64,TLS Mutual,1516.51,1,4,4
65,TLS Mutual,14468.6,1,4,4
66,TLS Mutual,1037.96,1,4,4
67,TLS Mutual,24.5,1,4,4
68,TLS Mutual,23.19,1,4,4
69,TLS Mutual,21.96,1,4,4
70,TLS Mutual,1451.37,1,4,4
71,TLS Mutual,24.33,1,4,4
72,TLS Mutual,262.51,1,4,4
73,TLS Mutual,1080.15,1,4,4
74,TLS Mutual,1073.18,1,4,4
75,TLS Mutual,2306.2,1,4,4
76,TLS Mutual,1243.77,1,4,4
77,TLS Mutual,1271.23,1,4,4
78,TLS Mutual,23.86,1,4,4
79,TLS Mutual,27770.02,1,4,4
80,TLS Mutual,4971.88,1,4,4
81,TLS Mutual,2523.96,1,4,4
82,TLS Mutual,24.37,1,4,4
83,TLS Mutual,23.0,1,4,4
84,TLS Mutual,27.7,1,4,4
85,TLS Mutual,1702.39,1,4,4
86,TLS Mutual,268.03,1,4,4
87,TLS Mutual,23.09,1,4,4
88,TLS Mutual,22.89,1,4,4
89,TLS Mutual,6998.37,1,4,4
90,TLS Mutual,2760.86,1,4,4
91,TLS Mutual,645.82,1,4,4
92,TLS Mutual,2082.93,1,4,4
93,TLS Mutual,23.96,1,4,4
94,TLS Mutual,1465.46,1,4,4
95,TLS Mutual,265.01,1,4,4
96,TLS Mutual,23.15,1,4,4
97,TLS Mutual,22.25,1,4,4
98,TLS Mutual,1304.16,1,4,4
99,TLS Mutual,262.88,1,4,4
100,TLS Mutual,23.26,1,4,4
101,TLS Mutual,471.67,1,4,4
102,TLS Mutual,651.17,1,4,4
103,TLS Mutual,7652.26,1,4,4
104,TLS Mutual,24.69,1,4,4
105,TLS Mutual,22.61,1,4,4
106,TLS Mutual,22.0,1,4,4
107,TLS Mutual,1507.95,1,4,4
108,TLS Mutual,262.32,1,4,4
109,TLS Mutual,266.79,1,4,4
110,TLS Mutual,7885.17,1,4,4
111,TLS Mutual,22.72,1,4,4
112,TLS Mutual,7447.56,1,4,4
113,TLS Mutual,24.32,1,4,4
114,TLS Mutual,2070.63,1,4,4
115,TLS Mutual,3330.35,1,4,4
116,TLS Mutual,28.53,1,4,4
117,TLS Mutual,1079.37,1,4,4
118,TLS Mutual,24.3,1,4,4
119,TLS Mutual,5341.98,1,4,4
120,TLS Mutual,1881.26,1,4,4
121,TLS Mutual,25.11,1,4,4
122,TLS Mutual,7061.84,1,4,4
123,TLS Mutual,443.1,1,4,4
124,TLS Mutual,24.69,1,4,4
125,TLS Mutual,2119.39,1,4,4
