execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,37.48,1,1,4
2,TLS Mutual,268.81,1,1,4
3,TLS Mutual,3582.52,1,1,4
4,TLS Mutual,2696.64,1,1,4
5,TLS Mutual,854.44,1,1,4
6,TLS Mutual,36.07,1,1,4
7,TLS Mutual,1711.26,1,1,4
8,TLS Mutual,454.18,1,1,4
9,TLS Mutual,1696.89,1,1,4
10,TLS Mutual,37.92,1,1,4
11,TLS Mutual,35.41,1,1,4
12,TLS Mutual,2555.83,1,1,4
13,TLS Mutual,2130.59,1,1,4
14,TLS Mutual,685.61,1,1,4
15,TLS Mutual,3383.2,1,1,4
16,TLS Mutual,34.76,1,1,4
17,TLS Mutual,2552.72,1,1,4
18,TLS Mutual,34.49,1,1,4
19,TLS Mutual,8100.5,1,1,4
20,TLS Mutual,37.55,1,1,4
21,TLS Mutual,2562.11,1,1,4
22,TLS Mutual,1868.32,1,1,4
23,TLS Mutual,468.99,1,1,4
24,TLS Mutual,11162.56,1,1,4
25,TLS Mutual,657.22,1,1,4
26,TLS Mutual,4372.24,1,1,4
27,TLS Mutual,7531.63,1,1,4
28,TLS Mutual,2772.37,1,1,4
29,TLS Mutual,659.3,1,1,4
30,TLS Mutual,8330.2,1,1,4
31,TLS Mutual,54041.46,1,1,4
32,TLS Mutual,2115.41,1,1,4
33,TLS Mutual,4588.37,1,1,4
34,TLS Mutual,678.79,1,1,4
35,TLS Mutual,34.33,1,1,4
36,TLS Mutual,856.9,1,1,4
37,TLS Mutual,37.13,1,1,4
38,TLS Mutual,5627.85,1,1,4
39,TLS Mutual,7764.66,1,1,4
40,TLS Mutual,1704.97,1,1,4
41,TLS Mutual,8925.32,1,1,4
42,TLS Mutual,5176.65,1,1,4
43,TLS Mutual,1076.3,1,1,4
44,TLS Mutual,2954.44,1,1,4
45,TLS Mutual,276.64,1,1,4
46,TLS Mutual,1268.58,1,1,4
47,TLS Mutual,39.54,1,1,4
48,TLS Mutual,36.92,1,1,4
49,TLS Mutual,4168.49,1,1,4
50,TLS Mutual,38.4,1,1,4
51,TLS Mutual,474.18,1,1,4
52,TLS Mutual,4372.12,1,1,4
53,TLS Mutual,1920.43,1,1,4
54,TLS Mutual,277.43,1,1,4
55,TLS Mutual,279.21,1,1,4
56,TLS Mutual,34.0,1,1,4
57,TLS Mutual,1533.94,1,1,4
58,TLS Mutual,36.01,1,1,4
59,TLS Mutual,1106.83,1,1,4
60,TLS Mutual,2308.07,1,1,4
61,TLS Mutual,36.88,1,1,4
62,TLS Mutual,649.2,1,1,4
63,TLS Mutual,37.53,1,1,4
64,TLS Mutual,4021.45,1,1,4
65,TLS Mutual,2129.66,1,1,4
66,TLS Mutual,1948.0,1,1,4
67,TLS Mutual,15656.98,1,1,4
68,TLS Mutual,37.58,1,1,4
69,TLS Mutual,4409.68,1,1,4
70,TLS Mutual,1717.45,1,1,4
71,TLS Mutual,106003.42,1,1,4
72,TLS Mutual,34.18,1,1,4
73,TLS Mutual,33.87,1,1,4
74,TLS Mutual,4975.93,1,1,4
75,TLS Mutual,2121.27,1,1,4
76,TLS Mutual,1076.73,1,1,4
77,TLS Mutual,272.36,1,1,4
78,TLS Mutual,1534.8,1,1,4
79,TLS Mutual,1735.04,1,1,4
80,TLS Mutual,14723.53,1,1,4
81,TLS Mutual,5793.09,1,1,4
82,TLS Mutual,2740.93,1,1,4
83,TLS Mutual,36.15,1,1,4
84,TLS Mutual,268.31,1,1,4
85,TLS Mutual,34.52,1,1,4
86,TLS Mutual,NaN,0,1,4
87,TLS Mutual,876.3,1,1,4
88,TLS Mutual,864.71,1,1,4
89,TLS Mutual,5452.12,1,1,4
90,TLS Mutual,41.98,1,1,4
91,TLS Mutual,871.29,1,1,4
92,TLS Mutual,37.49,1,1,4
93,TLS Mutual,474.98,1,1,4
94,TLS Mutual,1090.14,1,1,4
95,TLS Mutual,36.11,1,1,4
96,TLS Mutual,33.82,1,1,4
97,TLS Mutual,34.19,1,1,4
98,TLS Mutual,2145.54,1,1,4
99,TLS Mutual,1508.52,1,1,4
100,TLS Mutual,37.66,1,1,4
101,TLS Mutual,7898.52,1,1,4
102,TLS Mutual,36.5,1,1,4
103,TLS Mutual,1082.28,1,1,4
104,TLS Mutual,5220.15,1,1,4
105,TLS Mutual,NaN,0,1,4
106,TLS Mutual,1099.07,1,1,4
107,TLS Mutual,36.19,1,1,4
108,TLS Mutual,2117.01,1,1,4
109,TLS Mutual,3939.16,1,1,4
110,TLS Mutual,1314.35,1,1,4
111,TLS Mutual,2571.85,1,1,4
112,TLS Mutual,457.98,1,1,4
113,TLS Mutual,38.07,1,1,4
114,TLS Mutual,3616.99,1,1,4
115,TLS Mutual,266.51,1,1,4
116,TLS Mutual,38.16,1,1,4
117,TLS Mutual,2532.45,1,1,4
118,TLS Mutual,27345.01,1,1,4
119,TLS Mutual,9690.82,1,1,4
120,TLS Mutual,1458.97,1,1,4
121,TLS Mutual,1914.2,1,1,4
122,TLS Mutual,36283.44,1,1,4
123,TLS Mutual,1514.52,1,1,4
124,TLS Mutual,3168.67,1,1,4
125,TLS Mutual,2132.0,1,1,4
