execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,32.87,1,4,4
2,TLS Mutual,4622.59,1,4,4
3,TLS Mutual,456.41,1,4,4
4,TLS Mutual,270.58,1,4,4
5,TLS Mutual,1688.34,1,4,4
6,TLS Mutual,1701.18,1,4,4
7,TLS Mutual,1507.8,1,4,4
8,TLS Mutual,33.65,1,4,4
9,TLS Mutual,1282.4,1,4,4
10,TLS Mutual,13501.82,1,4,4
11,TLS Mutual,3997.72,1,4,4
12,TLS Mutual,1716.77,1,4,4
13,TLS Mutual,34.44,1,4,4
14,TLS Mutual,5397.42,1,4,4
15,TLS Mutual,1514.58,1,4,4
16,TLS Mutual,1268.64,1,4,4
17,TLS Mutual,1052.6,1,4,4
18,TLS Mutual,33.06,1,4,4
19,TLS Mutual,476.48,1,4,4
20,TLS Mutual,32.37,1,4,4
21,TLS Mutual,7209.91,1,4,4
22,TLS Mutual,10363.85,1,4,4
23,TLS Mutual,1292.17,1,4,4
24,TLS Mutual,2755.46,1,4,4
25,TLS Mutual,1267.41,1,4,4
26,TLS Mutual,5692.71,1,4,4
27,TLS Mutual,1097.85,1,4,4
28,TLS Mutual,34.3,1,4,4
29,TLS Mutual,861.69,1,4,4
30,TLS Mutual,6892.85,1,4,4
31,TLS Mutual,4592.41,1,4,4
32,TLS Mutual,5219.23,1,4,4
33,TLS Mutual,2095.01,1,4,4
34,TLS Mutual,2099.13,1,4,4
35,TLS Mutual,2098.4,1,4,4
36,TLS Mutual,33.05,1,4,4
37,TLS Mutual,35.67,1,4,4
38,TLS Mutual,31.47,1,4,4
39,TLS Mutual,1484.33,1,4,4
40,TLS Mutual,33.41,1,4,4
41,TLS Mutual,32.58,1,4,4
42,TLS Mutual,859.08,1,4,4
43,TLS Mutual,33.0,1,4,4
44,TLS Mutual,1478.86,1,4,4
45,TLS Mutual,276.21,1,4,4
46,TLS Mutual,33.23,1,4,4
47,TLS Mutual,31.63,1,4,4
48,TLS Mutual,454.4,1,4,4
49,TLS Mutual,33.89,1,4,4
50,TLS Mutual,2312.66,1,4,4
51,TLS Mutual,33.14,1,4,4
52,TLS Mutual,1064.38,1,4,4
53,TLS Mutual,2088.57,1,4,4
54,TLS Mutual,264.15,1,4,4
55,TLS Mutual,14262.77,1,4,4
56,TLS Mutual,5819.26,1,4,4
57,TLS Mutual,34.0,1,4,4
58,TLS Mutual,12270.32,1,4,4
59,TLS Mutual,270.94,1,4,4
60,TLS Mutual,34.4,1,4,4
61,TLS Mutual,1068.41,1,4,4
62,TLS Mutual,267.05,1,4,4
63,TLS Mutual,251.09,1,4,4
64,TLS Mutual,1537.6,1,4,4
65,TLS Mutual,1318.01,1,4,4
66,TLS Mutual,270.31,1,4,4
67,TLS Mutual,8720.48,1,4,4
68,TLS Mutual,31.58,1,4,4
69,TLS Mutual,651.07,1,4,4
70,TLS Mutual,1048.01,1,4,4
71,TLS Mutual,1922.29,1,4,4
72,TLS Mutual,2905.59,1,4,4
73,TLS Mutual,3954.83,1,4,4
74,TLS Mutual,1915.52,1,4,4
75,TLS Mutual,35.12,1,4,4
76,TLS Mutual,659.85,1,4,4
77,TLS Mutual,1064.2,1,4,4
78,TLS Mutual,4974.3,1,4,4
79,TLS Mutual,269.52,1,4,4
80,TLS Mutual,32.67,1,4,4
81,TLS Mutual,30764.93,1,4,4
82,TLS Mutual,1908.68,1,4,4
83,TLS Mutual,673.75,1,4,4
84,TLS Mutual,30749.64,1,4,4
85,TLS Mutual,31.65,1,4,4
86,TLS Mutual,4361.19,1,4,4
87,TLS Mutual,10707.26,1,4,4
88,TLS Mutual,7443.19,1,4,4
89,TLS Mutual,7042.79,1,4,4
90,TLS Mutual,7281.22,1,4,4
91,TLS Mutual,1107.48,1,4,4
92,TLS Mutual,35.0,1,4,4
93,TLS Mutual,1072.55,1,4,4
94,TLS Mutual,20003.04,1,4,4
95,TLS Mutual,650.69,1,4,4
96,TLS Mutual,2966.08,1,4,4
97,TLS Mutual,2289.75,1,4,4
98,TLS Mutual,34.49,1,4,4
99,TLS Mutual,32.13,1,4,4
100,TLS Mutual,3553.85,1,4,4
101,TLS Mutual,886.65,1,4,4
102,TLS Mutual,2091.34,1,4,4
103,TLS Mutual,1055.03,1,4,4
104,TLS Mutual,34.13,1,4,4
105,TLS Mutual,1504.99,1,4,4
106,TLS Mutual,5820.54,1,4,4
107,TLS Mutual,473.78,1,4,4
108,TLS Mutual,1062.53,1,4,4
109,TLS Mutual,33.54,1,4,4
110,TLS Mutual,464.96,1,4,4
111,TLS Mutual,7071.21,1,4,4
112,TLS Mutual,274.08,1,4,4
113,TLS Mutual,20188.08,1,4,4
114,TLS Mutual,5044.73,1,4,4
115,TLS Mutual,1522.31,1,4,4
116,TLS Mutual,34.32,1,4,4
117,TLS Mutual,1926.99,1,4,4
118,TLS Mutual,271.58,1,4,4
119,TLS Mutual,6015.61,1,4,4
120,TLS Mutual,1331.52,1,4,4
121,TLS Mutual,2328.55,1,4,4
122,TLS Mutual,1269.29,1,4,4
123,TLS Mutual,33.3,1,4,4
124,TLS Mutual,7504.01,1,4,4
125,TLS Mutual,3163.76,1,4,4
