execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,3986.98,1,4,4
2,TLS Mutual,3367.2,1,4,4
3,TLS Mutual,39.29,1,4,4
4,TLS Mutual,38.65,1,4,4
5,TLS Mutual,4424.97,1,4,4
6,TLS Mutual,37.22,1,4,4
7,TLS Mutual,37.44,1,4,4
8,TLS Mutual,1493.02,1,4,4
9,TLS Mutual,2131.11,1,4,4
10,TLS Mutual,39.86,1,4,4
11,TLS Mutual,4994.33,1,4,4
12,TLS Mutual,1285.78,1,4,4
13,TLS Mutual,40.29,1,4,4
14,TLS Mutual,NaN,0,4,4
15,TLS Mutual,485.26,1,4,4
16,TLS Mutual,2113.16,1,4,4
17,TLS Mutual,40.37,1,4,4
18,TLS Mutual,1721.95,1,4,4
19,TLS Mutual,39.0,1,4,4
20,TLS Mutual,2137.27,1,4,4
21,TLS Mutual,2965.59,1,4,4
22,TLS Mutual,9353.32,1,4,4
23,TLS Mutual,1468.93,1,4,4
24,TLS Mutual,39.96,1,4,4
25,TLS Mutual,247.15,1,4,4
26,TLS Mutual,898.49,1,4,4
27,TLS Mutual,1319.12,1,4,4
28,TLS Mutual,1491.74,1,4,4
29,TLS Mutual,5446.23,1,4,4
30,TLS Mutual,1675.28,1,4,4
31,TLS Mutual,1931.93,1,4,4
32,TLS Mutual,1756.36,1,4,4
33,TLS Mutual,38.1,1,4,4
34,TLS Mutual,1474.57,1,4,4
35,TLS Mutual,1713.11,1,4,4
36,TLS Mutual,254.99,1,4,4
37,TLS Mutual,2148.99,1,4,4
38,TLS Mutual,4433.13,1,4,4
39,TLS Mutual,1077.08,1,4,4
40,TLS Mutual,40.17,1,4,4
41,TLS Mutual,40.85,1,4,4
42,TLS Mutual,1097.46,1,4,4
43,TLS Mutual,4229.86,1,4,4
44,TLS Mutual,1265.39,1,4,4
45,TLS Mutual,1885.95,1,4,4
46,TLS Mutual,1277.99,1,4,4
47,TLS Mutual,1511.74,1,4,4
48,TLS Mutual,38.54,1,4,4
49,TLS Mutual,276.94,1,4,4
50,TLS Mutual,260.24,1,4,4
51,TLS Mutual,1116.45,1,4,4
52,TLS Mutual,3111.25,1,4,4
53,TLS Mutual,39.82,1,4,4
54,TLS Mutual,12050.7,1,4,4
55,TLS Mutual,5159.51,1,4,4
56,TLS Mutual,1489.82,1,4,4
57,TLS Mutual,2781.93,1,4,4
58,TLS Mutual,3548.9,1,4,4
59,TLS Mutual,869.91,1,4,4
60,TLS Mutual,658.63,1,4,4
61,TLS Mutual,6443.02,1,4,4
62,TLS Mutual,659.17,1,4,4
63,TLS Mutual,41.01,1,4,4
64,TLS Mutual,269.69,1,4,4
65,TLS Mutual,8926.02,1,4,4
66,TLS Mutual,459.26,1,4,4
67,TLS Mutual,40.56,1,4,4
68,TLS Mutual,1719.63,1,4,4
69,TLS Mutual,1117.39,1,4,4
70,TLS Mutual,39.61,1,4,4
71,TLS Mutual,6047.1,1,4,4
72,TLS Mutual,40.48,1,4,4
73,TLS Mutual,39.5,1,4,4
74,TLS Mutual,37.41,1,4,4
75,TLS Mutual,39.5,1,4,4
76,TLS Mutual,5688.95,1,4,4
77,TLS Mutual,1699.94,1,4,4
78,TLS Mutual,39.66,1,4,4
79,TLS Mutual,59855.3,1,4,4
80,TLS Mutual,659.25,1,4,4
81,TLS Mutual,273.95,1,4,4
82,TLS Mutual,2548.86,1,4,4
83,TLS Mutual,1742.78,1,4,4
84,TLS Mutual,273.89,1,4,4
85,TLS Mutual,3350.15,1,4,4
86,TLS Mutual,40.15,1,4,4
87,TLS Mutual,2708.68,1,4,4
88,TLS Mutual,2774.04,1,4,4
89,TLS Mutual,39.95,1,4,4
90,TLS Mutual,3321.72,1,4,4
91,TLS Mutual,4776.86,1,4,4
92,TLS Mutual,39.85,1,4,4
93,TLS Mutual,2550.09,1,4,4
94,TLS Mutual,3215.11,1,4,4
95,TLS Mutual,3317.39,1,4,4
96,TLS Mutual,1471.64,1,4,4
97,TLS Mutual,2562.3,1,4,4
98,TLS Mutual,4644.88,1,4,4
99,TLS Mutual,1108.52,1,4,4
100,TLS Mutual,1086.88,1,4,4
101,TLS Mutual,657.76,1,4,4
102,TLS Mutual,2976.57,1,4,4
103,TLS Mutual,39.73,1,4,4
104,TLS Mutual,37.93,1,4,4
105,TLS Mutual,1519.98,1,4,4
106,TLS Mutual,39.53,1,4,4
107,TLS Mutual,2789.8,1,4,4
108,TLS Mutual,38.49,1,4,4
109,TLS Mutual,2091.32,1,4,4
110,TLS Mutual,1508.4,1,4,4
111,TLS Mutual,2139.05,1,4,4
112,TLS Mutual,1504.87,1,4,4
113,TLS Mutual,3159.76,1,4,4
114,TLS Mutual,3962.81,1,4,4
115,TLS Mutual,39.6,1,4,4
116,TLS Mutual,1311.46,1,4,4
117,TLS Mutual,1524.49,1,4,4
118,TLS Mutual,1537.04,1,4,4
119,TLS Mutual,30402.44,1,4,4
120,TLS Mutual,4809.83,1,4,4
121,TLS Mutual,1063.6,1,4,4
122,TLS Mutual,14569.6,1,4,4
123,TLS Mutual,866.5,1,4,4
124,TLS Mutual,867.89,1,4,4
125,TLS Mutual,662.12,1,4,4
