execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,863.33,1,4,4
2,TLS Mutual,265.57,1,4,4
3,TLS Mutual,3794.27,1,4,4
4,TLS Mutual,1471.45,1,4,4
5,TLS Mutual,33.01,1,4,4
6,TLS Mutual,655.94,1,4,4
7,TLS Mutual,29513.43,1,4,4
8,TLS Mutual,7428.66,1,4,4
9,TLS Mutual,1062.45,1,4,4
10,TLS Mutual,NaN,0,4,4
11,TLS Mutual,1080.37,1,4,4
12,TLS Mutual,1074.88,1,4,4
13,TLS Mutual,274.44,1,4,4
14,TLS Mutual,107897.41,1,4,4
15,TLS Mutual,3338.99,1,4,4
16,TLS Mutual,2548.39,1,4,4
17,TLS Mutual,1523.38,1,4,4
18,TLS Mutual,3331.36,1,4,4
19,TLS Mutual,458.92,1,4,4
20,TLS Mutual,31114.36,1,4,4
21,TLS Mutual,19653.04,1,4,4
22,TLS Mutual,1290.72,1,4,4
23,TLS Mutual,7515.83,1,4,4
24,TLS Mutual,3325.69,1,4,4
25,TLS Mutual,32.92,1,4,4
26,TLS Mutual,2102.07,1,4,4
27,TLS Mutual,277.44,1,4,4
28,TLS Mutual,1514.16,1,4,4
29,TLS Mutual,7636.68,1,4,4
30,TLS Mutual,6643.05,1,4,4
31,TLS Mutual,32.34,1,4,4
32,TLS Mutual,3143.82,1,4,4
33,TLS Mutual,32.46,1,4,4
34,TLS Mutual,10567.1,1,4,4
35,TLS Mutual,33.2,1,4,4
36,TLS Mutual,14855.28,1,4,4
37,TLS Mutual,1098.15,1,4,4
38,TLS Mutual,14581.67,1,4,4
39,TLS Mutual,1284.38,1,4,4
40,TLS Mutual,1268.9,1,4,4
41,TLS Mutual,32.47,1,4,4
42,TLS Mutual,1066.56,1,4,4
43,TLS Mutual,275.74,1,4,4
44,TLS Mutual,5416.1,1,4,4
45,TLS Mutual,278.04,1,4,4
46,TLS Mutual,267.56,1,4,4
47,TLS Mutual,885.71,1,4,4
48,TLS Mutual,6298.0,1,4,4
49,TLS Mutual,33.02,1,4,4
50,TLS Mutual,7886.37,1,4,4
51,TLS Mutual,2748.68,1,4,4
52,TLS Mutual,244.89,1,4,4
53,TLS Mutual,32.28,1,4,4
54,TLS Mutual,3335.0,1,4,4
55,TLS Mutual,2724.08,1,4,4
56,TLS Mutual,2539.7,1,4,4
57,TLS Mutual,268.79,1,4,4
58,TLS Mutual,4548.31,1,4,4
59,TLS Mutual,4754.3,1,4,4
60,TLS Mutual,31.98,1,4,4
61,TLS Mutual,31.53,1,4,4
62,TLS Mutual,3724.83,1,4,4
63,TLS Mutual,1306.1,1,4,4
64,TLS Mutual,33.01,1,4,4
65,TLS Mutual,2102.24,1,4,4
66,TLS Mutual,1538.24,1,4,4
67,TLS Mutual,3160.75,1,4,4
68,TLS Mutual,274.44,1,4,4
69,TLS Mutual,857.2,1,4,4
70,TLS Mutual,32.61,1,4,4
71,TLS Mutual,2569.04,1,4,4
72,TLS Mutual,1279.92,1,4,4
73,TLS Mutual,454.56,1,4,4
74,TLS Mutual,33.7,1,4,4
75,TLS Mutual,5415.16,1,4,4
76,TLS Mutual,1078.57,1,4,4
77,TLS Mutual,32.6,1,4,4
78,TLS Mutual,270.41,1,4,4
79,TLS Mutual,649.36,1,4,4
80,TLS Mutual,33.11,1,4,4
81,TLS Mutual,3320.11,1,4,4
82,TLS Mutual,1091.5,1,4,4
83,TLS Mutual,1049.15,1,4,4
84,TLS Mutual,1082.81,1,4,4
85,TLS Mutual,481.26,1,4,4
86,TLS Mutual,4410.2,1,4,4
87,TLS Mutual,7050.77,1,4,4
88,TLS Mutual,3357.58,1,4,4
89,TLS Mutual,2333.14,1,4,4
90,TLS Mutual,269.75,1,4,4
91,TLS Mutual,30.54,1,4,4
92,TLS Mutual,1729.58,1,4,4
93,TLS Mutual,1088.88,1,4,4
94,TLS Mutual,5653.33,1,4,4
95,TLS Mutual,3595.32,1,4,4
96,TLS Mutual,268.5,1,4,4
97,TLS Mutual,5995.4,1,4,4
98,TLS Mutual,7642.71,1,4,4
99,TLS Mutual,3155.8,1,4,4
100,TLS Mutual,860.3,1,4,4
101,TLS Mutual,4151.67,1,4,4
102,TLS Mutual,7218.53,1,4,4
103,TLS Mutual,32.53,1,4,4
104,TLS Mutual,1516.4,1,4,4
105,TLS Mutual,3378.7,1,4,4
106,TLS Mutual,31.04,1,4,4
107,TLS Mutual,6242.6,1,4,4
108,TLS Mutual,1460.31,1,4,4
109,TLS Mutual,275.6,1,4,4
110,TLS Mutual,1071.83,1,4,4
111,TLS Mutual,1288.61,1,4,4
112,TLS Mutual,13545.52,1,4,4
113,TLS Mutual,477.16,1,4,4
114,TLS Mutual,7266.76,1,4,4
115,TLS Mutual,30.86,1,4,4
116,TLS Mutual,2565.08,1,4,4
117,TLS Mutual,2320.68,1,4,4
118,TLS Mutual,2092.74,1,4,4
119,TLS Mutual,651.55,1,4,4
120,TLS Mutual,1675.84,1,4,4
121,TLS Mutual,859.63,1,4,4
122,TLS Mutual,691.79,1,4,4
123,TLS Mutual,270.38,1,4,4
124,TLS Mutual,1712.83,1,4,4
125,TLS Mutual,32.61,1,4,4
