execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,764.83,1,3,4
2,TLS Mutual,1765.66,1,3,4
3,TLS Mutual,2836.03,1,3,4
4,TLS Mutual,1372.94,1,3,4
5,TLS Mutual,2867.54,1,3,4
6,TLS Mutual,2407.09,1,3,4
7,TLS Mutual,27609.63,1,3,4
8,TLS Mutual,6626.22,1,3,4
9,TLS Mutual,130.71,1,3,4
10,TLS Mutual,NaN,0,3,4
11,TLS Mutual,13475.51,1,3,4
12,TLS Mutual,953.61,1,3,4
13,TLS Mutual,7507.73,1,3,4
14,TLS Mutual,330.82,1,3,4
15,TLS Mutual,130.06,1,3,4
16,TLS Mutual,4470.18,1,3,4
17,TLS Mutual,9871.98,1,3,4
18,TLS Mutual,521.65,1,3,4
19,TLS Mutual,6910.97,1,3,4
20,TLS Mutual,129.64,1,3,4
21,TLS Mutual,54269.64,1,3,4
22,TLS Mutual,1130.71,1,3,4
23,TLS Mutual,766.97,1,3,4
24,TLS Mutual,970.38,1,3,4
25,TLS Mutual,356.5,1,3,4
26,TLS Mutual,759.22,1,3,4
27,TLS Mutual,2432.19,1,3,4
28,TLS Mutual,3829.21,1,3,4
29,TLS Mutual,6522.53,1,3,4
30,TLS Mutual,129.6,1,3,4
31,TLS Mutual,56574.89,1,3,4
32,TLS Mutual,4560.38,1,3,4
33,TLS Mutual,3030.93,1,3,4
34,TLS Mutual,23447.47,1,3,4
35,TLS Mutual,21521.54,1,3,4
36,TLS Mutual,4905.47,1,3,4
37,TLS Mutual,2845.37,1,3,4
38,TLS Mutual,4265.54,1,3,4
39,TLS Mutual,6902.78,1,3,4
40,TLS Mutual,4929.81,1,3,4
41,TLS Mutual,15272.48,1,3,4
42,TLS Mutual,365.69,1,3,4
43,TLS Mutual,5530.46,1,3,4
44,TLS Mutual,7553.08,1,3,4
45,TLS Mutual,2018.96,1,3,4
46,TLS Mutual,545.03,1,3,4
47,TLS Mutual,9816.17,1,3,4
48,TLS Mutual,5510.69,1,3,4
49,TLS Mutual,3837.8,1,3,4
50,TLS Mutual,745.69,1,3,4
51,TLS Mutual,20001.24,1,3,4
52,TLS Mutual,4719.31,1,3,4
53,TLS Mutual,375.94,1,3,4
54,TLS Mutual,1342.64,1,3,4
55,TLS Mutual,129.28,1,3,4
56,TLS Mutual,130.79,1,3,4
57,TLS Mutual,130.71,1,3,4
58,TLS Mutual,945.14,1,3,4
59,TLS Mutual,130.77,1,3,4
60,TLS Mutual,2034.31,1,3,4
61,TLS Mutual,1160.06,1,3,4
62,TLS Mutual,338.43,1,3,4
63,TLS Mutual,5884.6,1,3,4
64,TLS Mutual,13469.43,1,3,4
65,TLS Mutual,5083.77,1,3,4
66,TLS Mutual,6535.34,1,3,4
67,TLS Mutual,335.03,1,3,4
68,TLS Mutual,17330.1,1,3,4
69,TLS Mutual,136.35,1,3,4
70,TLS Mutual,4278.43,1,3,4
71,TLS Mutual,129.75,1,3,4
72,TLS Mutual,15777.57,1,3,4
73,TLS Mutual,129.98,1,3,4
74,TLS Mutual,1142.47,1,3,4
75,TLS Mutual,3431.61,1,3,4
76,TLS Mutual,4510.92,1,3,4
77,TLS Mutual,7580.12,1,3,4
78,TLS Mutual,2194.05,1,3,4
79,TLS Mutual,955.71,1,3,4
80,TLS Mutual,2718.97,1,3,4
81,TLS Mutual,129.69,1,3,4
82,TLS Mutual,725.63,1,3,4
83,TLS Mutual,1147.8,1,3,4
84,TLS Mutual,66877.66,1,3,4
85,TLS Mutual,4473.94,1,3,4
86,TLS Mutual,1380.52,1,3,4
87,TLS Mutual,130.04,1,3,4
88,TLS Mutual,1741.38,1,3,4
89,TLS Mutual,4101.87,1,3,4
90,TLS Mutual,16073.81,1,3,4
91,TLS Mutual,4456.82,1,3,4
92,TLS Mutual,14960.32,1,3,4
93,TLS Mutual,130.98,1,3,4
94,TLS Mutual,4469.56,1,3,4
95,TLS Mutual,6755.14,1,3,4
96,TLS Mutual,2179.37,1,3,4
97,TLS Mutual,10846.08,1,3,4
98,TLS Mutual,114978.27,1,3,4
99,TLS Mutual,3677.05,1,3,4
100,TLS Mutual,377.47,1,3,4
101,TLS Mutual,19480.47,1,3,4
102,TLS Mutual,1606.51,1,3,4
103,TLS Mutual,335.12,1,3,4
104,TLS Mutual,2198.78,1,3,4
105,TLS Mutual,6587.62,1,3,4
106,TLS Mutual,4331.91,1,3,4
107,TLS Mutual,4032.96,1,3,4
108,TLS Mutual,61639.29,1,3,4
109,TLS Mutual,22252.17,1,3,4
110,TLS Mutual,16900.52,1,3,4
111,TLS Mutual,2320.75,1,3,4
112,TLS Mutual,14578.36,1,3,4
113,TLS Mutual,20785.85,1,3,4
114,TLS Mutual,2151.84,1,3,4
115,TLS Mutual,130.26,1,3,4
116,TLS Mutual,2994.24,1,3,4
117,TLS Mutual,130.71,1,3,4
118,TLS Mutual,6795.1,1,3,4
119,TLS Mutual,10004.0,1,3,4
120,TLS Mutual,4540.81,1,3,4
121,TLS Mutual,7283.48,1,3,4
122,TLS Mutual,3294.65,1,3,4
123,TLS Mutual,1774.74,1,3,4
124,TLS Mutual,11927.74,1,3,4
125,TLS Mutual,524.47,1,3,4
