execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,466.81,1,2,4
2,TLS Mutual,58.03,1,2,4
3,TLS Mutual,10159.15,1,2,4
4,TLS Mutual,672.35,1,2,4
5,TLS Mutual,1937.7,1,2,4
6,TLS Mutual,2352.74,1,2,4
7,TLS Mutual,4413.88,1,2,4
8,TLS Mutual,49.18,1,2,4
9,TLS Mutual,880.29,1,2,4
10,TLS Mutual,1088.9,1,2,4
11,TLS Mutual,52679.95,1,2,4
12,TLS Mutual,50.38,1,2,4
13,TLS Mutual,49.08,1,2,4
14,TLS Mutual,250.33,1,2,4
15,TLS Mutual,1756.88,1,2,4
16,TLS Mutual,26754.76,1,2,4
17,TLS Mutual,51.44,1,2,4
18,TLS Mutual,2178.82,1,2,4
19,TLS Mutual,55.69,1,2,4
20,TLS Mutual,2555.63,1,2,4
21,TLS Mutual,6622.2,1,2,4
22,TLS Mutual,57.92,1,2,4
23,TLS Mutual,10904.64,1,2,4
24,TLS Mutual,1926.37,1,2,4
25,TLS Mutual,4235.21,1,2,4
26,TLS Mutual,54.35,1,2,4
27,TLS Mutual,1761.87,1,2,4
28,TLS Mutual,5251.1,1,2,4
29,TLS Mutual,3395.26,1,2,4
30,TLS Mutual,1508.11,1,2,4
31,TLS Mutual,678.08,1,2,4
32,TLS Mutual,4224.23,1,2,4
33,TLS Mutual,1981.17,1,2,4
34,TLS Mutual,8106.72,1,2,4
35,TLS Mutual,34923.79,1,2,4
36,TLS Mutual,5422.01,1,2,4
37,TLS Mutual,1580.04,1,2,4
38,TLS Mutual,3393.1,1,2,4
39,TLS Mutual,897.91,1,2,4
40,TLS Mutual,NaN,0,2,4
41,TLS Mutual,55.81,1,2,4
42,TLS Mutual,1268.76,1,2,4
43,TLS Mutual,885.47,1,2,4
44,TLS Mutual,3148.45,1,2,4
45,TLS Mutual,1746.51,1,2,4
46,TLS Mutual,3154.25,1,2,4
47,TLS Mutual,1557.09,1,2,4
48,TLS Mutual,474.47,1,2,4
49,TLS Mutual,50.4,1,2,4
50,TLS Mutual,864.67,1,2,4
51,TLS Mutual,55.13,1,2,4
52,TLS Mutual,49.32,1,2,4
53,TLS Mutual,49.5,1,2,4
54,TLS Mutual,48.93,1,2,4
55,TLS Mutual,48.78,1,2,4
56,TLS Mutual,49.71,1,2,4
57,TLS Mutual,884.47,1,2,4
58,TLS Mutual,1138.86,1,2,4
59,TLS Mutual,13282.81,1,2,4
60,TLS Mutual,50.42,1,2,4
61,TLS Mutual,10643.95,1,2,4
62,TLS Mutual,60406.24,1,2,4
63,TLS Mutual,3584.8,1,2,4
64,TLS Mutual,49.24,1,2,4
65,TLS Mutual,289.43,1,2,4
66,TLS Mutual,50.56,1,2,4
67,TLS Mutual,1327.15,1,2,4
68,TLS Mutual,57.25,1,2,4
69,TLS Mutual,670.55,1,2,4
70,TLS Mutual,2567.28,1,2,4
71,TLS Mutual,6409.15,1,2,4
72,TLS Mutual,1096.82,1,2,4
73,TLS Mutual,50.14,1,2,4
74,TLS Mutual,1674.34,1,2,4
75,TLS Mutual,1736.2,1,2,4
76,TLS Mutual,50.8,1,2,4
77,TLS Mutual,4850.51,1,2,4
78,TLS Mutual,50.49,1,2,4
79,TLS Mutual,286.9,1,2,4
80,TLS Mutual,284.99,1,2,4
81,TLS Mutual,11243.91,1,2,4
82,TLS Mutual,50.43,1,2,4
83,TLS Mutual,1511.19,1,2,4
84,TLS Mutual,19148.81,1,2,4
85,TLS Mutual,51.22,1,2,4
86,TLS Mutual,48.87,1,2,4
87,TLS Mutual,1343.36,1,2,4
88,TLS Mutual,1094.8,1,2,4
89,TLS Mutual,48.95,1,2,4
90,TLS Mutual,446.2,1,2,4
91,TLS Mutual,54.97,1,2,4
92,TLS Mutual,31123.43,1,2,4
93,TLS Mutual,678.39,1,2,4
94,TLS Mutual,3556.37,1,2,4
95,TLS Mutual,2139.48,1,2,4
96,TLS Mutual,51.1,1,2,4
97,TLS Mutual,6617.73,1,2,4
98,TLS Mutual,1913.85,1,2,4
99,TLS Mutual,6415.2,1,2,4
100,TLS Mutual,13384.51,1,2,4
101,TLS Mutual,8729.76,1,2,4
102,TLS Mutual,249.75,1,2,4
103,TLS Mutual,54.6,1,2,4
104,TLS Mutual,255.79,1,2,4
105,TLS Mutual,295.11,1,2,4
106,TLS Mutual,677.56,1,2,4
107,TLS Mutual,51.46,1,2,4
108,TLS Mutual,255.41,1,2,4
109,TLS Mutual,2156.13,1,2,4
110,TLS Mutual,1511.06,1,2,4
111,TLS Mutual,289.73,1,2,4
112,TLS Mutual,6466.91,1,2,4
113,TLS Mutual,1102.13,1,2,4
114,TLS Mutual,289.06,1,2,4
115,TLS Mutual,286.06,1,2,4
116,TLS Mutual,672.84,1,2,4
117,TLS Mutual,53.43,1,2,4
118,TLS Mutual,445.73,1,2,4
119,TLS Mutual,294.21,1,2,4
120,TLS Mutual,1117.09,1,2,4
121,TLS Mutual,255.36,1,2,4
122,TLS Mutual,3412.62,1,2,4
123,TLS Mutual,292.58,1,2,4
124,TLS Mutual,52.23,1,2,4
125,TLS Mutual,2126.69,1,2,4
