execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,15.71,1,2,4
2,TLS Mutual,14.0,1,2,4
3,TLS Mutual,242.45,1,2,4
4,TLS Mutual,15.4,1,2,4
5,TLS Mutual,1068.32,1,2,4
6,TLS Mutual,3132.48,1,2,4
7,TLS Mutual,15.31,1,2,4
8,TLS Mutual,1027.41,1,2,4
9,TLS Mutual,1295.22,1,2,4
10,TLS Mutual,636.95,1,2,4
11,TLS Mutual,15.63,1,2,4
12,TLS Mutual,639.34,1,2,4
13,TLS Mutual,241.79,1,2,4
14,TLS Mutual,2068.45,1,2,4
15,TLS Mutual,1708.78,1,2,4
16,TLS Mutual,2104.07,1,2,4
17,TLS Mutual,1286.83,1,2,4
18,TLS Mutual,15.56,1,2,4
19,TLS Mutual,14.58,1,2,4
20,TLS Mutual,14.22,1,2,4
21,TLS Mutual,18.5,1,2,4
22,TLS Mutual,1070.5,1,2,4
23,TLS Mutual,250.09,1,2,4
24,TLS Mutual,1253.93,1,2,4
25,TLS Mutual,1492.75,1,2,4
26,TLS Mutual,15.25,1,2,4
27,TLS Mutual,2083.43,1,2,4
28,TLS Mutual,15.64,1,2,4
29,TLS Mutual,15.57,1,2,4
30,TLS Mutual,1081.38,1,2,4
31,TLS Mutual,1888.6,1,2,4
32,TLS Mutual,15.49,1,2,4
33,TLS Mutual,15.18,1,2,4
34,TLS Mutual,14.94,1,2,4
35,TLS Mutual,249.28,1,2,4
36,TLS Mutual,3310.27,1,2,4
37,TLS Mutual,7867.68,1,2,4
38,TLS Mutual,4987.32,1,2,4
39,TLS Mutual,445.3,1,2,4
40,TLS Mutual,15.62,1,2,4
41,TLS Mutual,242.68,1,2,4
42,TLS Mutual,14.9,1,2,4
43,TLS Mutual,14.58,1,2,4
44,TLS Mutual,1290.49,1,2,4
45,TLS Mutual,5135.69,1,2,4
46,TLS Mutual,19.87,1,2,4
47,TLS Mutual,246.81,1,2,4
48,TLS Mutual,642.98,1,2,4
49,TLS Mutual,3339.48,1,2,4
50,TLS Mutual,2882.19,1,2,4
51,TLS Mutual,1495.18,1,2,4
52,TLS Mutual,1869.79,1,2,4
53,TLS Mutual,14699.17,1,2,4
54,TLS Mutual,636.19,1,2,4
55,TLS Mutual,242.28,1,2,4
56,TLS Mutual,3111.05,1,2,4
57,TLS Mutual,15.37,1,2,4
58,TLS Mutual,14.78,1,2,4
59,TLS Mutual,1085.1,1,2,4
60,TLS Mutual,15.93,1,2,4
61,TLS Mutual,14.5,1,2,4
62,TLS Mutual,14.95,1,2,4
63,TLS Mutual,13147.31,1,2,4
64,TLS Mutual,3138.09,1,2,4
65,TLS Mutual,3739.7,1,2,4
66,TLS Mutual,15.89,1,2,4
67,TLS Mutual,1050.16,1,2,4
68,TLS Mutual,1071.55,1,2,4
69,TLS Mutual,4408.06,1,2,4
70,TLS Mutual,1445.17,1,2,4
71,TLS Mutual,16.6,1,2,4
72,TLS Mutual,16.93,1,2,4
73,TLS Mutual,15.54,1,2,4
74,TLS Mutual,1054.56,1,2,4
75,TLS Mutual,17.04,1,2,4
76,TLS Mutual,1882.21,1,2,4
77,TLS Mutual,1278.81,1,2,4
78,TLS Mutual,3101.95,1,2,4
79,TLS Mutual,15.61,1,2,4
80,TLS Mutual,6432.4,1,2,4
81,TLS Mutual,15.33,1,2,4
82,TLS Mutual,15.83,1,2,4
83,TLS Mutual,1888.88,1,2,4
84,TLS Mutual,15.27,1,2,4
85,TLS Mutual,15.04,1,2,4
86,TLS Mutual,17.93,1,2,4
87,TLS Mutual,14.4,1,2,4
88,TLS Mutual,14.79,1,2,4
89,TLS Mutual,438.07,1,2,4
90,TLS Mutual,8701.61,1,2,4
91,TLS Mutual,24.96,1,2,4
92,TLS Mutual,15.57,1,2,4
93,TLS Mutual,14.44,1,2,4
94,TLS Mutual,1447.02,1,2,4
95,TLS Mutual,1454.1,1,2,4
96,TLS Mutual,858.12,1,2,4
97,TLS Mutual,1272.46,1,2,4
98,TLS Mutual,15.5,1,2,4
99,TLS Mutual,14.87,1,2,4
100,TLS Mutual,1042.61,1,2,4
101,TLS Mutual,15.92,1,2,4
102,TLS Mutual,18.95,1,2,4
103,TLS Mutual,1074.62,1,2,4
104,TLS Mutual,15.76,1,2,4
105,TLS Mutual,1266.37,1,2,4
106,TLS Mutual,15.72,1,2,4
107,TLS Mutual,14.86,1,2,4
108,TLS Mutual,15.8,1,2,4
109,TLS Mutual,1092.29,1,2,4
110,TLS Mutual,244.68,1,2,4
111,TLS Mutual,431.31,1,2,4
112,TLS Mutual,52507.68,1,2,4
113,TLS Mutual,22.04,1,2,4
114,TLS Mutual,20.01,1,2,4
115,TLS Mutual,3127.6,1,2,4
116,TLS Mutual,15.71,1,2,4
117,TLS Mutual,1454.31,1,2,4
118,TLS Mutual,1045.58,1,2,4
119,TLS Mutual,231.75,1,2,4
120,TLS Mutual,16.27,1,2,4
121,TLS Mutual,1078.42,1,2,4
122,TLS Mutual,1258.96,1,2,4
123,TLS Mutual,1498.41,1,2,4
124,TLS Mutual,241.01,1,2,4
125,TLS Mutual,1068.95,1,2,4
