execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,1925.61,1,3,4
2,TLS Mutual,885.09,1,3,4
3,TLS Mutual,56.68,1,3,4
4,TLS Mutual,675.16,1,3,4
5,TLS Mutual,6441.99,1,3,4
6,TLS Mutual,1907.67,1,3,4
7,TLS Mutual,257.03,1,3,4
8,TLS Mutual,14305.72,1,3,4
9,TLS Mutual,1107.32,1,3,4
10,TLS Mutual,2148.43,1,3,4
11,TLS Mutual,293.07,1,3,4
12,TLS Mutual,6276.86,1,3,4
13,TLS Mutual,52.33,1,3,4
14,TLS Mutual,1300.18,1,3,4
15,TLS Mutual,2769.46,1,3,4
16,TLS Mutual,3363.65,1,3,4
17,TLS Mutual,5617.93,1,3,4
18,TLS Mutual,293.74,1,3,4
19,TLS Mutual,674.54,1,3,4
20,TLS Mutual,4138.18,1,3,4
21,TLS Mutual,677.56,1,3,4
22,TLS Mutual,255.77,1,3,4
23,TLS Mutual,678.19,1,3,4
24,TLS Mutual,1676.07,1,3,4
25,TLS Mutual,56.88,1,3,4
26,TLS Mutual,50.52,1,3,4
27,TLS Mutual,3005.24,1,3,4
28,TLS Mutual,257.71,1,3,4
29,TLS Mutual,1296.56,1,3,4
30,TLS Mutual,674.77,1,3,4
31,TLS Mutual,476.65,1,3,4
32,TLS Mutual,52.84,1,3,4
33,TLS Mutual,50.35,1,3,4
34,TLS Mutual,3421.64,1,3,4
35,TLS Mutual,1120.91,1,3,4
36,TLS Mutual,1295.22,1,3,4
37,TLS Mutual,891.25,1,3,4
38,TLS Mutual,2554.09,1,3,4
39,TLS Mutual,56.69,1,3,4
40,TLS Mutual,35438.79,1,3,4
41,TLS Mutual,256.78,1,3,4
42,TLS Mutual,11255.24,1,3,4
43,TLS Mutual,910.81,1,3,4
44,TLS Mutual,269.3,1,3,4
45,TLS Mutual,54.64,1,3,4
46,TLS Mutual,9554.07,1,3,4
47,TLS Mutual,2129.21,1,3,4
48,TLS Mutual,15340.35,1,3,4
49,TLS Mutual,54.48,1,3,4
50,TLS Mutual,1333.69,1,3,4
51,TLS Mutual,1304.37,1,3,4
52,TLS Mutual,58.12,1,3,4
53,TLS Mutual,675.53,1,3,4
54,TLS Mutual,257.5,1,3,4
55,TLS Mutual,56.3,1,3,4
56,TLS Mutual,453.28,1,3,4
57,TLS Mutual,2120.7,1,3,4
58,TLS Mutual,2154.55,1,3,4
59,TLS Mutual,7476.86,1,3,4
60,TLS Mutual,1504.2,1,3,4
61,TLS Mutual,108932.27,1,3,4
62,TLS Mutual,2140.58,1,3,4
63,TLS Mutual,53.93,1,3,4
64,TLS Mutual,51.07,1,3,4
65,TLS Mutual,294.83,1,3,4
66,TLS Mutual,1742.41,1,3,4
67,TLS Mutual,4993.91,1,3,4
68,TLS Mutual,1277.75,1,3,4
69,TLS Mutual,1505.71,1,3,4
70,TLS Mutual,1071.56,1,3,4
71,TLS Mutual,4589.19,1,3,4
72,TLS Mutual,5676.21,1,3,4
73,TLS Mutual,256.29,1,3,4
74,TLS Mutual,58.25,1,3,4
75,TLS Mutual,288.01,1,3,4
76,TLS Mutual,288.73,1,3,4
77,TLS Mutual,53.74,1,3,4
78,TLS Mutual,1103.78,1,3,4
79,TLS Mutual,4365.27,1,3,4
80,TLS Mutual,292.92,1,3,4
81,TLS Mutual,52.74,1,3,4
82,TLS Mutual,1083.39,1,3,4
83,TLS Mutual,2352.52,1,3,4
84,TLS Mutual,1715.1,1,3,4
85,TLS Mutual,51.96,1,3,4
86,TLS Mutual,294.9,1,3,4
87,TLS Mutual,53.86,1,3,4
88,TLS Mutual,8043.36,1,3,4
89,TLS Mutual,1933.69,1,3,4
90,TLS Mutual,53.25,1,3,4
91,TLS Mutual,293.23,1,3,4
92,TLS Mutual,1281.34,1,3,4
93,TLS Mutual,7518.58,1,3,4
94,TLS Mutual,1304.9,1,3,4
95,TLS Mutual,54.71,1,3,4
96,TLS Mutual,671.38,1,3,4
97,TLS Mutual,292.26,1,3,4
98,TLS Mutual,13017.96,1,3,4
99,TLS Mutual,11499.15,1,3,4
100,TLS Mutual,1544.69,1,3,4
101,TLS Mutual,5810.41,1,3,4
102,TLS Mutual,53.5,1,3,4
103,TLS Mutual,3812.32,1,3,4
104,TLS Mutual,52.6,1,3,4
105,TLS Mutual,50.4,1,3,4
106,TLS Mutual,50.69,1,3,4
107,TLS Mutual,449.8,1,3,4
108,TLS Mutual,1503.41,1,3,4
109,TLS Mutual,872.56,1,3,4
110,TLS Mutual,3804.14,1,3,4
111,TLS Mutual,2315.34,1,3,4
112,TLS Mutual,2602.18,1,3,4
113,TLS Mutual,7266.92,1,3,4
114,TLS Mutual,51.2,1,3,4
115,TLS Mutual,50.13,1,3,4
116,TLS Mutual,50.7,1,3,4
117,TLS Mutual,683.4,1,3,4
118,TLS Mutual,51.98,1,3,4
119,TLS Mutual,293.57,1,3,4
120,TLS Mutual,106384.29,1,3,4
121,TLS Mutual,256.11,1,3,4
122,TLS Mutual,1320.58,1,3,4
123,TLS Mutual,676.12,1,3,4
124,TLS Mutual,1507.97,1,3,4
125,TLS Mutual,1092.13,1,3,4
