execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,10.07,1,2,4
2,TLS Mutual,9.61,1,2,4
3,TLS Mutual,9.1,1,2,4
4,TLS Mutual,1070.38,1,2,4
5,TLS Mutual,1070.36,1,2,4
6,TLS Mutual,12.25,1,2,4
7,TLS Mutual,239.67,1,2,4
8,TLS Mutual,1033.0,1,2,4
9,TLS Mutual,644.56,1,2,4
10,TLS Mutual,10.03,1,2,4
11,TLS Mutual,13.94,1,2,4
12,TLS Mutual,1086.84,1,2,4
13,TLS Mutual,1490.16,1,2,4
14,TLS Mutual,5426.52,1,2,4
15,TLS Mutual,11.12,1,2,4
16,TLS Mutual,1463.63,1,2,4
17,TLS Mutual,1048.49,1,2,4
18,TLS Mutual,10.64,1,2,4
19,TLS Mutual,9.94,1,2,4
20,TLS Mutual,5329.0,1,2,4
21,TLS Mutual,1059.43,1,2,4
22,TLS Mutual,1078.86,1,2,4
23,TLS Mutual,9.95,1,2,4
24,TLS Mutual,1460.86,1,2,4
25,TLS Mutual,3505.81,1,2,4
26,TLS Mutual,239.21,1,2,4
27,TLS Mutual,1261.27,1,2,4
28,TLS Mutual,25027.47,1,2,4
29,TLS Mutual,1654.41,1,2,4
30,TLS Mutual,9.9,1,2,4
31,TLS Mutual,1274.27,1,2,4
32,TLS Mutual,11.08,1,2,4
33,TLS Mutual,1022.38,1,2,4
34,TLS Mutual,4347.41,1,2,4
35,TLS Mutual,10.91,1,2,4
36,TLS Mutual,2697.34,1,2,4
37,TLS Mutual,1281.32,1,2,4
38,TLS Mutual,10.79,1,2,4
39,TLS Mutual,3906.05,1,2,4
40,TLS Mutual,3274.03,1,2,4
41,TLS Mutual,15.15,1,2,4
42,TLS Mutual,9.53,1,2,4
43,TLS Mutual,9.47,1,2,4
44,TLS Mutual,NaN,0,2,4
45,TLS Mutual,238.94,1,2,4
46,TLS Mutual,9.73,1,2,4
47,TLS Mutual,220.87,1,2,4
48,TLS Mutual,13.28,1,2,4
49,TLS Mutual,5822.65,1,2,4
50,TLS Mutual,5390.77,1,2,4
51,TLS Mutual,236.69,1,2,4
52,TLS Mutual,28082.25,1,2,4
53,TLS Mutual,2262.61,1,2,4
54,TLS Mutual,1266.5,1,2,4
55,TLS Mutual,3312.31,1,2,4
56,TLS Mutual,1473.65,1,2,4
57,TLS Mutual,1045.32,1,2,4
58,TLS Mutual,238.38,1,2,4
59,TLS Mutual,651.95,1,2,4
60,TLS Mutual,9.62,1,2,4
61,TLS Mutual,9.76,1,2,4
62,TLS Mutual,1050.81,1,2,4
63,TLS Mutual,15748.06,1,2,4
64,TLS Mutual,2100.52,1,2,4
65,TLS Mutual,9.53,1,2,4
66,TLS Mutual,14.77,1,2,4
67,TLS Mutual,9.27,1,2,4
68,TLS Mutual,1462.91,1,2,4
69,TLS Mutual,11.06,1,2,4
70,TLS Mutual,11.01,1,2,4
71,TLS Mutual,2083.48,1,2,4
72,TLS Mutual,9.91,1,2,4
73,TLS Mutual,1052.07,1,2,4
74,TLS Mutual,15.19,1,2,4
75,TLS Mutual,10.77,1,2,4
76,TLS Mutual,9.39,1,2,4
77,TLS Mutual,14.41,1,2,4
78,TLS Mutual,10.78,1,2,4
79,TLS Mutual,1222.19,1,2,4
80,TLS Mutual,240.39,1,2,4
81,TLS Mutual,230.05,1,2,4
82,TLS Mutual,11.57,1,2,4
83,TLS Mutual,21323.38,1,2,4
84,TLS Mutual,3122.18,1,2,4
85,TLS Mutual,3108.48,1,2,4
86,TLS Mutual,1484.64,1,2,4
87,TLS Mutual,9.86,1,2,4
88,TLS Mutual,6409.57,1,2,4
89,TLS Mutual,1053.83,1,2,4
90,TLS Mutual,14.06,1,2,4
91,TLS Mutual,9.46,1,2,4
92,TLS Mutual,9.25,1,2,4
93,TLS Mutual,9.52,1,2,4
94,TLS Mutual,6611.38,1,2,4
95,TLS Mutual,3124.43,1,2,4
96,TLS Mutual,12.24,1,2,4
97,TLS Mutual,1266.2,1,2,4
98,TLS Mutual,237.38,1,2,4
99,TLS Mutual,8012.06,1,2,4
100,TLS Mutual,15.9,1,2,4
101,TLS Mutual,4379.1,1,2,4
102,TLS Mutual,434.23,1,2,4
103,TLS Mutual,11.05,1,2,4
104,TLS Mutual,9.59,1,2,4
105,TLS Mutual,14478.69,1,2,4
106,TLS Mutual,1498.97,1,2,4
107,TLS Mutual,240.49,1,2,4
108,TLS Mutual,1221.11,1,2,4
109,TLS Mutual,1060.24,1,2,4
110,TLS Mutual,9.92,1,2,4
111,TLS Mutual,1254.13,1,2,4
112,TLS Mutual,238.71,1,2,4
113,TLS Mutual,630.3,1,2,4
114,TLS Mutual,11.02,1,2,4
115,TLS Mutual,1232.14,1,2,4
116,TLS Mutual,2496.28,1,2,4
117,TLS Mutual,1491.12,1,2,4
118,TLS Mutual,11.14,1,2,4
119,TLS Mutual,240.32,1,2,4
120,TLS Mutual,13.56,1,2,4
121,TLS Mutual,645.45,1,2,4
122,TLS Mutual,10.33,1,2,4
123,TLS Mutual,1864.4,1,2,4
124,TLS Mutual,10.74,1,2,4
125,TLS Mutual,10.51,1,2,4
