execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,1021.25,1,3,4
2,TLS Mutual,2108.63,1,3,4
3,TLS Mutual,9.14,1,3,4
4,TLS Mutual,1052.12,1,3,4
5,TLS Mutual,1278.07,1,3,4
6,TLS Mutual,2063.02,1,3,4
7,TLS Mutual,1839.63,1,3,4
8,TLS Mutual,1446.55,1,3,4
9,TLS Mutual,2458.45,1,3,4
10,TLS Mutual,1039.15,1,3,4
11,TLS Mutual,8.0,1,3,4
12,TLS Mutual,1489.45,1,3,4
13,TLS Mutual,12.31,1,3,4
14,TLS Mutual,9.12,1,3,4
15,TLS Mutual,1666.17,1,3,4
16,TLS Mutual,9.88,1,3,4
17,TLS Mutual,1052.42,1,3,4
18,TLS Mutual,234.02,1,3,4
19,TLS Mutual,20.02,1,3,4
20,TLS Mutual,NaN,0,3,4
21,TLS Mutual,10.21,1,3,4
22,TLS Mutual,426.97,1,3,4
23,TLS Mutual,1020.88,1,3,4
24,TLS Mutual,836.85,1,3,4
25,TLS Mutual,3101.35,1,3,4
26,TLS Mutual,1276.12,1,3,4
27,TLS Mutual,9.92,1,3,4
28,TLS Mutual,9.7,1,3,4
29,TLS Mutual,1665.31,1,3,4
30,TLS Mutual,8.8,1,3,4
31,TLS Mutual,1245.43,1,3,4
32,TLS Mutual,9.33,1,3,4
33,TLS Mutual,3290.9,1,3,4
34,TLS Mutual,10.6,1,3,4
35,TLS Mutual,9.23,1,3,4
36,TLS Mutual,11255.27,1,3,4
37,TLS Mutual,9.53,1,3,4
38,TLS Mutual,1062.88,1,3,4
39,TLS Mutual,9.28,1,3,4
40,TLS Mutual,1236.27,1,3,4
41,TLS Mutual,10.07,1,3,4
42,TLS Mutual,10.06,1,3,4
43,TLS Mutual,9.18,1,3,4
44,TLS Mutual,9.4,1,3,4
45,TLS Mutual,9.38,1,3,4
46,TLS Mutual,423.0,1,3,4
47,TLS Mutual,10.23,1,3,4
48,TLS Mutual,830.72,1,3,4
49,TLS Mutual,228.17,1,3,4
50,TLS Mutual,15.42,1,3,4
51,TLS Mutual,425.67,1,3,4
52,TLS Mutual,437.74,1,3,4
53,TLS Mutual,1268.23,1,3,4
54,TLS Mutual,1250.41,1,3,4
55,TLS Mutual,1881.47,1,3,4
56,TLS Mutual,10.22,1,3,4
57,TLS Mutual,10.11,1,3,4
58,TLS Mutual,10.0,1,3,4
59,TLS Mutual,9.35,1,3,4
60,TLS Mutual,8.29,1,3,4
61,TLS Mutual,8.75,1,3,4
62,TLS Mutual,8.84,1,3,4
63,TLS Mutual,8.56,1,3,4
64,TLS Mutual,8.12,1,3,4
65,TLS Mutual,8.14,1,3,4
66,TLS Mutual,425.6,1,3,4
67,TLS Mutual,1481.26,1,3,4
68,TLS Mutual,438.65,1,3,4
69,TLS Mutual,1031.3,1,3,4
70,TLS Mutual,1644.23,1,3,4
71,TLS Mutual,3136.77,1,3,4
72,TLS Mutual,1069.82,1,3,4
73,TLS Mutual,227.95,1,3,4
74,TLS Mutual,1681.67,1,3,4
75,TLS Mutual,1077.33,1,3,4
76,TLS Mutual,10.23,1,3,4
77,TLS Mutual,8.68,1,3,4
78,TLS Mutual,8.44,1,3,4
79,TLS Mutual,8.92,1,3,4
80,TLS Mutual,1049.7,1,3,4
81,TLS Mutual,8.98,1,3,4
82,TLS Mutual,3736.52,1,3,4
83,TLS Mutual,1076.37,1,3,4
84,TLS Mutual,2096.67,1,3,4
85,TLS Mutual,3306.57,1,3,4
86,TLS Mutual,1073.4,1,3,4
87,TLS Mutual,10.22,1,3,4
88,TLS Mutual,1265.68,1,3,4
89,TLS Mutual,1058.38,1,3,4
90,TLS Mutual,1679.59,1,3,4
91,TLS Mutual,1076.09,1,3,4
92,TLS Mutual,1073.42,1,3,4
93,TLS Mutual,10.2,1,3,4
94,TLS Mutual,1060.39,1,3,4
95,TLS Mutual,1052.19,1,3,4
96,TLS Mutual,229.16,1,3,4
97,TLS Mutual,227.45,1,3,4
98,TLS Mutual,8.75,1,3,4
99,TLS Mutual,9.11,1,3,4
100,TLS Mutual,225.25,1,3,4
101,TLS Mutual,8.89,1,3,4
102,TLS Mutual,10.29,1,3,4
103,TLS Mutual,1076.5,1,3,4
104,TLS Mutual,843.72,1,3,4
105,TLS Mutual,229.15,1,3,4
106,TLS Mutual,3080.47,1,3,4
107,TLS Mutual,231.91,1,3,4
108,TLS Mutual,1078.55,1,3,4
109,TLS Mutual,10.92,1,3,4
110,TLS Mutual,1250.45,1,3,4
111,TLS Mutual,1884.67,1,3,4
112,TLS Mutual,1019.28,1,3,4
113,TLS Mutual,1496.38,1,3,4
114,TLS Mutual,1246.79,1,3,4
115,TLS Mutual,439.34,1,3,4
116,TLS Mutual,1051.1,1,3,4
117,TLS Mutual,1460.57,1,3,4
118,TLS Mutual,828.5,1,3,4
119,TLS Mutual,2056.53,1,3,4
120,TLS Mutual,1276.69,1,3,4
121,TLS Mutual,10.48,1,3,4
122,TLS Mutual,228.85,1,3,4
123,TLS Mutual,1035.35,1,3,4
124,TLS Mutual,9.86,1,3,4
125,TLS Mutual,1057.36,1,3,4
