execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,1030.18,1,4,4
2,TLS Mutual,1279.76,1,4,4
3,TLS Mutual,10.86,1,4,4
4,TLS Mutual,235.09,1,4,4
5,TLS Mutual,239.15,1,4,4
6,TLS Mutual,11.1,1,4,4
7,TLS Mutual,236.2,1,4,4
8,TLS Mutual,1840.71,1,4,4
9,TLS Mutual,12.92,1,4,4
10,TLS Mutual,10.44,1,4,4
11,TLS Mutual,239.25,1,4,4
12,TLS Mutual,4101.0,1,4,4
13,TLS Mutual,3343.6,1,4,4
14,TLS Mutual,433.99,1,4,4
15,TLS Mutual,1038.19,1,4,4
16,TLS Mutual,431.43,1,4,4
17,TLS Mutual,1078.79,1,4,4
18,TLS Mutual,236.63,1,4,4
19,TLS Mutual,6578.21,1,4,4
20,TLS Mutual,10.89,1,4,4
21,TLS Mutual,10.48,1,4,4
22,TLS Mutual,1867.42,1,4,4
23,TLS Mutual,231.86,1,4,4
24,TLS Mutual,236.79,1,4,4
25,TLS Mutual,11.98,1,4,4
26,TLS Mutual,10.36,1,4,4
27,TLS Mutual,11.55,1,4,4
28,TLS Mutual,1059.28,1,4,4
29,TLS Mutual,11.71,1,4,4
30,TLS Mutual,1270.94,1,4,4
31,TLS Mutual,7187.34,1,4,4
32,TLS Mutual,1071.15,1,4,4
33,TLS Mutual,11.4,1,4,4
34,TLS Mutual,1272.2,1,4,4
35,TLS Mutual,3295.16,1,4,4
36,TLS Mutual,2086.14,1,4,4
37,TLS Mutual,10.62,1,4,4
38,TLS Mutual,10.95,1,4,4
39,TLS Mutual,1455.66,1,4,4
40,TLS Mutual,10.64,1,4,4
41,TLS Mutual,10.85,1,4,4
42,TLS Mutual,233.66,1,4,4
43,TLS Mutual,10.7,1,4,4
44,TLS Mutual,1044.0,1,4,4
45,TLS Mutual,18.34,1,4,4
46,TLS Mutual,14.7,1,4,4
47,TLS Mutual,10.64,1,4,4
48,TLS Mutual,1230.83,1,4,4
49,TLS Mutual,105443.45,1,4,4
50,TLS Mutual,11.96,1,4,4
51,TLS Mutual,440.99,1,4,4
52,TLS Mutual,10.47,1,4,4
53,TLS Mutual,10.37,1,4,4
54,TLS Mutual,1269.18,1,4,4
55,TLS Mutual,11.45,1,4,4
56,TLS Mutual,834.16,1,4,4
57,TLS Mutual,441.44,1,4,4
58,TLS Mutual,238.08,1,4,4
59,TLS Mutual,4340.0,1,4,4
60,TLS Mutual,1266.06,1,4,4
61,TLS Mutual,11.39,1,4,4
62,TLS Mutual,424.19,1,4,4
63,TLS Mutual,12.19,1,4,4
64,TLS Mutual,427.21,1,4,4
65,TLS Mutual,1234.61,1,4,4
66,TLS Mutual,425.14,1,4,4
67,TLS Mutual,441.79,1,4,4
68,TLS Mutual,1061.88,1,4,4
69,TLS Mutual,853.03,1,4,4
70,TLS Mutual,224.46,1,4,4
71,TLS Mutual,2064.74,1,4,4
72,TLS Mutual,12.04,1,4,4
73,TLS Mutual,10.79,1,4,4
74,TLS Mutual,233.44,1,4,4
75,TLS Mutual,1447.98,1,4,4
76,TLS Mutual,440.78,1,4,4
77,TLS Mutual,232.31,1,4,4
78,TLS Mutual,1038.13,1,4,4
79,TLS Mutual,239.58,1,4,4
80,TLS Mutual,447.38,1,4,4
81,TLS Mutual,231.55,1,4,4
82,TLS Mutual,10.32,1,4,4
83,TLS Mutual,10.3,1,4,4
84,TLS Mutual,1075.56,1,4,4
85,TLS Mutual,10.66,1,4,4
86,TLS Mutual,11.65,1,4,4
87,TLS Mutual,9.99,1,4,4
88,TLS Mutual,6445.43,1,4,4
89,TLS Mutual,11.55,1,4,4
90,TLS Mutual,441.5,1,4,4
91,TLS Mutual,1880.96,1,4,4
92,TLS Mutual,431.23,1,4,4
93,TLS Mutual,4135.55,1,4,4
94,TLS Mutual,9.91,1,4,4
95,TLS Mutual,1057.63,1,4,4
96,TLS Mutual,10.93,1,4,4
97,TLS Mutual,12.09,1,4,4
98,TLS Mutual,5374.85,1,4,4
99,TLS Mutual,1034.41,1,4,4
100,TLS Mutual,237.37,1,4,4
101,TLS Mutual,237.18,1,4,4
102,TLS Mutual,427.36,1,4,4
103,TLS Mutual,1258.15,1,4,4
104,TLS Mutual,11.07,1,4,4
105,TLS Mutual,1457.23,1,4,4
106,TLS Mutual,234.96,1,4,4
107,TLS Mutual,233.73,1,4,4
108,TLS Mutual,13081.49,1,4,4
109,TLS Mutual,232.76,1,4,4
110,TLS Mutual,10.9,1,4,4
111,TLS Mutual,10.36,1,4,4
112,TLS Mutual,9.89,1,4,4
113,TLS Mutual,9.86,1,4,4
114,TLS Mutual,236.58,1,4,4
115,TLS Mutual,11.27,1,4,4
116,TLS Mutual,233.16,1,4,4
117,TLS Mutual,20.02,1,4,4
118,TLS Mutual,2703.7,1,4,4
119,TLS Mutual,426.84,1,4,4
120,TLS Mutual,1021.01,1,4,4
121,TLS Mutual,1073.92,1,4,4
122,TLS Mutual,1077.53,1,4,4
123,TLS Mutual,11.43,1,4,4
124,TLS Mutual,837.39,1,4,4
125,TLS Mutual,1849.83,1,4,4
