execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,12.93,1,3,4
2,TLS Mutual,8.47,1,3,4
3,TLS Mutual,1486.97,1,3,4
4,TLS Mutual,1040.62,1,3,4
5,TLS Mutual,239.72,1,3,4
6,TLS Mutual,15.39,1,3,4
7,TLS Mutual,8.82,1,3,4
8,TLS Mutual,8.72,1,3,4
9,TLS Mutual,8.53,1,3,4
10,TLS Mutual,8.32,1,3,4
11,TLS Mutual,8.13,1,3,4
12,TLS Mutual,8.48,1,3,4
13,TLS Mutual,1886.78,1,3,4
14,TLS Mutual,9.34,1,3,4
15,TLS Mutual,8.73,1,3,4
16,TLS Mutual,1467.51,1,3,4
17,TLS Mutual,239.98,1,3,4
18,TLS Mutual,10.09,1,3,4
19,TLS Mutual,635.88,1,3,4
20,TLS Mutual,15.41,1,3,4
21,TLS Mutual,2683.07,1,3,4
22,TLS Mutual,237.17,1,3,4
23,TLS Mutual,3136.64,1,3,4
24,TLS Mutual,9.9,1,3,4
25,TLS Mutual,238.38,1,3,4
26,TLS Mutual,9.8,1,3,4
27,TLS Mutual,1477.17,1,3,4
28,TLS Mutual,9.21,1,3,4
29,TLS Mutual,8.81,1,3,4
30,TLS Mutual,8.93,1,3,4
31,TLS Mutual,9.29,1,3,4
32,TLS Mutual,628.24,1,3,4
33,TLS Mutual,10.12,1,3,4
34,TLS Mutual,8.69,1,3,4
35,TLS Mutual,1500.25,1,3,4
36,TLS Mutual,3119.83,1,3,4
37,TLS Mutual,8662.67,1,3,4
38,TLS Mutual,10.06,1,3,4
39,TLS Mutual,8.97,1,3,4
40,TLS Mutual,1260.31,1,3,4
41,TLS Mutual,9.13,1,3,4
42,TLS Mutual,1496.21,1,3,4
43,TLS Mutual,233.62,1,3,4
44,TLS Mutual,18.45,1,3,4
45,TLS Mutual,10.52,1,3,4
46,TLS Mutual,6423.36,1,3,4
47,TLS Mutual,1055.56,1,3,4
48,TLS Mutual,1431.77,1,3,4
49,TLS Mutual,11.48,1,3,4
50,TLS Mutual,2042.7,1,3,4
51,TLS Mutual,236.37,1,3,4
52,TLS Mutual,14.26,1,3,4
53,TLS Mutual,8.93,1,3,4
54,TLS Mutual,239.85,1,3,4
55,TLS Mutual,1846.43,1,3,4
56,TLS Mutual,3143.21,1,3,4
57,TLS Mutual,443.79,1,3,4
58,TLS Mutual,1046.0,1,3,4
59,TLS Mutual,10.13,1,3,4
60,TLS Mutual,3363.94,1,3,4
61,TLS Mutual,1066.67,1,3,4
62,TLS Mutual,839.62,1,3,4
63,TLS Mutual,9.98,1,3,4
64,TLS Mutual,9.05,1,3,4
65,TLS Mutual,2918.24,1,3,4
66,TLS Mutual,1021.46,1,3,4
67,TLS Mutual,9.89,1,3,4
68,TLS Mutual,1063.06,1,3,4
69,TLS Mutual,1881.76,1,3,4
70,TLS Mutual,9.26,1,3,4
71,TLS Mutual,8.66,1,3,4
72,TLS Mutual,2050.49,1,3,4
73,TLS Mutual,8.91,1,3,4
74,TLS Mutual,1873.9,1,3,4
75,TLS Mutual,10.78,1,3,4
76,TLS Mutual,840.96,1,3,4
77,TLS Mutual,237.72,1,3,4
78,TLS Mutual,2476.61,1,3,4
79,TLS Mutual,1029.74,1,3,4
80,TLS Mutual,9.26,1,3,4
81,TLS Mutual,2898.68,1,3,4
82,TLS Mutual,14.86,1,3,4
83,TLS Mutual,627.16,1,3,4
84,TLS Mutual,9.6,1,3,4
85,TLS Mutual,2061.46,1,3,4
86,TLS Mutual,239.37,1,3,4
87,TLS Mutual,1059.68,1,3,4
88,TLS Mutual,9.22,1,3,4
89,TLS Mutual,3113.7,1,3,4
90,TLS Mutual,9.14,1,3,4
91,TLS Mutual,9.27,1,3,4
92,TLS Mutual,15022.7,1,3,4
93,TLS Mutual,5952.92,1,3,4
94,TLS Mutual,9.23,1,3,4
95,TLS Mutual,8.95,1,3,4
96,TLS Mutual,1039.95,1,3,4
97,TLS Mutual,9.63,1,3,4
98,TLS Mutual,3718.65,1,3,4
99,TLS Mutual,1458.41,1,3,4
100,TLS Mutual,1280.59,1,3,4
101,TLS Mutual,1060.35,1,3,4
102,TLS Mutual,1074.54,1,3,4
103,TLS Mutual,1482.6,1,3,4
104,TLS Mutual,11.04,1,3,4
105,TLS Mutual,1020.44,1,3,4
106,TLS Mutual,235.53,1,3,4
107,TLS Mutual,11254.49,1,3,4
108,TLS Mutual,1071.91,1,3,4
109,TLS Mutual,9.1,1,3,4
110,TLS Mutual,3715.6,1,3,4
111,TLS Mutual,9.46,1,3,4
112,TLS Mutual,9.99,1,3,4
113,TLS Mutual,9.4,1,3,4
114,TLS Mutual,1032.65,1,3,4
115,TLS Mutual,236.28,1,3,4
116,TLS Mutual,1483.52,1,3,4
117,TLS Mutual,9.57,1,3,4
118,TLS Mutual,1449.15,1,3,4
119,TLS Mutual,2685.73,1,3,4
120,TLS Mutual,9.96,1,3,4
121,TLS Mutual,238.99,1,3,4
122,TLS Mutual,2900.27,1,3,4
123,TLS Mutual,238.16,1,3,4
124,TLS Mutual,NaN,0,3,4
125,TLS Mutual,10.03,1,3,4
