execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,TLS Mutual,13999.9,1,2,4
2,TLS Mutual,3000.71,1,2,4
3,TLS Mutual,90.99,1,2,4
4,TLS Mutual,53233.4,1,2,4
5,TLS Mutual,6801.31,1,2,4
6,TLS Mutual,3092.1,1,2,4
7,TLS Mutual,6311.0,1,2,4
8,TLS Mutual,8562.76,1,2,4
9,TLS Mutual,2589.3,1,2,4
10,TLS Mutual,330.63,1,2,4
11,TLS Mutual,2430.82,1,2,4
12,TLS Mutual,330.54,1,2,4
13,TLS Mutual,15093.78,1,2,4
14,TLS Mutual,91.74,1,2,4
15,TLS Mutual,3188.26,1,2,4
16,TLS Mutual,11267.08,1,2,4
17,TLS Mutual,1347.72,1,2,4
18,TLS Mutual,1394.88,1,2,4
19,TLS Mutual,3867.09,1,2,4
20,TLS Mutual,90.26,1,2,4
21,TLS Mutual,935.48,1,2,4
22,TLS Mutual,54523.9,1,2,4
23,TLS Mutual,726.9,1,2,4
24,TLS Mutual,278.53,1,2,4
25,TLS Mutual,15843.12,1,2,4
26,TLS Mutual,11060.16,1,2,4
27,TLS Mutual,1572.05,1,2,4
28,TLS Mutual,97.83,1,2,4
29,TLS Mutual,1359.69,1,2,4
30,TLS Mutual,946.42,1,2,4
31,TLS Mutual,3654.47,1,2,4
32,TLS Mutual,91.4,1,2,4
33,TLS Mutual,279.25,1,2,4
34,TLS Mutual,5714.31,1,2,4
35,TLS Mutual,472.57,1,2,4
36,TLS Mutual,339.49,1,2,4
37,TLS Mutual,332.46,1,2,4
38,TLS Mutual,516.58,1,2,4
39,TLS Mutual,4438.9,1,2,4
40,TLS Mutual,2586.12,1,2,4
41,TLS Mutual,92.38,1,2,4
42,TLS Mutual,95.21,1,2,4
43,TLS Mutual,91.33,1,2,4
44,TLS Mutual,13105.49,1,2,4
45,TLS Mutual,1161.73,1,2,4
46,TLS Mutual,2218.68,1,2,4
47,TLS Mutual,1376.06,1,2,4
48,TLS Mutual,474.77,1,2,4
49,TLS Mutual,948.26,1,2,4
50,TLS Mutual,1154.52,1,2,4
51,TLS Mutual,92.73,1,2,4
52,TLS Mutual,91.13,1,2,4
53,TLS Mutual,3606.73,1,2,4
54,TLS Mutual,92.14,1,2,4
55,TLS Mutual,488.0,1,2,4
56,TLS Mutual,542.6,1,2,4
57,TLS Mutual,95.04,1,2,4
58,TLS Mutual,1398.59,1,2,4
59,TLS Mutual,2396.42,1,2,4
60,TLS Mutual,106776.46,1,2,4
61,TLS Mutual,5318.69,1,2,4
62,TLS Mutual,92.1,1,2,4
63,TLS Mutual,12309.99,1,2,4
64,TLS Mutual,6936.65,1,2,4
65,TLS Mutual,90.63,1,2,4
66,TLS Mutual,7336.44,1,2,4
67,TLS Mutual,5628.46,1,2,4
68,TLS Mutual,2311.01,1,2,4
69,TLS Mutual,8122.26,1,2,4
70,TLS Mutual,6412.08,1,2,4
71,TLS Mutual,16252.15,1,2,4
72,TLS Mutual,3857.64,1,2,4
73,TLS Mutual,91.22,1,2,4
74,TLS Mutual,9701.63,1,2,4
75,TLS Mutual,3010.72,1,2,4
76,TLS Mutual,1538.87,1,2,4
77,TLS Mutual,28418.4,1,2,4
78,TLS Mutual,332.27,1,2,4
79,TLS Mutual,331.74,1,2,4
80,TLS Mutual,91.35,1,2,4
81,TLS Mutual,3053.48,1,2,4
82,TLS Mutual,1993.76,1,2,4
83,TLS Mutual,1611.82,1,2,4
84,TLS Mutual,2174.32,1,2,4
85,TLS Mutual,3433.46,1,2,4
86,TLS Mutual,3848.61,1,2,4
87,TLS Mutual,308.19,1,2,4
88,TLS Mutual,106482.83,1,2,4
89,TLS Mutual,273.88,1,2,4
90,TLS Mutual,27346.81,1,2,4
91,TLS Mutual,279.74,1,2,4
92,TLS Mutual,1158.16,1,2,4
93,TLS Mutual,6452.11,1,2,4
94,TLS Mutual,97.42,1,2,4
95,TLS Mutual,739.57,1,2,4
96,TLS Mutual,1710.77,1,2,4
97,TLS Mutual,95.54,1,2,4
98,TLS Mutual,6534.92,1,2,4
99,TLS Mutual,4659.82,1,2,4
100,TLS Mutual,1797.84,1,2,4
101,TLS Mutual,91.46,1,2,4
102,TLS Mutual,923.71,1,2,4
103,TLS Mutual,15225.82,1,2,4
104,TLS Mutual,281.95,1,2,4
105,TLS Mutual,475.47,1,2,4
106,TLS Mutual,3217.45,1,2,4
107,TLS Mutual,95.76,1,2,4
108,TLS Mutual,3120.23,1,2,4
109,TLS Mutual,716.28,1,2,4
110,TLS Mutual,3203.96,1,2,4
111,TLS Mutual,2817.12,1,2,4
112,TLS Mutual,3427.83,1,2,4
113,TLS Mutual,91.92,1,2,4
114,TLS Mutual,91.01,1,2,4
115,TLS Mutual,282.23,1,2,4
116,TLS Mutual,5487.02,1,2,4
117,TLS Mutual,5243.43,1,2,4
118,TLS Mutual,1147.3,1,2,4
119,TLS Mutual,3453.05,1,2,4
120,TLS Mutual,4516.52,1,2,4
121,TLS Mutual,96.17,1,2,4
122,TLS Mutual,6536.21,1,2,4
123,TLS Mutual,92.13,1,2,4
124,TLS Mutual,4496.97,1,2,4
125,TLS Mutual,54765.43,1,2,4
