security_level,kem,sig_classical,sig_pq,n_blocks_common,classical_mean_ms,pq_mean_ms,delta_ms,delta_ci95_low,delta_ci95_high,significant_paired_bootstrap,exact_permutation_p,exact_permutation_min_p
L1,P-256,ed25519,mldsa44,4,1.9147,1.6974,0.2174,0.1308,0.3738,oui,0.125,0.125
L1,hqc128,ed25519,mldsa44,4,17.2039,18.2326,-1.0287,-2.8155,0.0428,non,0.5,0.125
L1,mlkem512,ed25519,mldsa44,4,1.8251,1.6197,0.2054,0.1805,0.2289,oui,0.125,0.125
L1,p256_hqc128,ed25519,mldsa44,4,22.9929,22.6501,0.3428,0.0446,0.7479,oui,0.125,0.125
L1,p256_mlkem512,ed25519,mldsa44,4,7.7048,7.493,0.2118,0.1138,0.3097,oui,0.125,0.125
L1,x25519,ed25519,mldsa44,4,1.7662,1.5446,0.2217,0.1417,0.3748,oui,0.125,0.125
L1,x25519_hqc128,ed25519,mldsa44,4,17.4205,17.0926,0.328,-0.1223,1.0435,non,0.75,0.125
L1,x25519_mlkem512,ed25519,mldsa44,4,2.1239,2.0643,0.0596,-0.2121,0.2057,non,0.625,0.125
L3,P-384,secp384r1,mldsa65,4,4.4325,3.0,1.4325,1.1909,1.8006,oui,0.125,0.125
L3,hqc192,secp384r1,mldsa65,4,47.251,46.9682,0.2828,-0.5944,0.9356,non,0.625,0.125
L3,mlkem768,secp384r1,mldsa65,4,3.0372,1.7301,1.3071,1.2875,1.3265,oui,0.125,0.125
L3,p384_hqc192,secp384r1,mldsa65,4,53.9499,54.1608,-0.2109,-1.0359,0.5096,non,0.875,0.125
L3,p384_mlkem768,secp384r1,mldsa65,4,10.4365,9.3866,1.0499,0.8706,1.2723,oui,0.125,0.125
L3,x448,secp384r1,mldsa65,4,3.6702,2.6079,1.0623,0.801,1.248,oui,0.125,0.125
L3,x448_hqc192,secp384r1,mldsa65,4,48.924,48.2443,0.6797,-0.3252,1.506,non,0.375,0.125
L3,x448_mlkem768,secp384r1,mldsa65,4,4.7493,3.3367,1.4127,1.2456,1.6066,oui,0.125,0.125
L5,P-521,secp521r1,mldsa87,4,4.5884,3.0392,1.5491,1.3888,1.7917,oui,0.125,0.125
L5,hqc256,secp521r1,mldsa87,4,82.3618,83.7936,-1.4318,-4.3988,0.4997,non,0.625,0.125
L5,mlkem1024,secp521r1,mldsa87,4,3.4106,1.8425,1.5681,1.4967,1.6846,oui,0.125,0.125
L5,p521_hqc256,secp521r1,mldsa87,4,90.3694,89.2184,1.1509,0.977,1.437,oui,0.125,0.125
L5,p521_mlkem1024,secp521r1,mldsa87,4,10.661,9.6529,1.008,0.5687,1.3052,oui,0.125,0.125
