execution,mode,handshake_duration_ms,success
1,TLS Single,11.3,1
2,TLS Single,7.64,1
3,TLS Single,7.13,1
4,TLS Single,8.83,1
5,TLS Single,7.48,1
6,TLS Single,8.47,1
7,TLS Single,7.89,1
8,TLS Single,8.12,1
9,TLS Single,8.1,1
10,TLS Single,7.56,1
11,TLS Single,7.06,1
12,TLS Single,8.25,1
13,TLS Single,7.45,1
14,TLS Single,6.89,1
15,TLS Single,7.04,1
16,TLS Single,7.01,1
17,TLS Single,9.34,1
18,TLS Single,7.64,1
19,TLS Single,9.01,1
20,TLS Single,7.95,1
21,TLS Single,7.28,1
22,TLS Single,7.43,1
23,TLS Single,7.99,1
24,TLS Single,7.68,1
25,TLS Single,7.43,1
26,TLS Single,7.66,1
27,TLS Single,7.1,1
28,TLS Single,7.66,1
29,TLS Single,7.27,1
30,TLS Single,7.57,1
31,TLS Single,7.13,1
32,TLS Single,7.23,1
33,TLS Single,7.7,1
34,TLS Single,7.82,1
35,TLS Single,7.81,1
36,TLS Single,8.61,1
37,TLS Single,8.54,1
38,TLS Single,7.72,1
39,TLS Single,7.08,1
40,TLS Single,7.54,1
41,TLS Single,7.72,1
42,TLS Single,7.53,1
43,TLS Single,8.31,1
44,TLS Single,7.83,1
45,TLS Single,8.41,1
46,TLS Single,7.95,1
47,TLS Single,9.23,1
48,TLS Single,8.21,1
49,TLS Single,7.61,1
50,TLS Single,8.87,1
51,TLS Single,7.29,1
52,TLS Single,7.6,1
53,TLS Single,8.53,1
54,TLS Single,7.77,1
55,TLS Single,7.64,1
56,TLS Single,8.31,1
57,TLS Single,7.23,1
58,TLS Single,7.82,1
59,TLS Single,9.49,1
60,TLS Single,7.12,1
61,TLS Single,6.92,1
62,TLS Single,7.3,1
63,TLS Single,8.63,1
64,TLS Single,8.08,1
65,TLS Single,8.49,1
66,TLS Single,7.69,1
67,TLS Single,8.74,1
68,TLS Single,6.78,1
69,TLS Single,6.71,1
70,TLS Single,7.41,1
71,TLS Single,7.4,1
72,TLS Single,7.29,1
73,TLS Single,7.37,1
74,TLS Single,7.62,1
75,TLS Single,8.05,1
76,TLS Single,7.66,1
77,TLS Single,8.19,1
78,TLS Single,9.1,1
79,TLS Single,6.73,1
80,TLS Single,7.26,1
81,TLS Single,7.27,1
82,TLS Single,6.88,1
83,TLS Single,7.13,1
84,TLS Single,6.89,1
85,TLS Single,7.0,1
86,TLS Single,7.34,1
87,TLS Single,7.68,1
88,TLS Single,8.35,1
89,TLS Single,7.73,1
90,TLS Single,8.0,1
91,TLS Single,8.8,1
92,TLS Single,7.41,1
93,TLS Single,7.03,1
94,TLS Single,7.12,1
95,TLS Single,6.99,1
96,TLS Single,7.16,1
97,TLS Single,7.29,1
98,TLS Single,7.8,1
99,TLS Single,7.39,1
100,TLS Single,7.34,1
101,TLS Single,8.02,1
102,TLS Single,7.85,1
103,TLS Single,8.02,1
104,TLS Single,6.86,1
105,TLS Single,8.88,1
106,TLS Single,7.67,1
107,TLS Single,7.73,1
108,TLS Single,7.79,1
109,TLS Single,8.07,1
110,TLS Single,7.84,1
111,TLS Single,7.87,1
112,TLS Single,7.34,1
113,TLS Single,7.57,1
114,TLS Single,7.41,1
115,TLS Single,7.52,1
116,TLS Single,7.52,1
117,TLS Single,7.57,1
118,TLS Single,7.05,1
119,TLS Single,7.32,1
120,TLS Single,8.21,1
121,TLS Single,7.47,1
122,TLS Single,7.24,1
123,TLS Single,6.84,1
124,TLS Single,7.4,1
125,TLS Single,6.96,1
126,TLS Single,8.28,1
127,TLS Single,7.69,1
128,TLS Single,7.93,1
129,TLS Single,8.3,1
130,TLS Single,7.62,1
131,TLS Single,8.02,1
132,TLS Single,7.91,1
133,TLS Single,9.12,1
134,TLS Single,6.98,1
135,TLS Single,11.01,1
136,TLS Single,7.93,1
137,TLS Single,7.25,1
138,TLS Single,7.88,1
139,TLS Single,8.88,1
140,TLS Single,7.85,1
141,TLS Single,7.21,1
142,TLS Single,7.9,1
143,TLS Single,7.25,1
144,TLS Single,7.39,1
145,TLS Single,7.3,1
146,TLS Single,10.11,1
147,TLS Single,6.93,1
148,TLS Single,6.8,1
149,TLS Single,6.99,1
150,TLS Single,7.83,1
151,TLS Single,6.72,1
152,TLS Single,7.02,1
153,TLS Single,7.05,1
154,TLS Single,7.18,1
155,TLS Single,7.93,1
156,TLS Single,10.67,1
157,TLS Single,7.62,1
158,TLS Single,7.87,1
159,TLS Single,8.56,1
160,TLS Single,7.74,1
161,TLS Single,6.74,1
162,TLS Single,9.24,1
163,TLS Single,7.39,1
164,TLS Single,8.02,1
165,TLS Single,8.96,1
166,TLS Single,7.0,1
167,TLS Single,7.13,1
168,TLS Single,9.0,1
169,TLS Single,6.67,1
170,TLS Single,7.33,1
171,TLS Single,6.99,1
172,TLS Single,7.0,1
173,TLS Single,7.03,1
174,TLS Single,6.97,1
175,TLS Single,8.4,1
176,TLS Single,9.15,1
177,TLS Single,7.04,1
178,TLS Single,7.38,1
179,TLS Single,8.53,1
180,TLS Single,7.21,1
181,TLS Single,6.77,1
182,TLS Single,6.96,1
183,TLS Single,6.95,1
184,TLS Single,7.25,1
185,TLS Single,10.55,1
186,TLS Single,7.83,1
187,TLS Single,7.7,1
188,TLS Single,7.3,1
189,TLS Single,6.74,1
190,TLS Single,7.05,1
191,TLS Single,6.74,1
192,TLS Single,6.82,1
193,TLS Single,6.68,1
194,TLS Single,7.07,1
195,TLS Single,6.4,1
196,TLS Single,6.58,1
197,TLS Single,6.47,1
198,TLS Single,6.32,1
199,TLS Single,6.59,1
200,TLS Single,6.95,1
201,TLS Single,8.7,1
202,TLS Single,6.62,1
203,TLS Single,6.37,1
204,TLS Single,6.5,1
205,TLS Single,6.46,1
206,TLS Single,6.68,1
207,TLS Single,6.63,1
208,TLS Single,6.58,1
209,TLS Single,7.02,1
210,TLS Single,6.9,1
211,TLS Single,7.42,1
212,TLS Single,7.06,1
213,TLS Single,6.95,1
214,TLS Single,6.52,1
215,TLS Single,8.16,1
216,TLS Single,6.83,1
217,TLS Single,7.51,1
218,TLS Single,8.06,1
219,TLS Single,6.54,1
220,TLS Single,8.9,1
221,TLS Single,6.49,1
222,TLS Single,7.4,1
223,TLS Single,6.5,1
224,TLS Single,7.55,1
225,TLS Single,6.64,1
226,TLS Single,7.0,1
227,TLS Single,6.81,1
228,TLS Single,8.17,1
229,TLS Single,7.17,1
230,TLS Single,10.04,1
231,TLS Single,9.7,1
232,TLS Single,6.33,1
233,TLS Single,7.19,1
234,TLS Single,6.72,1
235,TLS Single,7.0,1
236,TLS Single,6.8,1
237,TLS Single,8.61,1
238,TLS Single,8.1,1
239,TLS Single,6.53,1
240,TLS Single,6.25,1
241,TLS Single,6.68,1
242,TLS Single,6.45,1
243,TLS Single,6.61,1
244,TLS Single,6.45,1
245,TLS Single,6.55,1
246,TLS Single,6.62,1
247,TLS Single,6.52,1
248,TLS Single,6.86,1
249,TLS Single,6.93,1
250,TLS Single,6.88,1
251,TLS Single,6.84,1
252,TLS Single,6.54,1
253,TLS Single,6.63,1
254,TLS Single,6.62,1
255,TLS Single,7.23,1
256,TLS Single,6.63,1
257,TLS Single,7.17,1
258,TLS Single,6.75,1
259,TLS Single,6.81,1
260,TLS Single,6.74,1
261,TLS Single,6.72,1
262,TLS Single,6.67,1
263,TLS Single,6.67,1
264,TLS Single,6.79,1
265,TLS Single,6.77,1
266,TLS Single,6.65,1
267,TLS Single,6.78,1
268,TLS Single,6.61,1
269,TLS Single,6.69,1
270,TLS Single,6.68,1
271,TLS Single,8.0,1
272,TLS Single,6.93,1
273,TLS Single,6.93,1
274,TLS Single,7.42,1
275,TLS Single,7.7,1
276,TLS Single,7.01,1
277,TLS Single,6.63,1
278,TLS Single,6.65,1
279,TLS Single,6.72,1
280,TLS Single,7.15,1
281,TLS Single,6.55,1
282,TLS Single,6.49,1
283,TLS Single,6.58,1
284,TLS Single,6.35,1
285,TLS Single,7.62,1
286,TLS Single,7.12,1
287,TLS Single,6.8,1
288,TLS Single,6.75,1
289,TLS Single,6.81,1
290,TLS Single,7.2,1
291,TLS Single,6.67,1
292,TLS Single,7.23,1
293,TLS Single,6.69,1
294,TLS Single,7.55,1
295,TLS Single,7.2,1
296,TLS Single,7.06,1
297,TLS Single,7.17,1
298,TLS Single,7.09,1
299,TLS Single,7.17,1
300,TLS Single,6.68,1
301,TLS Single,6.67,1
302,TLS Single,7.25,1
303,TLS Single,6.85,1
304,TLS Single,9.84,1
305,TLS Single,8.2,1
306,TLS Single,8.23,1
307,TLS Single,7.79,1
308,TLS Single,7.05,1
309,TLS Single,6.71,1
310,TLS Single,7.07,1
311,TLS Single,6.87,1
312,TLS Single,6.83,1
313,TLS Single,8.78,1
314,TLS Single,6.72,1
315,TLS Single,6.92,1
316,TLS Single,6.97,1
317,TLS Single,7.11,1
318,TLS Single,9.96,1
319,TLS Single,7.31,1
320,TLS Single,7.38,1
321,TLS Single,8.03,1
322,TLS Single,6.65,1
323,TLS Single,8.06,1
324,TLS Single,10.19,1
325,TLS Single,8.45,1
326,TLS Single,6.67,1
327,TLS Single,7.15,1
328,TLS Single,6.53,1
329,TLS Single,7.04,1
330,TLS Single,6.51,1
331,TLS Single,8.42,1
332,TLS Single,6.67,1
333,TLS Single,6.75,1
334,TLS Single,7.36,1
335,TLS Single,6.97,1
336,TLS Single,6.75,1
337,TLS Single,8.03,1
338,TLS Single,7.69,1
339,TLS Single,7.55,1
340,TLS Single,7.16,1
341,TLS Single,7.5,1
342,TLS Single,6.87,1
343,TLS Single,9.51,1
344,TLS Single,6.99,1
345,TLS Single,7.07,1
346,TLS Single,10.09,1
347,TLS Single,7.05,1
348,TLS Single,7.03,1
349,TLS Single,6.92,1
350,TLS Single,7.75,1
351,TLS Single,6.98,1
352,TLS Single,6.82,1
353,TLS Single,6.8,1
354,TLS Single,6.86,1
355,TLS Single,6.91,1
356,TLS Single,6.77,1
357,TLS Single,6.85,1
358,TLS Single,6.66,1
359,TLS Single,7.13,1
360,TLS Single,6.66,1
361,TLS Single,6.76,1
362,TLS Single,6.63,1
363,TLS Single,6.73,1
364,TLS Single,6.75,1
365,TLS Single,6.32,1
366,TLS Single,7.05,1
367,TLS Single,6.68,1
368,TLS Single,6.52,1
369,TLS Single,6.66,1
370,TLS Single,6.6,1
371,TLS Single,6.55,1
372,TLS Single,8.83,1
373,TLS Single,6.61,1
374,TLS Single,6.56,1
375,TLS Single,6.87,1
376,TLS Single,6.53,1
377,TLS Single,6.95,1
378,TLS Single,6.7,1
379,TLS Single,6.58,1
380,TLS Single,6.62,1
381,TLS Single,6.54,1
382,TLS Single,6.62,1
383,TLS Single,6.79,1
384,TLS Single,6.48,1
385,TLS Single,6.72,1
386,TLS Single,7.16,1
387,TLS Single,6.51,1
388,TLS Single,6.58,1
389,TLS Single,6.49,1
390,TLS Single,6.88,1
391,TLS Single,6.38,1
392,TLS Single,8.35,1
393,TLS Single,6.54,1
394,TLS Single,6.7,1
395,TLS Single,6.54,1
396,TLS Single,6.57,1
397,TLS Single,6.93,1
398,TLS Single,7.08,1
399,TLS Single,6.76,1
400,TLS Single,7.87,1
401,TLS Single,6.91,1
402,TLS Single,9.28,1
403,TLS Single,7.08,1
404,TLS Single,7.18,1
405,TLS Single,7.29,1
406,TLS Single,7.82,1
407,TLS Single,8.26,1
408,TLS Single,7.6,1
409,TLS Single,7.31,1
410,TLS Single,8.14,1
411,TLS Single,7.09,1
412,TLS Single,7.57,1
413,TLS Single,7.03,1
414,TLS Single,7.55,1
415,TLS Single,7.51,1
416,TLS Single,7.2,1
417,TLS Single,7.08,1
418,TLS Single,7.16,1
419,TLS Single,7.42,1
420,TLS Single,7.47,1
421,TLS Single,7.56,1
422,TLS Single,7.33,1
423,TLS Single,7.35,1
424,TLS Single,7.92,1
425,TLS Single,7.5,1
426,TLS Single,7.99,1
427,TLS Single,7.4,1
428,TLS Single,7.52,1
429,TLS Single,7.14,1
430,TLS Single,9.86,1
431,TLS Single,6.79,1
432,TLS Single,7.16,1
433,TLS Single,8.03,1
434,TLS Single,7.25,1
435,TLS Single,7.16,1
436,TLS Single,9.33,1
437,TLS Single,7.09,1
