execution,mode,handshake_duration_ms,success
1,TLS Single,49.08,1
2,TLS Single,47.25,1
3,TLS Single,48.64,1
4,TLS Single,49.54,1
5,TLS Single,52.38,1
6,TLS Single,48.19,1
7,TLS Single,48.23,1
8,TLS Single,46.14,1
9,TLS Single,46.74,1
10,TLS Single,48.4,1
11,TLS Single,46.93,1
12,TLS Single,47.7,1
13,TLS Single,50.7,1
14,TLS Single,47.04,1
15,TLS Single,49.34,1
16,TLS Single,48.54,1
17,TLS Single,50.0,1
18,TLS Single,48.19,1
19,TLS Single,49.51,1
20,TLS Single,47.49,1
21,TLS Single,48.03,1
22,TLS Single,48.06,1
23,TLS Single,47.9,1
24,TLS Single,47.4,1
25,TLS Single,48.65,1
26,TLS Single,46.17,1
27,TLS Single,46.42,1
28,TLS Single,47.75,1
29,TLS Single,45.04,1
30,TLS Single,44.65,1
31,TLS Single,46.81,1
32,TLS Single,45.89,1
33,TLS Single,45.93,1
34,TLS Single,47.58,1
35,TLS Single,45.83,1
36,TLS Single,44.87,1
37,TLS Single,45.78,1
38,TLS Single,45.61,1
39,TLS Single,45.99,1
40,TLS Single,47.34,1
41,TLS Single,45.19,1
42,TLS Single,44.9,1
43,TLS Single,45.39,1
44,TLS Single,45.0,1
45,TLS Single,46.92,1
46,TLS Single,45.42,1
47,TLS Single,45.37,1
48,TLS Single,46.64,1
49,TLS Single,45.51,1
50,TLS Single,44.75,1
51,TLS Single,45.32,1
52,TLS Single,55.49,1
53,TLS Single,52.31,1
54,TLS Single,57.22,1
55,TLS Single,53.66,1
56,TLS Single,51.66,1
57,TLS Single,46.2,1
58,TLS Single,46.08,1
59,TLS Single,44.6,1
60,TLS Single,47.61,1
61,TLS Single,47.47,1
62,TLS Single,44.58,1
63,TLS Single,45.63,1
64,TLS Single,46.52,1
65,TLS Single,48.6,1
66,TLS Single,45.57,1
67,TLS Single,46.6,1
68,TLS Single,44.93,1
69,TLS Single,46.38,1
70,TLS Single,44.29,1
71,TLS Single,49.98,1
72,TLS Single,45.82,1
73,TLS Single,45.05,1
74,TLS Single,48.71,1
75,TLS Single,50.8,1
76,TLS Single,45.84,1
77,TLS Single,44.48,1
78,TLS Single,44.57,1
79,TLS Single,44.27,1
80,TLS Single,43.98,1
81,TLS Single,44.39,1
82,TLS Single,44.25,1
83,TLS Single,44.42,1
84,TLS Single,43.8,1
85,TLS Single,44.52,1
86,TLS Single,44.08,1
87,TLS Single,44.86,1
88,TLS Single,43.97,1
