execution,mode,handshake_duration_ms,success
1,TLS Single,3.99,1
2,TLS Single,3.86,1
3,TLS Single,3.91,1
4,TLS Single,4.02,1
5,TLS Single,4.07,1
6,TLS Single,4.06,1
7,TLS Single,4.13,1
8,TLS Single,4.07,1
9,TLS Single,4.08,1
10,TLS Single,4.06,1
11,TLS Single,4.79,1
12,TLS Single,4.28,1
13,TLS Single,4.0,1
14,TLS Single,3.93,1
15,TLS Single,3.98,1
16,TLS Single,4.17,1
17,TLS Single,4.75,1
18,TLS Single,5.55,1
19,TLS Single,5.96,1
20,TLS Single,3.91,1
21,TLS Single,3.85,1
22,TLS Single,4.03,1
23,TLS Single,3.97,1
24,TLS Single,4.24,1
25,TLS Single,4.22,1
26,TLS Single,4.05,1
27,TLS Single,3.96,1
28,TLS Single,3.94,1
29,TLS Single,4.04,1
30,TLS Single,4.02,1
31,TLS Single,4.27,1
32,TLS Single,4.0,1
33,TLS Single,4.03,1
34,TLS Single,4.03,1
35,TLS Single,4.12,1
36,TLS Single,4.04,1
37,TLS Single,4.21,1
38,TLS Single,4.04,1
39,TLS Single,3.98,1
40,TLS Single,4.03,1
41,TLS Single,4.1,1
42,TLS Single,4.1,1
43,TLS Single,4.33,1
44,TLS Single,3.97,1
45,TLS Single,4.11,1
46,TLS Single,4.03,1
47,TLS Single,4.06,1
48,TLS Single,4.2,1
49,TLS Single,4.19,1
50,TLS Single,4.0,1
51,TLS Single,3.87,1
52,TLS Single,3.97,1
53,TLS Single,3.98,1
54,TLS Single,4.55,1
55,TLS Single,4.33,1
56,TLS Single,4.01,1
57,TLS Single,4.07,1
58,TLS Single,4.17,1
59,TLS Single,3.98,1
60,TLS Single,4.05,1
61,TLS Single,4.37,1
62,TLS Single,4.11,1
63,TLS Single,3.88,1
64,TLS Single,4.07,1
65,TLS Single,4.17,1
66,TLS Single,4.0,1
67,TLS Single,4.41,1
68,TLS Single,4.14,1
69,TLS Single,4.03,1
70,TLS Single,4.01,1
71,TLS Single,4.1,1
72,TLS Single,4.0,1
73,TLS Single,4.21,1
74,TLS Single,4.14,1
75,TLS Single,3.99,1
76,TLS Single,3.95,1
77,TLS Single,4.09,1
78,TLS Single,4.24,1
79,TLS Single,4.02,1
80,TLS Single,4.06,1
81,TLS Single,4.03,1
82,TLS Single,4.01,1
83,TLS Single,3.99,1
84,TLS Single,4.04,1
85,TLS Single,4.08,1
86,TLS Single,3.84,1
87,TLS Single,3.97,1
88,TLS Single,4.01,1
89,TLS Single,4.01,1
90,TLS Single,4.17,1
91,TLS Single,4.27,1
92,TLS Single,4.0,1
